"Table D1.13.10: Select variables contributing to community functioning for Indigenous Australians aged 15 and over(a), by sex, Australia 2014–15(b)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,Males,,Females,,Total,
,"Estimate 
('000)",%,"Estimate 
('000)",%,"Estimate 
('000)",%
"Connectedness to country, land and history; culture and identity",,,,,,
Recognises homelands,156,73,172.5,75,328.6,74
Speaks an Aboriginal/Torres Strait Islander language,36.3,17.1,44.8,19.4,81.1,18.3
Attended Aboriginal and Torres Strait Islander cultural event in last 12 months,125,58.8,152.3,65.9,277.7,62.6
Identifies with clan group or language group,130.5,61.4,146.2,63.3,276.3,62.3
"Feels able to have a say with family and friends some, most or all of the time",191.8,90,205.9,89,397.7,90
Contact with family or friends outside household at least once per week,197.4,93,221.9,96,419.4,95
Has friends can confide in(c) ,172.8,81,192.5,83,365.2,82
Able to get support in time of crisis from outside household—from family ,175,82,188.9,82,363.8,82
Provides support to relatives outside household,97.7,46,121.6,52.6,219.3,49.5
Resilience,,,,,,
Did not feel treated unfairly because Aboriginal/Torres Strait Islander in last 12 months ,134.2,66.6,138.3,62.9,272.6,64.8
Did not avoid situations due to past unfair treatment in the last 12 months,185.2,87.2,196,84.8,381.1,85.9
Can visit homelands,101.3,47.65710253998118,118.1,51.10298572046733,219.3,49.469327920613445
Involvement with Aboriginal/Torres Strait Islander organisation,38.6,18.2,49.7,21.5,88.3,19.9
Work allows for cultural responsibilities—can meet responsibilities(d),41.8,38.2,41.2,43.6,82.8,40.6
Used strategies to meet living expenses(e),73.8,34.7,88.5,38.3,162.6,36.7
No community problems reported,63.8,30,61.7,26.7,125.6,28.3
No problems reported for alcohol,135.3,63.6,141.5,61.2,276.5,62.4
No problems reported for illicit drugs,136.6,64.3,142.8,61.8,279.2,63
No problems reported for family violence,165.4,77.8,168.7,73,333.8,75.3
No problems reported for sexual assault,199.1,93.6,210.4,91,409,92.2
Agrees that most people can be trusted ,72.1,33.9,75.4,32.6,147.5,33.3
Agrees that their doctor can be trusted ,169.7,79.8,188.4,81.6,358.3,80.8
Agrees that the hospital can be trusted ,141.8,66.7,148.3,64.2,290.1,65.4
Agrees that police in the local area can be trusted ,118.8,55.9,137.7,59.6,256.7,57.9
Agrees that police outside the local area can be trusted ,96.4,45.3,106.1,45.9,202.5,45.7
Agrees that the local school can be trusted,150.8,71,161.2,69.8,312,70.4
Adult participated in sport/social/community activities in last 12 months,205,96.4,225,97.4,429.8,96.9
"Having a role, structure and routine",,,,,,
"In the last 12 months, has lived in only one dwelling(f)",162.2,76,179.3,78,341.7,77
Feeling safe,,,,,,
Felt safe at home alone after dark,198.4,93.4,174,75.3,372.3,84
Felt safe walking alone in local area after dark,158.6,74.6,79.4,34.4,237.9,53.6
Not a victim of physical or threatened violence in the last 12 months,164.1,77.2,181,78.2,344.7,77.7
Was taught Indigenous culture at school or as part of further studies,95.1,44.7,113.8,49.3,208.4,47
Learnt about own Indigenous clan/language,35.6,16.7,37.9,16.4,73.4,16.5
Vitality,,,,,,
Self-assessed health status excellent or very good,90.4,42.5,85.5,37,176,39.7
Has no disability or long term-health condition,121.3,57.1,122.5,53,243.8,55
Low/moderate level of psychological distress (5–11 K5 score) ,153.8,72.4,140.5,60.8,294.3,66.4
Living in a dwelling that has no major structural problems,157.2,74,160.6,69.5,317.7,71.7
Accessed Internet in last 12 months,162.2,76.3,186.2,80.6,348.4,78.6
Has access to motor vehicles whenever needed,149.8,70.5,153.3,66.3,302.7,68.3
Can easily get to places needed,163.5,76.9,169.9,73.6,334,75.3
Total persons aged 15 and over,212.6,100,231.1,100,443.4,100
"(a) Unless otherwise indicated, proportions are of the estimated total Aboriginal and Torres Strait Islander population aged 15 and over. Where another population is indicated, this has been used to calculate proportions.",,,,,,
(b) Cells in this table have been randomly adjusted to avoid the release of confidential data.  Discrepancies may occur between sums of the component items and totals.,,,,,,
(c) Including family.,,,,,,
(d) Proportions calculated in relation to number of Indigenous Australians aged 15 and over who are employed.,,,,,,
"(e) Selected strategies include short term loans, pawned or sold something, did not have meals, sought assistance from welfare/community organisations or family or friends, ran up a tab at local store, and  gave someone else access to keycard.",,,,,,
(f) Persons who have lived in their current dwelling for more than 12 months.,,,,,,
Source: AIHW and ABS analysis of National Aboriginal and Torres Strait Islander Social Survey 2014–15.,,,,,,
,,,,,,
Link to Contents,,,,,,
