"Table D1.13.12: Select variables contributing to community functioning for Indigenous Australians aged 15 and over(a), by state/territory, Australia 2014–15(b)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,NSW,,Vic,,Qld,,WA,,SA,,Tas,,ACT,,NT,,Total,
,"Estimate 
('000)",%,"Estimate 
('000)",%,"Estimate 
('000)",%,"Estimate 
('000)",%,"Estimate 
('000)",%,"Estimate 
('000)",%,"Estimate 
('000)",%,"Estimate 
('000)",%,"Estimate 
('000)",%
"Connectedness to country, land and history; culture and identity ",,,,,,,,,,,,,,,,,,
Recognises homelands,96.9,69.9,22.2,68.8,95.1,77.3,44.4,78,18.5,75,7.9,47.2,3.5,77.9,40.8,88,328.6,74.1
Speaks an Aboriginal/Torres Strait Islander language,5.9,4.2,1.2,3.7,22.3,18.1,13.5,23.7,5.9,23.9,0,1,0,7,31.4,67.7,81.1,18.3
Attended Aboriginal and Torres Strait Islander cultural event in last 12 months,85.9,62,16.7,51.7,75.1,61,39.1,68.8,14.2,57.2,5.3,31.5,3.1,68.2,38.6,83.3,277.7,62.6
Identifies with clan group or language group,76.1,54.9,18.4,56.9,81.4,66.1,39.7,69.9,15.1,61,5.8,34.5,2.9,64,37.5,81,276.3,62.3
"Feels able to have a say with family and friends some, most or all of the time",127.4,92,29,90,109.8,89.2,50.5,89,22.3,89.9,15.5,92.8,4.3,95.8,39.2,84.6,397.7,89.7
Contact with family or friends outside household at least once per week,131.1,94.6,30.8,95.4,116,94.2,54.6,96.2,23.9,96.3,15.9,95.1,4.4,97,43.2,93.2,419.4,94.6
Has family or friends outside household can confide in,120.3,86.9,28.9,89.5,102.1,82.9,44.8,78.9,20.3,81.9,15.3,91.3,4,90,28.6,61.8,365.2,82.4
Resilience ,,,,,,,,,,,,,,,,,,
Did not feel treated unfairly because Aboriginal/Torres Strait Islander in last 12 months ,87,65.3,18.3,59.8,77.5,65.5,31.3,59.7,13.7,58.6,13.1,80.4,2.5,56.8,29,68.4,272.6,64.8
Did not avoid situations due to past unfair treatment in the last 12 months,117.8,85.1,28.5,88.2,106.7,86.7,47.7,84,20.4,82.3,15.5,92.8,3.7,82.2,40.1,86.4,381.1,85.9
Can visit homelands,57.2,41.29963898916967,15.5,47.987616099071204,72.3,58.73273761169781,27.1,47.7112676056338,14.6,58.87096774193549,4.5,26.94610778443114,3.1,68.88888888888889,24.4,52.58620689655172,219.3,49.45872801082544
Involvement with Aboriginal/Torres Strait Islander organisation,28.1,20.3,8.3,25.9,25.4,20.7,10.9,19.2,4.8,19.3,2.2,13,1.5,34.2,7.7,16.5,88.3,19.9
Work allows for cultural responsibilities—can meet responsibilities(c),26,38.1,5.3,32.6,21,35.8,11.3,51.8,4.4,40.4,2.5,29.3,1.3,47.1,11.2,68,82.8,40.6
Used strategies to meet living expenses(d),46,33.2,12.2,37.8,46.2,37.5,22.1,38.9,9.3,37.3,5,30,1.6,36.7,20,43.2,162.6,36.7
No community problems reported,40,29.5,7.2,22.7,39.3,33.3,14.4,26.2,6.9,28.2,5.5,33.5,1.7,39.5,11,24.5,125.6,29.2
No problems reported for alcohol,85.2,62.7,21,66.2,77.7,65.8,27.3,49.7,16.2,66.1,11.9,72.6,3.5,81.4,20.7,46.1,263.4,61.2
No problems reported for illicit drugs,83.6,61.6,18.7,59,78.2,66.3,28.7,52.3,16.4,66.9,11.4,69.5,3.6,83.7,26,57.9,266.1,61.8
No problems reported for family violence,106.9,78.7,24.1,76,90,76.3,36.9,67.2,18.8,76.7,13.7,83.5,3.8,88.4,26.7,59.5,320.7,74.5
No problems reported for sexual assault,127.3,93.7,29.3,92.4,108,91.5,48.8,88.9,23.3,95.1,15.7,95.7,4.2,97.7,39.6,88.2,395.9,92
Agrees that most people can be trusted ,44.3,32,11,34.1,37.7,30.6,23.2,40.9,7.7,31.2,5.4,32.1,1.7,37.9,16.3,35.2,147.5,33.3
Agrees that their doctor can be trusted ,116,83.7,27.4,84.8,94.8,77,46.6,82,19.8,79.9,14.4,86,3.7,81.4,35.6,76.8,358.3,80.8
Agrees that the hospital can be trusted ,89.8,64.8,20.9,64.9,73.7,59.9,40.6,71.6,15.8,63.8,11.6,69.6,3,66.2,33.7,72.7,290.1,65.4
Agrees that police in the local area can be trusted ,76.8,55.5,19.3,59.8,70.4,57.2,34.2,60.2,14.3,57.7,11.6,69.4,2.8,62.5,27.7,59.6,256.7,57.9
Agrees that police outside the local area can be trusted ,56.8,41,16.8,52.1,55.7,45.3,27.8,49,11.5,46.3,10.7,64.2,2.3,50.4,20.6,44.5,202.5,45.7
Agrees that the local school can be trusted,95.5,68.9,21.5,66.6,82.3,66.8,43.7,77,17,68.6,11.7,70.1,3.1,69.6,37,79.9,312,70.4
Adult participated in sport/social/community activities in last 12 months,134.3,96.9,30.9,95.7,121.4,98.7,54.4,95.7,23.6,95.1,15.9,94.8,4.3,96.2,45.3,97.6,429.8,96.9
"Having a role, structure and routine ",,,,,,,,,,,,,,,,,,
"In the last 12 months, has lived in only one dwelling",39.6,28.6,10.7,33.1,47.6,38.7,20.2,35.6,7.3,29.5,4.3,25.8,1.2,27.1,11.3,24.3,142.5,32.1
Feeling safe ,,,,,,,,,,,,,,,,,,
Felt safe at home alone after dark,115.6,86.9,27.6,86.1,104.2,86,46.7,86.2,20.8,85.4,14.5,88.7,3.9,87.9,39,88.7,372.3,86.8
Felt safe walking alone in local area after dark,72.4,66.5,16.9,63.1,66.6,67.6,30.5,70.1,12.5,65.2,9.9,73.4,2.7,68.3,26.5,75.2,237.9,68.2
Not a victim of physical or threatened violence in the last 12 months ,108.9,78.6,25.7,79.4,95.8,77.8,41.6,73.2,18.4,74.1,13.7,82,3.5,78.2,37.3,80.3,344.7,77.7
