"Table D1.13.14: Perceived level of difficulty with transport, by feeling able to have a say with family and friends on important issues, Indigenous persons aged 15 and over, 2014–15 ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,How often feels able to have a say with family and friends on important issues,,,,
,All/most of time,Some/a little,None of the time,No family and no friends,Total
Perceived level of difficulty with transport,%,,,,
Can easily get to the places needed,77.4,19,3.2,—,100
Sometimes have difficulty getting to the places needed,71*,26*,3.7,0,100
Often have difficulty getting to the places needed,59*,34*,4†,1‡,100
Can't get to the places needed,55*,36*,8*,1‡,100
Never go out / housebound,35*†,25‡,20‡,0,100
Total,74,21.8,3.9,—,100
"* Represents statistically significant differences at the p<0.05 level. For perceived level of difficulty with transport, ""Can easily get to the places needed"" was used as the reference category.",,,,,
† Percentages have a relative standard error between 25% and 50% and should be used with caution.,,,,,
‡ Percentages have a relative standard error greater than 50% and is considered unreliable for general use.,,,,,
Notes:,,,,,
1. Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,,,,,
2. Continuous variables in this table have been randomly adjusted to avoid the release of confidential data.,,,,,
Source: AIHW and ABS analysis of National Aboriginal and Torres Strait Islander Social Survey 2014–15.,,,,,
,,,,,
Link to Contents,,,,,
