"Table D1.13.15: Feeling safe at home alone after dark, by self assessed health status, Indigenous persons aged 15 and over, 2014–15 ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,Self assessed health status,,,
,Fair/poor,Good,"Excellent/
very good",Total
Feelings of safety at home alone after dark,%,,,
Unsafe/very unsafe,37*,35.1,28*,100
Safe/very safe,24.2,34.4,41.4,100
Neither safe nor unsafe,33*,42.2,25*,100
Never home alone after dark,28.8,28.1,41.1,100
Total,25.8,34.6,39.7,100
"* Represents statistically significant differences at the p<0.05 level. For feelings of safety at home alone after dark, ""safe/very safe"" was used as the reference category.",,,,
Notes:,,,,
1. Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,,,,
2. Continuous variables in this table have been randomly adjusted to avoid the release of confidential data.,,,,
Source: AIHW and ABS analysis of National Aboriginal and Torres Strait Islander Social Survey 2014–15.,,,,
,,,,
Link to Contents,,,,
