"Table D1.13.16: Feeling safe at home alone after dark, by Grouped Kessler (K5) score, Indigenous persons aged 15 and over, 2014–15 ",Unnamed: 1,Unnamed: 2,Unnamed: 3
,Grouped Kessler (K5) score - Classificatory,,
,"Low/moderate
(5–11)",High/very high (12–25),Total
Feelings of safety at home alone after dark,%,,
Unsafe/very unsafe,42*,58*,100
Safe/very safe,70,30,100
Neither safe nor unsafe,57*,43*,100
Never home alone after dark,66,35.5,100
Total,67*,33*,100
"* Represents statistically significant differences at the p<0.05 level. For feelings of safety at home alone after dark, ""safe/very safe"" was used as the reference category.",,,
Notes:,,,
1. Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,,,
2. Continuous variables in this table have been randomly adjusted to avoid the release of confidential data.,,,
Source: AIHW and ABS analysis of National Aboriginal and Torres Strait Islander Social Survey 2014–15.,,,
,,,
Link to Contents,,,
