"Table D1.13.4: Variables related to community functioning theme ‘Resilience’ for Indigenous Australians(a), Australia 2002, 2008 and 2014–15(b)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,Estimate ('000),,,%,,
Resilience ,,2008,2014–15,,2002,2008,2014–15
Power to control choices and options,Did not feel treated unfairly because Aboriginal/Torres Strait Islander in last 12 months(c),237.8,272.6,,n.a.,n.a.,64.8
,Did not avoid situations due to past unfair treatment in the last 12 months(c),225.5,381.1,,n.a.,n.a.,85.9
,Can visit homelands,146,219.3,,46,45,49
,Involvement with Aboriginal/Torres Strait Islander organisation,59.5,88.3,,26,18,20
,Work allows for cultural responsibilities to be met (of employed persons)(d),75,82.8,,22,44,40.6
,Used strategies to meet living expenses,119.1,162.6,,49,36,36.7
Household finances,Has a bank account,309.5,n.a.,,94,95,n.a.
,"Could raise $2,000 within a week",150,219.6,,41,46,49.5
Community problems,No community problems reported,84.3,125.6,,25,26,28.3
,"Community problems reported, but less than 3 types:",73.8,98.5,,n.a.,23,22.2
,– No problems reported for theft,192.5,249.7,,57,59,56.3
,– No problems reported for alcohol,192.1,276.5,,67,59,62.4
,– No problems reported for illicit drugs,208,279.2,,68,64,63
,– No problems reported for family violence,245.9,333.8,,79,75,75.3
,– No problems reported for assault,253,352,,80,77,79.4
,– No problems reported for sexual assault,288.9,409,,92,88,92.2
Stressors,No stressors personally experienced in last 12 months,74.4,140,,18,23,31.6
,Less than 3 types of stressors reported in the last 12 months(e):,116.4,164.3,,n.a.,36,37
,– No stressors reported for death of a family member or close friend,200,266.9,,54,61,60
,– No stressor reported for serious disability,305.2,407.1,,n.a.,93,92
,– No stressor reported for serious illness,233.2,322.4,,n.a.,71,73
,– No stressors reported for not able to get a job,255.4,292.8,,73,78,66
,– No stressors reported for witness to violence,299.1,406.8,,84,91,92
,"– No stressors reported for self, family member or friend spent time in jail",287.5,393.2,,81,88,89
Trust,Agrees that most people can be trusted ,119,147.5,,n.a.,36,33.3
,Agrees that their doctor can be trusted ,260.8,358.3,,n.a.,80,80.8
,Agrees that the hospital can be trusted ,204.2,290.1,,n.a.,62,65.4
,Agrees that police in the local area can be trusted ,170.3,256.7,,n.a.,52,57.9
,Agrees that police outside the local area can be trusted ,133.4,202.5,,n.a.,41,45.7
,Agrees that the local school can be trusted,224.7,312,,n.a.,69,70.4
Sense of efficacy,Does know a member of parliament/comfortable contacting,65.7,67.9,,n.a.,20,15.3
,Knows someone in organisation/comfortable contacting (non-remote only),132,196.7,,n.a.,54,56.7
,Types of organisations would feel comfortable contacting—Non-remote only:,,,,,,
,– State or territory government department,32.6,35,,n.a.,13,10
,– Federal government department,19,22.6,,n.a.,8,7
,– Local council,38.6,49.8,,n.a.,16,14
,– Legal system,35.8,40.1,,n.a.,15,12
,– Healthcare,51.1,82,,n.a.,21,24
,– Trade union,13.3,17.6,,n.a.,5,5
,– Political party,,,,n.a.,5,4
,– Media,12.7,15.6,,n.a.,5,4
,– University/TAFE/business college,34.8,49.8,,n.a.,14,14
,– Religious/spiritual group,29.8,50.4,,n.a.,12,15
