"Table D1.13.6: Variables related to community functioning theme ‘Having a role, structure and routine’ for Indigenous Australians(a), Australia 2002, 2008 and 2014–15(b)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
"Having a role, structure and routine",,"Estimate 
('000)",,,%,,
,,2008,2014–15,,2002,2008,2014–15
Structure and routine,Can communicate with English speakers without difficulty (of those where Indigenous language is main language spoken at home):,27.2,29,,n.a.,72,62.1
,"In the last 12 months, has lived in only 1 dwelling",255.2,341.7,,69,78,77.1
,No days without money for basic living expenses in the last 12 months,233.8,317.1,,56,72,71.5
,No days without money for basic living expenses in the last 2 weeks,281.4,377.7,,68,86,85
,Did not have a cash flow problem in last 12 months,238.8,319.9,,46,73,72
Social contact,Adult participated in sport/social/community activities in last 12 months:,n.a.,429.8,,n.a.,n.a.,96.9
(See also ‘Resilience’),"– Coach, instructor or teacher",n.a.,40.2,,n.a.,n.a.,9.1
,"– Referee, umpire or official",n.a.,25.1,,n.a.,n.a.,5.7
,– Committee member or administrator,n.a.,24.4,,n.a.,n.a.,5.5
,– Took part in sport or physical activities,n.a.,153.4,,n.a.,n.a.,34.6
Education—child,Children participating in informal learning activities with their main carer in the last week (aged 0–14),180.7,232.5,,n.a.,94,95.5
,Types of assistance that would help child in secondary school complete Year 12 (of those aged 2–14 currently attending secondary school):,,,,,,
,– More discipline,5.4,6.5,,n.a.,16,15.2
Health—child,Child cleans teeth once or twice per day (children aged 0–14),137,187.4,,n.a.,71,82
Total persons aged 15 and over,,327,443.4,,n.a.,100,100
(a) Aged 15 and over unless otherwise stated.,,,,,,,
(b) Some cells in this table have been randomly adjusted to avoid the release of confidential data. ,,,,,,,
"Sources: AIHW and ABS analysis of National Aboriginal and Torres Strait Islander Social Survey 2002, 2008 and 2014–15.",,,,,,,
,,,,,,,
Link to Contents,,,,,,,
