"Table D1.18.1: Selected family and culture characteristics, by age group, Indigenous persons (15 years and over), 2018–19",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,Age group (years),,,,,,Sex,,,Remoteness,,,Overall population distribution(a),
,15–24,25–34,35–44,45–54,55+,,Males,Females,,Non-remote,Remote,,,
,%(b),,,,,,,,,,,,Number,%
Removal from natural family(c),,,,,,,,,,,,,,
Whether individual and/or relatives ever removed from family (total removed),42.6,53,53.9,61.3,59.9,,50.3,56.3,,55.8,44.9,,216612,53.5
Individual has been removed with or without relative(s),13,13.1,15.2,25.1,23.5,,16,18.7,,17.6,17.6,,70960,17.5
Relative(s) only removed,29.1,39.8,38.6,36.7,36.2,,34.3,37.7,,38.2,27.1,,145951,36.1
Neither individual nor relative(s) removed from family,57.6,46.9,46.2,38.9,40.5,,49.5,43.7,,44.4,55.1,,188062,46.5
Total,100,100,100,100,100,,100,100,,100,100,,404587,100
Ratio neither individual nor relative removed/individual and/or relative removed,1.4,0.9,0.9,0.6,0.7,,1,0.8,,0.8,1.2,,. .,0.9
Identifies with tribal/language group or clan(d)(e),,,,,,,,,,,,,,
Yes,59.1,62.6,68.3,69.9,70.6,,65.5,65.4,,60.5,86,,314166,65.5
No,41.4,37.3,32.3,30.6,29.5,,34.2,34.5,,39.3,13.9,,165613,34.5
Total,100,100,100,100,100,,100,100,,100,100,,479714,100
Ratio yes/no,1.4,1.7,2.1,2.3,2.4,,1.9,1.9,,1.5,6.2,,. .,1.9
Recognises an areas as homelands/traditional country(f),,,,,,,,,,,,,,
Yes,69.3,70.1,77.8,80.8,77.2,,74.9,74.2,,70.6,90.5,,357424,74.4
No,31.1,29.8,21.7,19.2,22.5,,25,25.9,,29.3,9.8,,122546,25.5
Total,100,100,100,100,100,,100,100,,100,100,,480253,100
Ratio yes/no,2.2,2.4,3.6,4.2,3.4,,3,2.9,,2.4,9.2,,. .,2.9
Whether had unfair treatment in last 12 months because Aboriginal and/or Torres Strait Islander(g),,,,,,,,,,,,,,
Yes,23.9,22.8,26.9,26.9,24.8,,24,25.6,,26.2,19.1,,116215,24.9
No,76.1,77.2,72.7,73.1,75.4,,76,74.4,,73.8,80.8,,349777,75.1
Total,100,100,100,100,100,,100,100,,100,100,,465923,100
Ratio yes/no,0.3,0.3,0.4,0.4,0.3,,0.3,0.3,,0.4,0.2,,. .,0.3
Total number,155480,117757,83689,81771,97555,,258753,277277,,433596,102262,,536291,. .
(a) Distribution of total Indigenous population (15 year and over).,,,,,,,,,,,,,,
(b) Percentages add within columns. ,,,,,,,,,,,,,,
(c) Excludes not stated.,,,,,,,,,,,,,,
"(d) Includes respondents who identified with tribal group, language group, a clan, a mission, or an Aboriginal/Torres Strait Islander regional group.",,,,,,,,,,,,,,
(e) Excludes 'refusal' or 'not known'. ,,,,,,,,,,,,,,
(f) Excludes 'refusal'. ,,,,,,,,,,,,,,
(g) Excludes 'not known'. ,,,,,,,,,,,,,,
Note: Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,,,,,,,,,,,,,,
Source: AIHW and ABS analysis of National Aboriginal and Torres Strait Islander Health Survey 2018–19.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Link to Contents,,,,,,,,,,,,,,
