"Table D1.18.16: Hospitalisations for mental health-related conditions (based on principal diagnosis), by Indigenous status and remoteness, Australia, July 2017 to June 2019",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,Indigenous,,,,Non-Indigenous,,,,,,,,,,
,Number,"Crude rate (per 1,000)","Age-std. rate (per 1,000)(a)",,Number,"Age-std. rate (per 1,000)(a)",,Rate ratio(b),Rate difference(c),,,,,,
Major cities,19075,30.4,36.5,,695382,19.2,,1.9,17.3,,,,,,
Inner regional,8775,22.1,26.5,,133930,15.8,,1.7,10.7,,,,,,
Outer regional(d),8899,26.6,31.8,,50189,13.4,,2.4,18.4,,,,,,
Remote(e),3621,33.1,37,,4700,10.4,,3.5,26.5,,,,,,
Very remote,4544,23.5,25.9,,1774,8.9,,2.9,17,,,,,,
Australia(f),47096,28.3,33.4,,901934,18.2,,1.8,15.2,,,,,,
"(a) Age-standardised (age-std.) rates have been calculated using the direct method, with 2001 Australian population by 5-year age groups (up to 75+) as the standard population. ",,,,,,,,,,,,,,, 
(b) Rate ratio is the age-standardised rate for Indigenous Australians divided by the age-standardised rate for non-Indigenous Australians.,,,,,,,,,,,,,,,
(c)  Rate difference is the age-standardised rate for Indigenous Australians minus the age-standardised rate for non-Indigenous Australians.,,,,,,,,,,,,,,,
(d) Includes remote Victoria.,,,,,,,,,,,,,,,
(e) Excludes remote Victoria.,,,,,,,,,,,,,,,
(f) Total includes missing/unknown remoteness of usual residence.,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,
1. Data are from public and private hospitals in all jurisdictions.,,,,,,,,,,,,,,,
2. Population denominators used to calculate rates were modelled by the AIHW using available ABS population estimates and projections (series B). ,,,,,,,,,,,,,,,
"3. Data are reported by remoteness of usual residence of the patient hospitalised, based on the ABS Australian Statistical Geography Standard (ASGS) 2016. ",,,,,,,,,,,,,,,
"4. Categories are based on the ICD-10-AM 10th edition (Australian Consortium for Classification Development 2017): ICD-10-AM codes F00–F99, G30, R44, R48, G47.0, G47.1, G47.2, G47.8, G47.9, O99.3, R45.0, R45.1, R45.4, Z00.4, Z03.2, Z04.6, Z09.3, Z13.3, Z50.2, Z50.3, Z54.3, Z61.9, Z63.1, Z63.8, Z63.9, Z65.8, Z65.9, Z71.4, Z71.5, Z76.0. Information about the definition used can be found at https://www.aihw.gov.au/reports/mental-health-services/mental-health-services-in-australia/classifications-and-technical-notes.",,,,,,,,,,,,,,,
"5. Data exclude hospitalisations for Newborns without qualified days, Hospital boarders and Posthumous organ procurement.",,,,,,,,,,,,,,,
"6. Data exclude hospitalisations in WA with a contracted patient status of 'Inter-hospital contracted patient to private sector hospital', to adjust for hospitalisations recorded on both sides of contractual care arrangements.",,,,,,,,,,,,,,,
Source: AIHW analysis of National Hospital Morbidity Database.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Link to Contents,,,,,,,,,,,,,,,
