"Table D1.18.17 Qld: Hospitalisations of Indigenous Australians for mental health-related conditions (based on principal diagnosis), by type of condition and sex, Queensland and Australia, July 2017 to June 2019",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,Males,,,,,,,Females,,,,,,,Persons(a),,,,,
Principal diagnosis,Number,%(b),"Crude rate (per 1,000)","Age-std. rate (per 1,000)(c)",Rate ratio(d),Rate difference(e),,Number,%(b),"Crude rate (per 1,000)","Age-std. rate (per 1,000)(c)",Rate ratio(d),Rate difference(e),,Number,%(b),"Crude rate (per 1,000)","Age-std. rate (per 1,000)(c)",Rate ratio(d),Rate difference(e)
,Queensland,,,,,,,,,,,,,,,,,,,
Mental and behavioural disorders due to psychoactive substance use (F10–F19),2934,42.3,12.8,16.6,4.1,12.6,,1733,28.3,7.5,8.7,2.7,5.5,,4667,35.7,10.1,12.5,3.5,8.9
"Schizophrenia, schizotypal and delusional disorders (F20–F29)",1706,24.6,7.4,8.7,2.8,5.6,,1076,17.6,4.6,5.6,2.6,3.4,,2782,21.3,6,7.1,2.7,4.5
Mood (affective) disorders (F30–F39),755,10.9,3.3,4.2,0.8,-1.2,,1018,16.6,4.4,5.3,0.5,-5.7,,1773,13.6,3.8,4.8,0.6,-3.5
"Neurotic, stress-related and somatoform disorders (F40–F48)",866,12.5,3.8,4.7,1,0,,1227,20.1,5.3,5.7,1,-0.1,,2093,16,4.5,5.2,1,-0.1
Disorders of adult personality and behaviour (F60–F69),131,1.9,0.6,0.7,2,0.3,,418,6.8,1.8,1.7,0.9,-0.1,,549,4.2,1.2,1.2,1.1,0.1
Behavioural and emotional disorders with onset usually occurring in childhood and adolescence (F90–F98),96,1.4,0.4,0.3,1.6,0.1,,99,1.6,0.4,0.3,2,0.2,,195,1.5,0.4,0.3,1.8,0.1
"Organic, including symptomatic, mental disorders (F00–F09)",201,2.9,0.9,2.1,1.5,0.8,,146,2.4,0.6,1.6,1.4,0.4,,347,2.7,0.8,1.8,1.5,0.6
Behavioural syndromes associated with physiological disturbances and physical factors (F50–F59),20,0.3,0.1,0.1,1,0,,81,1.3,0.3,0.3,0.2,-0.9,,101,0.8,0.2,0.2,0.3,-0.4
Unspecified mental disorder (F99),0,0,n.p.,n.p.,n.p.,n.p.,,0,0,n.p.,n.p.,n.p.,n.p.,,0,0,n.p.,n.p.,n.p.,n.p.
Mental retardation (F70–F79),25,0.4,0.1,0.1,4.9,0.1,,10,0.2,0,n.p.,n.p.,n.p.,,35,0.3,0.1,0.1,2.9,0.1
Disorders of psychological development (F80–F89),29,0.4,0.1,0.1,0.6,0,,18,0.3,0.1,n.p.,n.p.,n.p.,,47,0.4,0.1,0.1,0.6,0
Other(f),176,2.5,0.8,0.8,1.4,0.2,,290,4.7,1.2,1.3,1.7,0.5,,466,3.6,1,1,1.6,0.4
Total,6939,100,30.2,38.4,1.9,18.5,,6116,100,26.3,30.6,1.1,3.3,,13055,100,28.3,34.3,1.5,10.7
,Australia,,,,,,,,,,,,,,,,,,,
Mental and behavioural disorders due to psychoactive substance use (F10–F19),10308,43,12.4,15.3,3.8,11.3,,7509,32.5,9,10.5,3.8,7.7,,17818,37.8,10.7,12.8,3.8,9.4
"Schizophrenia, schizotypal and delusional disorders (F20–F29)",6306,26.3,7.6,8.6,3.3,6,,3964,17.1,4.8,5.5,3,3.7,,10271,21.8,6.2,7.1,3.2,4.8
Mood (affective) disorders (F30–F39),2419,10.1,2.9,3.6,0.9,-0.4,,3850,16.6,4.6,5.5,0.7,-2.1,,6269,13.3,3.8,4.6,0.8,-1.3
"Neurotic, stress-related and somatoform disorders (F40–F48)",2575,10.7,3.1,3.7,1.3,0.9,,3835,16.6,4.6,4.9,1.3,1.1,,6411,13.6,3.9,4.3,1.3,1
Disorders of adult personality and behaviour (F60–F69),671,2.8,0.8,0.9,2.4,0.5,,1865,8.1,2.2,2.2,1.3,0.5,,2538,5.4,1.5,1.6,1.5,0.5
Behavioural and emotional disorders with onset usually occurring in childhood and adolescence (F90–F98),360,1.5,0.4,0.3,2.2,0.2,,250,1.1,0.3,0.2,2.1,0.1,,611,1.3,0.4,0.3,2.1,0.2
"Organic, including symptomatic, mental disorders (F00–F09)",537,2.2,0.6,1.7,1.4,0.5,,543,2.3,0.7,1.5,1.5,0.5,,1080,2.3,0.7,1.6,1.4,0.5
Behavioural syndromes associated with physiological disturbances and physical factors (F50–F59),34,0.1,0,0,0.7,0,,251,1.1,0.3,0.2,0.3,-0.6,,285,0.6,0.2,0.1,0.3,-0.3
Unspecified mental disorder (F99),22,0.1,0,0,2.3,0,,25,0.1,0,0,3.2,0,,47,0.1,0,0,2.7,0
Mental retardation (F70–F79),58,0.2,0.1,0.1,4.1,0.1,,48,0.2,0.1,0,2.6,0,,106,0.2,0.1,0.1,3.3,0
Disorders of psychological development (F80–F89),124,0.5,0.1,0.1,1,0,,80,0.3,0.1,0.1,1,0,,204,0.4,0.1,0.1,1,0
Other(f),550,2.3,0.7,0.6,1.2,0.1,,906,3.9,1.1,1.1,1.7,0.5,,1456,3.1,0.9,0.9,1.5,0.3
Total,23964,100,28.8,35.2,2.2,19.2,,23126,100,27.8,31.8,1.6,11.4,,47096,100,28.3,33.4,1.8,15.2
(a) Persons data includes sex not stated and indeterminate.,,,,,,,,,,,,,,,,,,,,
"(b) Proportion of male, female and total hospitalisations of Indigenous Australians in the period July 2017 to June 2019.",,,,,,,,,,,,,,,,,,,,
"(c) Age-standardised (age-std.) rates have been calculated using the direct method, with 2001 Australian population by 5-year age groups (up to 75+) as the standard population. ",,,,,,,,,,,,,,,,,,,,
(d) Rate ratio is the age-standardised rate for Indigenous Australians divided by the age-standardised rate for non-Indigenous Australians.,,,,,,,,,,,,,,,,,,,,
(e) Rate difference is the age-standardised rate for Indigenous Australians minus the age-standardised rate for non-Indigenous Australians.,,,,,,,,,,,,,,,,,,,,
