"Table D1.18.17 WA: Hospitalisations of Indigenous Australians for mental health-related conditions (based on principal diagnosis), by type of condition and sex, Western Australia and Australia, July 2017 to June 2019",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,Males,,,,,,,Females,,,,,,,Persons(a),,,,,
Principal diagnosis,Number,%(b),"Crude rate (per 1,000)","Age-std. rate (per 1,000)(c)",Rate ratio(d),Rate difference(e),,Number,%(b),"Crude rate (per 1,000)","Age-std. rate (per 1,000)(c)",Rate ratio(d),Rate difference(e),,Number,%(b),"Crude rate (per 1,000)","Age-std. rate (per 1,000)(c)",Rate ratio(d),Rate difference(e)
,Western Australia,,,,,,,,,,,,,,,,,,,
Mental and behavioural disorders due to psychoactive substance use (F10–F19),1482,50.1,14.1,16.1,5.5,13.2,,1371,41.8,13.1,14.8,8.2,13,,2853,45.8,13.6,15.4,6.5,13
"Schizophrenia, schizotypal and delusional disorders (F20–F29)",812,27.4,7.7,8.1,4.2,6.2,,571,17.4,5.5,5.9,4.7,4.6,,1383,22.2,6.6,7,4.4,5.4
Mood (affective) disorders (F30–F39),226,7.6,2.2,2.4,1,0,,378,11.5,3.6,4.2,1,0.2,,604,9.7,2.9,3.3,1,0.1
"Neurotic, stress-related and somatoform disorders (F40–F48)",241,8.1,2.3,2.6,1.9,1.3,,483,14.7,4.6,4.9,2.1,2.6,,724,11.6,3.5,3.8,2.1,1.9
Disorders of adult personality and behaviour (F60–F69),58,2,0.6,0.6,1.7,0.2,,201,6.1,1.9,1.8,1,0,,259,4.2,1.2,1.2,1.1,0.1
Behavioural and emotional disorders with onset usually occurring in childhood and adolescence (F90–F98),14,0.5,0.1,n.p.,n.p.,n.p.,,19,0.6,0.2,0.1,1.3,0,,33,0.5,0.2,0.1,1.4,0
"Organic, including symptomatic, mental disorders (F00–F09)",72,2.4,0.7,2.1,1.6,0.8,,78,2.4,0.7,1.8,1.6,0.7,,150,2.4,0.7,1.9,1.6,0.7
Behavioural syndromes associated with physiological disturbances and physical factors (F50–F59),n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,,n.p.,n.p.,n.p.,0.3,0.6,-0.2,,42,0.7,0.2,0.2,0.6,-0.1
Unspecified mental disorder (F99),n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
Mental retardation (F70–F79),n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,,11,0.2,0.1,n.p.,n.p.,n.p.
