Table D1.18.2: Selected population characteristics of Indigenous persons (18 and over) reporting high levels of psychological distress 2018–19(a),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,Remoteness,,,,,,,,,Overall population distribution(b)
,Non-remote,,,Remote,,,Total,,,
,Number,Rate(c),,Number,Rate(c),,Number,Rate(c),,%(d)
Age,,,,,,,,,,
18–24,26365,30.3,,4877,28.3,,31434,30.1,,21.7
25–34,29675,31.7,,6311,26.9,,36083,30.9,,24.3
35–44,20074,31.2,,5776,32.4,,25824,31.3,,17.1
45–54,22084,34.3,,5312,32.5,,27246,33.6,,16.8
55+ ,24973,31.9,,3842,21.6,,28897,30.2,,19.9
Sex,,,,,,,,,,
Males,49362,26.6,,11126,25.1,,60566,26.4,,47.7
Females,73404,36.2,,15269,31.5,,88589,35.3,,52.3
State/territory,,,,,,,,,,
NSW,46123,29.6,,"1,946†",32.8†,,48845,30.2,,33.7
Vic,12796,36.2,, . ., . .,,12796,36.2,,7.4
Qld,34904,32.5,,6114,26.1,,40177,30.7,,27.3
WA,11207,31.3,,7402,31.9,,18882,32.4,,12.1
SA,7869,36.4,,1277,35.1,,9350,37.1,,5.2
Tas,5572,32.6,,115‡,16.7‡,,5633,31.1,,3.7
ACT,1393,29.2,, . ., . .,,1393,29.2,,1
NT,3109,31.3,,9055,25.2,,12443,26.9,,9.6
All,. . ,31.8,,. . ,28.3,,. . ,31.1,,100
Total number,123152,. . ,,26164,. . ,,149443,. . ,,480726
† Estimate has a relative standard error between 25% and 50% and should be used with caution.,,,,,,,,,,
‡ Estimate has a relative standard error greater than 50% and is considered too unreliable for general use.,,,,,,,,,,
(a) Based on the Kessler-5 (K5) measure of psychological distress. Overall levels of distress are based on how often respondents reported experiencing each feeling. High/very high is a score of 12–25.,,,,,,,,,,
(b) Includes Unable to determine.,,,,,,,,,,
(c) Indigenous persons aged 18 and over reporting high levels of psychological distress per 100 Indigenous persons.,,,,,,,,,,
(d) Distribution of total population.,,,,,,,,,,
Notes,,,,,,,,,,
1.  Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,,,,,,,,,,
2. Data excludes not stated responses.,,,,,,,,,,
Source: AIHW and ABS analysis of National Aboriginal and Torres Strait Islander Health Survey 2018–19.,,,,,,,,,,
,,,,,,,,,,
Link to Contents,,,,,,,,,,
