"Table D1.18.24: Intentional self-harm mortality rates, by Indigenous status and sex, NSW, Qld, WA, SA and NT, 2006 to 2019",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,,,,,,,,,,,,,,,2006–2019,,2010–2019,
,2006,2007,2008.0,2009.0,2010(a),2011.0,2012.0,2013.0,2014.0,2015(b),2016.0,2017.0,2018.0,2019.0,Annual change(c),% change over period(d),Annual change(c),% change over period(d)
,Indigenous deaths,,,,,,,,,,,,,,,,,
Males,76,77,75.0,75.0,81,96.0,82.0,101.0,104.0,111,117.0,125.0,130.0,137.0,5.1*,100.1*,6.1*,68.3*
Females,22,18,26.0,25.0,26,40.0,38.0,39.0,44.0,43,43.0,40.0,43.0,58.0,2.4*,152.7*,2.0*,55.6*
Persons,98,95,101.0,100.0,107,136.0,120.0,140.0,148.0,154,160.0,165.0,173.0,195.0,7.5*,112.5*,8.1*,64.7*
,Non-Indigenous deaths,,,,,,,,,,,,,,,,,
Males,1090,1165,1196.0,1150.0,1276,1214.0,1353.0,1341.0,1478.0,1582,1470.0,1685.0,1656.0,1676.0,48.3*,58.8*,53.6*,39.2*
Females,310,358,339.0,349.0,366,373.0,453.0,451.0,487.0,522,469.0,549.0,506.0,526.0,18.2*,75.3*,17.8*,41.1*
Persons,1400,1523,1535.0,1499.0,1642,1587.0,1806.0,1792.0,1965.0,2104,1939.0,2234.0,2162.0,2202.0,66.5*,62.6*,71.4*,39.6*
,"Indigenous crude rate (per 100,000)",,,,,,,,,,,,,,,,,
Males,27.2,26.8,25.5,24.9,26.3,30.4,25.4,30.6,30.8,32.2,33.3,34.9,35.5,36.7,0.9*,46.8*,1.1*,38.3*
Females,7.8,6.2,8.7,8.2,8.3,12.5,11.7,11.7,13.0,12.4,12.2,11.1,11.7,15.5,0.5*,88.8*,0.3,29.8
Persons,17.4,16.5,17.1,16.5,17.3,21.4,18.5,21.1,21.9,22.3,22.7,23.0,23.6,26.1,0.7*,57.1*,0.7*,36.1*
