"Table D1.18.25: Intentional self-harm mortality rates, by Indigenous status and age, NSW, Qld, WA, SA and NT, 2006 to 2019",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,,,,,,,,,,,,,,,2006–2019,,2010–2019,
Age group (years),2006,2007,2008,2009.0,2010(a),2011,2012.0,2013,2014.0,2015(b),2016.0,2017,2018,2019.0,Annual change(c),% change over period(d),Annual change(c),% change over period(d)
,"Indigenous rate (per 100,000)",,,,,,,,,,,,,,,,,
0–14,n.p.,2.8,n.p.,0.0,n.p.,n.p.,2.1,2.9,3.3,n.p.,2.1,n.p.,n.p.,2.0,n.p.,n.p.,n.p.,n.p.
15–19,32.5,27.7,26.6,32.0,26.5,44.5,36.3,41.8,24.9,37.4,32.2,39.6,30.8,35.9,0.4,18.4,-0.1,-1.7
20–24,39.4,38.2,53.4,43.6,34,54.2,36.4,34.9,49.7,46.7,52.1,43.9,51,57.5,0.9,28.7,1.7,39
25–29,54.1,27.7,51.2,33.0,38.8,43.9,31.9,32.9,49.6,41.7,52.5,47,43.4,45.2,0.4,13.6,1.1,26.1
30–34,21.9,37.7,28.4,41.8,31.3,33.8,48.2,46.7,38.0,43.5,57.3,55.5,47.5,45.9,1.9*,82.6*,1.8*,44.9*
35–39,37.5,31.5,21.6,23.9,31.4,32,30.6,52.2,42.3,42.2,28.9,33.3,62.2,48.0,1.6*,77.2*,1.8,51.9
40–44,22.8,16.8,16.4,21.5,26.2,20.4,27.2,24.4,36.5,44.3,35.1,36.2,29.1,45.6,1.8*,143.6*,1.9*,73.5*
45–49,n.p.,16.5,22.3,15.4,21.1,26.4,14.4,n.p.,33.2,21.6,13.1,35.6,20,49.7,n.p.,n.p.,n.p.,n.p.
50+,7.8,7.4,4.2,6.6,11.3,11.9,9.0,18.1,8.1,12.6,12.0,10.6,16,12.9,0.6*,108.1*,0.2,18.1
Total (crude rate),17.4,16.5,17.1,16.5,17.3,21.4,18.5,21.1,21.9,22.3,22.7,23,23.6,26.1,0.7*,57.1*,0.7*,36.1*
Total (age-standardised rate)(e),18.4,17.2,16.8,16.7,19.9,22.6,18.9,22.7,22.4,24.2,23.5,24.1,24.9,27.1,0.7*,57.8*,0.7*,30.3*
,"Non–Indigenous rate (per 100,000)",,,,,,,,,,,,,,,,,
