"Table D1.18.26: Intentional self-harm mortality rates, by Indigenous status and jurisdiction, NSW, Qld, WA, SA and NT, 2006 to 2019",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,,,,,,,,,,,,,,,2006–2019,,2010–2019,
,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015(a),2016,2017,2018,2019,Annual change(b),% change over period(c),Annual change(b),% change over period(c)
,Indigenous deaths ,,,,,,,,,,,,,,,,,
NSW,7,14,15,19,21,18,21,25,23,41,40,44,48,50,3.2*,621.3*,3.9*,229.9*
Qld(d),31,35,30,35,27,45,31,52,40,53,51,53,63,73,2.9*,146.6*,4.0*,116.9*
WA,33,14,28,24,28,36,34,35,46,40,47,27,39,30,1.1,52.5,0.2,5.3
SA,10,n.p.,10,n.p.,6,10,7,10,10,7,n.p.,14,n.p.,12,n.p.,n.p.,n.p.,n.p.
NT,17,29,18,18,25,27,27,18,29,13,18,27,21,30,0.2,13.3,-0.1,-3
"NSW, Qld, WA, SA & NT",98,95,101,100,107,136,120,140,148,154,160,165,173,195,7.5*,112.5*,8.1*,64.7*
,"Indigenous crude rate (per 100,000)",,,,,,,,,,,,,,,,,
NSW,3.4,6.6,6.8,8.4,9.1,7.6,8.7,10.1,9.1,15.8,15.1,16.3,17.4,17.8,1.1*,337.4*,1.3*,159.5*
Qld(d),17.7,19.4,16.2,18.5,13.9,22.6,15.2,25,18.8,24.4,23,23.4,27.3,30.9,0.9*,75.4*,1.4*,75.9*
WA,39.7,16.5,32.3,27.1,31,39.1,36.3,36.7,47.4,40.5,46.8,26.3,37.2,28.1,0.5,21.3,-0.4,-9.3
SA,28.8,n.p.,27.6,n.p.,15.9,25.9,17.8,24.9,24.5,16.8,n.p.,32.4,n.p.,26.7,n.p.,n.p.,n.p.,n.p.
NT,27.6,46.1,28,27.5,37.4,39.6,38.8,25.4,40.2,17.7,24.1,35.7,27.4,38.7,-0.3,-10.5,-0.7,-17.7
"NSW, Qld, WA, SA & NT",17.4,16.5,17.1,16.5,17.3,21.4,18.5,21.1,21.9,22.3,22.7,23,23.6,26.1,0.7*,57.1*,0.7*,36.1*
,"Indigenous age-standardised rate (per 100,000)(e)",,,,,,,,,,,,,,,,,
NSW,n.p.,n.p.,n.p.,n.p.,12.6,n.p.,9.8,11.8,9.4,20,18.2,18.2,20.9,20.6,n.p.,n.p.,n.p.,n.p.
