"Table D1.18.3: Persons (18 and over) reporting high/very high levels of psychological distress, by Indigenous status, remoteness, age, sex and jurisdiction, 2017–18 and 2018–19(a)(b)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,Remoteness,,,,,,,,,,,,,,Overall population distribution(c),
,Non-remote,,,,Remote,,,,Total,,,,,,,
,Indigenous,Non-Indigenous,Rate ratio(d),,Indigenous,Non-Indigenous,Rate ratio(d),,Indigenous,Non-Indigenous,Rate ratio(d),Indigenous,Non-Indigenous,,Indigenous,Non-Indigenous
,Rate(e),,,,,,,,,,,Number ('000s),,,%(f),
Age(g),,,,,,,,,,,,,,,,
18–24,30.3,17.1,1.8,,28.3,2,14.2,,30.1,16.7,1.8,31.4,362.1,,21.7,11.8
25–34,31.7,13.9,2.3,,26.9,9.1,3,,30.9,13.7,2.3,36.1,484.3,,24.3,19.3
35–44,31.2,12.2,2.6,,32.4,7.2,4.5,,31.3,12,2.6,25.8,380.3,,17.1,17.4
45–54,34.3,14.1,2.4,,32.5,11.5,2.8,,33.6,14,2.4,27.2,431.9,,16.8,16.9
55+ ,31.9,11.8,2.7,,21.6,9.2,2.3,,30.2,11.8,2.6,28.9,752.6,,19.9,34.7
Sex,,,,,,,,,,,,,,,,
Males,26.7,11.5,2.3,,24.5,7.2,3.4,,26.4,11.4,2.3,60.6,1015.5,,47.7,49.1
Females,36.4,15.1,2.4,,30.9,7.9,3.9,,35.4,15,2.4,88.6,1388.4,,52.3,50.1
State/territory,,,,,,,,,,,,,,,,
NSW,30,12.8,2.3,,35.9†,n.p.,. .,,30.8,12.7,2.4,48.8,743.4,,33.7,32.1
Vic,36.5,14.1,2.6,,. .,. .,. .,,36.5,14.1,2.6,12.8,678.8,,7.4,26.6
Qld,33,13.2,2.5,,24.6,10.3,2.4,,30.7,13.1,2.3,40.2,467.6,,27.3,19.5
WA,30.6,13,2.4,,32.1,7.6,4.2,,32,12.8,2.5,18.9,237.2,,12.1,10.2
SA,36.4,14.3,2.5,,36.5,3.4,10.7,,37.6,13.7,2.7,9.4,176.4,,5.2,7.1
Tas,30.8,14.1,2.2,,20.1‡,n.p.,. .,,30,14.1,2.1,5.6,52.1,,3.7,2.1
ACT,29.9,12.8,2.3,,. .,. .,. .,,29.9,12.8,2.3,1.4,39.1,,1,1.7
NT,29.9,11,2.7,,23.2,7.3,3.2,,25.1,10.5,2.4,12.4,12.6,,9.6,0.7
All,32,13.3,2.4,,27.7,7.5,3.7,,31.2,13.2,2.4,. . ,. .,,100,100
Total number ('000s),123,2386.6,. .,,26,17.8,. .,,149,2405.2,. .,149,2405.2,,481,18324.3
† Estimate has a relative standard error between 25% and 50% and should be used with caution.,,,,,,,,,,,,,,,,
‡ Estimate has a relative standard error greater than 50% and is considered too unreliable for general use.,,,,,,,,,,,,,,,,
(a) Based on the Kessler-5 (K5) measure of psychological distress. Overall levels of distress are based on frequency responses. High/very high is based on a score of 12–25.,,,,,,,,,,,,,,,,
"(b) Rates and percentages are directly age-standardised to the 2001 Australian standard population, using 10 year age groups up to 55+. ",,,,,,,,,,,,,,,,
(c) Includes Unable to determine.,,,,,,,,,,,,,,,,
(d) Rate ratio is calculated by dividing the Indigenous rate by the non-Indigenous rate.,,,,,,,,,,,,,,,,
(e) Persons aged 18 and over reporting high levels of psychological distress per 100 persons aged 18 and over.,,,,,,,,,,,,,,,,
(f) Distribution of total population.,,,,,,,,,,,,,,,,
"(g) Data for specific age groups are not age-standardised, only the totals.",,,,,,,,,,,,,,,,
Note: Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,,,,,,,,,,,,,,,,
Sources: AIHW and ABS analysis of National Aboriginal and Torres Strait Islander Health Survey 2018–19 and National Health Survey 2017–18.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Link to Contents,,,,,,,,,,,,,,,,
