"Table D1.18.4: Remoteness by personal stressors experienced in last 12 months, Indigenous Australians aged 15 and over 2014–15(a)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,Remoteness,,,,,,,
,Major city,Inner regional,Outer regional,Total non-remote,Remote,Very remote,Total remote,Australia(b)
,%,,,,,,,
Experienced stressors in last 12 months,,,,,,,,
Yes,68.6,70.1,66.9,68.6,65.4,68.3,67.4,68.4
No,31.2,29.5,33.2,31.2,34.7,31.4,32.6,31.6
Total number(c),155262.2,95464.4,95974,346757.3,34934.7,61747.4,96558,443389.9
Number of stressors experienced,,,,,,,,
One,46.1,53.7,45.9,48,48.8,46.3,47.2,47.8
Two,29.3,24.4,29.8,28.2,33,36.8,35.4*,29.7
Three or more,24.8,22.6,24.2,23.9,18.7,17.2,17.5*,22.6
Total one or more stressors(c),106452,66958.6,64206.1,237877.9,22860.5,42201.6,65112.3,303291.5
Mean number of stressors,2,2,2,2,2,2,2,2
Type of stressor/s experienced(d),,,,,,,,
Health related,,,,,,,,
Serious illness,16,9.8,10.7,13,9.1,8.6,8.9*,12
Serious accident,3,3.7,3.9†,3.4,2.7,4,3.5,3.5
Mental illness,13.1,10.6,10,11.6,6,5.4†,5.7*,10.3
Serious disability,3,3.1,4.7†,3.5,2.5†,2.2†,2.3,3.3
Total,28.4,22.8,24.3,25.6,17.2,18.2,17.9*,24
Sub-total health related,44106.8,21752.3,23288.5,88922.7,6010.4,11224.7,17249,106531
Household and relationships,,,,,,,,
Death of a family member or close friend,24.8,24.3,29.1,25.7,32.4,35.1,34.5*,27.6
Getting married/marriage,1.2†,0.3‡ ,0.7†,0.7†,0.2‡ ,0.7†,0.5†,0.7
Divorce or separation,3.9,4.5,3.2,4,1.8†,1.8,1.8*,3.4
Getting back together with spouse,1.5†,1.4†,1.2†,1.4,0.8†,1.3†,1.1†,1.3
Pregnancy,3.7,4.8†,3.8†,4,2.2†,2.2†,2.2*,3.6
New family member,2.3,1.8†,1.8†,2,0.9‡ ,1.0†,0.8*†,1.7
Overcrowding at home,6.9,4.6,5.9,5.8,8.2,10.3,9.3*,6.7
Total,36.5,35.6,38.5,36.9,42.6,44.8,44.0*,38.4
Sub-total household and relationships,56694,33979.7,36974.7,127791.9,14881.7,27680.8,42529.8,170137.3
Work related,,,,,,,,
Not able to get a job,15.7,19.2,21.9,18.3,17.7,19.5,18.8,18.5
Involuntary loss of job,4.8,6.6†,5.4,5.4,4.3†,2.7†,3.4*,4.9
Started a new job/changed job,4.8,4.9,4,4.5,2.2†,2.2†,2.2*†,4
Bullying or harassment at work,5.4,5.1,3.7†,4.8,2.0†,1.1†,1.5*,4.1
Pressure to fulfill cultural responsibilities,1.9†,1.0†,3.2‡ ,2.0†,2.2†,0.9†,1.4,1.9
Total,26.8,31.7,29.1,28.8,23,24.8,24.2*,27.7
Sub-total work related,41627.3,30225.4,27925,99842.3,8047.2,15301.3,23321.1,122995.3
Community safety,,,,,,,,
Alcohol-related problems,6.3,4.7,6.3,5.9,7,9.6,8.9*,6.5
Drug-related problems,5.1,3.5,3.9,4.4,5,4.7,4.7,4.5
Gambling problems,1.0†,1.0†,3.1†,1.5,1.4†,3.3†,2.5,1.7
Witness to violence,3.3,3.1†,2.4†,3.1,2.2,3.6,3.1,3.1
Abuse or violent crime,2.9,3.3,2.5†,2.9,2.5†,2.5†,2.5,2.8
Trouble with the police,3.5,4.5,3.6,3.7,5.3,6.2,5.9*,4.2
You/family member/close friend spent time in jail,3.6,5.1†,2.9†,3.8,4.1,4.2,4.5,4
Total,16.4,15.8,15.5,16.1,18.5,21.4,20.1*,16.9
Sub-total community safety,25500.6,15093.1,14834,55700,6478.8,13208.8,19443.5,74874.2
Discrimination,,,,,,,,
Treated badly because you are Aboriginal/Torres Strait Islander,5.6,4.7†,4.7,5,4.6,2.9,3.6*,4.8
Unwelcome at child's school,1.0†,0.6‡ ,0.4†,0.7,0.5‡ ,0.5‡ ,0.4†,0.7
Total,5.8,5.8,4.8,5.5,5,3.5,3.9*,5.2
Sub-total discrimination,8962,5503.4,4587,18916.5,1740.7,2146.8,3781.4,22896.6
None of the above,31.2,29.5,33.2,31.2,34.7,31.4,32.6,31.6
Sub-total other stressor(s),48407.7,28152.1,31836.6,108346.5,12107.8,19376.3,31522.5,139973.6
Total,100,100,100,100,100,100,100,100
Total population with one or more stressors,106452,66958.6,64206.1,237877.9,22860.5,42201.6,65112.3,303291.5
Total number of persons 15 years and over,155331.8,95464.4,96283,346791,35077.8,61819,96676.9,443418.7
* Represents statistically significant differences at the p < 0.05 level. Statistical testing compares the percentages in 'Total remote' to the percentages in the reference group 'Total non-remote'.,,,,,,,,
† Per cent has a relative standard error between 25% and 50% and should be used with caution.,,,,,,,,
‡ Per cent has a relative standard error greater than 50% and is considered too unreliable for general use.,,,,,,,,
(a) Stressors personally experienced.,,,,,,,,
"(b) Proportions have been calculated on the total number of Indigenous persons aged 15 and over, not the total population with one or more stressors.",,,,,,,,
(c) Total excludes 'refused'.,,,,,,,,
(d) Multiple responses allowed. Components will not add to total. Percentages are of those who experienced one or more stressors.,,,,,,,,
Note: Percentages add within columns. Estimates have been rounded and discrepancies may occur between sums of the component items and totals.,,,,,,,,
Source:  AIHW and ABS analysis of National Aboriginal and Torres Strait Islander Social Survey 2014–15.,,,,,,,,
,,,,,,,,
Link to Contents,,,,,,,,
