"Table D1.18.8: Aboriginal and Torres Strait Islander persons aged 18 and over(a), Social and Emotional Wellbeing items (PMS), 2018–19",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Response ,,,,,,,,Total(b)
,Strongly Agree,,Agree,,Disagree,,Strongly Disagree,,
,%,Number,%,Number,%,Number,%,Number,Number
Pearlin Mastery Scale (PMS) - Individual items(c),,,,,,,,,
I have little control over the things that happen to me,6.2,23829,21.6,83214,47.8,183703,23.5,90354,384405
There is really no way I can solve some of the problems I have,8.9,34214,22.6,86692,44.7,171831,23,88418,384320
There is little I can do to change many of the important things in my life,4.6,17816,24.4,93862,50.4,193687,19.5,74775,384057
Sometimes I feel that I'm being pushed around in life,7,26810,27.1,104142,41.4,159307,23.7,91311,384462
What happens to me in the future mostly depends on me,38.6,148418,52.5,201751,6.3,24256,1.8,6826,384341
I can do just about anything I really set my mind to,34.8,133822,49.5,190363,11.8,45361,2.7,10403,384266
(a) Persons aged 18 and over living in non-remote areas of Australia only. ,,,,,,,,,
(b) Total includes 'don't know'. Excludes refusals. ,,,,,,,,,
"(c) The Pearlin Mastery Scale is a 7-item, self-report scale that measures the extent to which an individual feels control over life outcomes. The 2018–19 NATSIHS included a modified version. This is not comparable with the 2012–13 NATSIHS.",,,,,,,,,
Note: Percentages add within rows. Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,,,,,,,,,
Source: AIHW and ABS analysis of National Aboriginal and Torres Strait Islander Health Survey 2018–19.,,,,,,,,,
,,,,,,,,,
Link to Contents,,,,,,,,,
