"Table D2.05.10: School attendance by state/territory, Aboriginal and Torres Strait Islander children aged 4–14, 2014–15",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,NSW,,Vic,,Qld,,WA,,SA,,Tas,,ACT,,NT,,Australia,
,Number,%,Number,%,Number,%,Number,%,Number,%,Number,%,Number,%,Number,%,Number,%
School attendance,,,,,,,,,,,,,,,,,,
Child usually attends school,51307,96.7,12029,95.1,49439,94.4,21513,98.2,9426,97.6,5981,94.4,1348,97.4,15327,96,166289,96
Child does not usually attend school,"2,002†",3.8†,587†,4.6†,"2,666†",5.1†,632†,2.9†,132‡,1.4‡,270†,4.3†,0,0,641†,4.0†,6804,3.9
Whether child missed days at school in last week,,,,,,,,,,,,,,,,,,
Missed days at school/preschool/kindergarten,14268,26.9,4312,34.1,14423,27.5,7013,32,2315,24,2451,38.7,508,36.7,2849,17.8,48875,28.2
Did not miss days at school/preschool/kindergarten,36280,68.4,8033,63.5,34944,66.7,14507,66.2,7111,73.7,3531,55.7,856,61.8,12432,77.9,117294,67.7
Does not usually attend school,"2,002†",3.8†,587†,4.6†,"2,666†",5.1†,632†,2.9†,132‡,1.4‡,270†,4.3†,0,0,641†,4.0†,6804,3.9
Whether child missed school without permission in last 12 months,,,,,,,,,,,,,,,,,,
Problems with child not attending school,"1,336†",2.5†,584†,4.6†,"1,947†",3.7†,2130,9.7,764†,7.9†,182†,2.9†,101†,7.3†,"2,482†",15.5†,9157,5.3
No problems with child not attending school,47156,88.9,10047,79.4,43714,83.4,17516,80,7469,77.4,5071,80.1,1128,81.5,11020,69,143139,82.7
Not known,0,0,168‡,1.3‡,200‡,0.4‡,136‡,0.6‡,0,0,0,0,0,0,611†,3.8†,907†,0.5†
Does not usually attend school (or attends preschool or is home schooled),4493,8.5,2141,16.9,6497,12.4,2358,10.8,1150,11.9,1079,17,105†,7.6†,2035,12.7,19924,11.5
Total ,53071,100,12650,100,52399,100,21902,100,9653,100,6334,100,1385,100,15968,100,173142,100
† Numbers and percents have a relative standard error between 25% and 50% and should be used with caution.,,,,,,,,,,,,,,,,,,
‡ Numbers and percents have a relative standard error greater than 50% and are considered too unreliable for general use.,,,,,,,,,,,,,,,,,,
Note: Excludes not stated and not applicable.,,,,,,,,,,,,,,,,,,
Source: AIHW and ABS analysis of National Aboriginal and Torres Strait Islander Social Survey 2014–15.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Link to Contents,,,,,,,,,,,,,,,,,,
