"Table D2.05.13: Whether treated unfairly at school because Aboriginal and/or Torres Strait Islander, by state/territory, people aged 2–14, 2014–15(a)(b)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Aust
,Estimate ('000),,,,,,,,
Has been treated unfairly at school ,,,,,,,,,
Treated unfairly at current school,2.1,1,3.6,1.4,0.7,0.1,0.1,0.6,9.4
Not treated unfairly at current school (but has been treated unfairly at previous school),1.8,0.1,2.4,0.8,0.1,—,—,0.6,5.5
Total reporting unfair treatment at school,4.5,1.2,5.3,1.8,0.8,0.1,0.2,1.4,15.3
Changed school because of unfair treatment,0.9,0.1,0.8,0.4,0.1,—,—,0.1,2.4
Did not change school because unfair treatment,3.5,1,4.2,1.6,0.8,0.2,0.1,1.4,13.2
Progress at school affected by unfair treatment,1.1,0.7,0.8,0.7,0.4,0.1,0.1,0.2,4.7
Progress at school not affected by unfair treatment,2.3,0.4,3.2,1.1,0.3,0.2,0,1.3,8.7
Has not been treated unfairly at school,49.5,10.9,44.8,19,8.7,5.9,1.3,13.4,153.5
Total population aged 2–14(c),55.5,12.7,50.8,22.1,10,6.1,1.4,15.6,174.7
,%,,,,,,,,
Has been treated unfairly at school,,,,,,,,,
Treated unfairly at current school,3.8†,8.2†,7.2,6.5†,6.8†,1.8‡,9.3‡,3.9†,5.4
Not treated unfairly at current school (but has been treated unfairly at previous school),3.3‡,0.8‡,4.7†,3.4†,1.0‡,0,2.4‡,3.6‡,3.1†
Total reporting unfair treatment at school,8.2,9.1†,10.4,8.2,7.6†,2.0‡,14.6†,8.7†,8.7
Changed school because of unfair treatment,1.6‡,1.1‡,1.5‡,1.7‡,1.3‡,0,2.6‡,0.6‡,1.4†
Did not change school because unfair treatment,6.3†,8.0†,8.3†,7.1,8.0†,2.7†,8.3‡,9.2†,7.6
Progress at school affected by unfair treatment,2.0†,5.2†,1.5‡,3.4†,4.0†,0.8‡,7.8‡,1.6†,2.7
Progress at school not affected by unfair treatment,4.1†,3.3†,6.3†,4.9†,2.7‡,2.6†,2.8‡,8.1‡,5
Has not been treated unfairly at school ,89.1,86,88.3,85.9,86.8,97,90.8,85.9,87.8
Total population aged 2–14(c) ,100,100,100,100,100,100,100,100,100
† Proportion has a relative standard error between 25% and 50% and should be used with caution.,,,,,,,,,
‡ Proportion has a relative standard error greater than 50% and is considered too unreliable for general use.,,,,,,,,,
"(a) Excludes approximately 33,000 children who do not usually attend school or are home schooled. ",,,,,,,,,
"(b) These data are not directly comparable with 2008 data due to differences in question methodology between the 2014–15 and 2008 NATSISS. In 2008, survey respondents were asked about bullying and unfair treatment in a single question. In 2014–15 the respondent was asked about bullying and unfair treatment in separate questions. ",,,,,,,,,
(c) Includes children where it was not known if they had been treated unfairly at school.,,,,,,,,,
Source:  AIHW and ABS analysis of National Aboriginal and Torres Strait Islander Social Survey 2014–15. ,,,,,,,,,
,,,,,,,,,
Link to Contents,,,,,,,,,
