"Table D2.05.2: Number of full-time students and apparent retention rates, by Indigenous status, sex and state/territory, 2021(a)(b)(c)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,NSW,,,Vic,,,Qld,,,WA,,,SA,,,Tas,,,ACT,,,NT,,,Australia,
,Indigenous Australians,Other Australians(d),,Indigenous Australians,Other Australians(d),,Indigenous Australians,Other Australians(d),,Indigenous Australians,Other Australians(d),,Indigenous Australians,Other Australians(d),,Indigenous Australians,Other Australians(d),,Indigenous Australians,Other Australians(d),,Indigenous Australians,Other Australians(d),,Indigenous Australians,Other Australians(d)
Males,Number,,,,,,,,,,,,,,,,,,,,,,,,,
Year 10,3109,44698,,625,37080,,2542,31158,,1027,15130,,537,10003,,322,2976,,81,2791,,508,876,,8751,144712
Year 11,1948,36640,,478,33418,,2114,27274,,789,13866,,442,9559,,213,2288,,76,2540,,393,786,,6453,126371
Year 12,1174,31323,,330,28694,,1583,24221,,532,12143,,291,8349,,150,1970,,51,2262,,232,631,,4343,109593
Females,,,,,,,,,,,,,,,,,,,,,,,,,,
Year 10,3037,42626,,663,35948,,2732,29717,,1023,14540,,489,9544,,326,2807,,97,2597,,532,813,,8899,138592
Year 11,2116,37364,,564,33571,,2159,26897,,839,13513,,485,9559,,246,2414,,93,2460,,423,715,,6925,126493
Year 12,1416,33722,,432,30886,,1599,24747,,556,12259,,357,8622,,173,2247,,79,2330,,238,717,,4850,115530
Persons,,,,,,,,,,,,,,,,,,,,,,,,,,
Year 10,6146,87324,,1288,73028,,5274,60875,,2050,29670,,1026,19547,,648,5783,,178,5388,,1040,1689,,17650,283304
Year 11,4064,74004,,1042,66989,,4273,54171,,1628,27379,,927,19118,,459,4702,,169,5000,,816,1501,,13378,252864
Year 12,2590,65045,,762,59580,,3182,48968,,1088,24402,,648,16971,,323,4217,,130,4592,,470,1348,,9193,225123
,%,,,,,,,,,,,,,,,,,,,,,,,,,
Males,,,,,,,,,,,,,,,,,,,,,,,,,,
Year 7/8 to Year 10(e),109.5,101.8,,100.2,100.5,,96.5,99.8,,87.7,98,,101.5,101.5,,108.1,98.4,,106.6,103.1,,72.9,91.1,,98.7,100.5
Year 7/8 to Year 11(e),73.5,86.6,,90.2,94.6,,80.1,91.8,,74.1,92.5,,101.8,103.1,,77.5,81.9,,97.4,96.4,,58.1,85.5,,77.3,91.6
Year 7/8 to Year 12(e),47.4,73.8,,60.1,82.8,,64.8,83.6,,54.6,82.2,,72,87.2,,58.8,69.8,,67.1,86.6,,31.6,70.7,,54.9,80.1
Year 10 to Year 12(f),44.8,73.4,,60.6,79.8,,67.6,81.9,,64.9,83.7,,70.8,83.8,,57.3,69.1,,63.8,86,,42.2,75.8,,56.9,78.9
Year 11 to Year 12(g),62.7,83.6,,70.1,86.3,,79.1,88.7,,72.4,85.4,,68,82.4,,72.5,81.1,,63,86.1,,53.6,80.9,,69.7,85.5
Females,,,,,,,,,,,,,,,,,,,,,,,,,,
Year 7/8 to Year 10(e),109,100.5,,102.8,101.3,,101.8,101,,92.6,98.2,,106.5,101.3,,108.7,99.1,,110.2,99.9,,76.4,89.6,,101.5,100.5
Year 7/8 to Year 11(e),81,91.5,,96.9,100,,85,95.8,,79.5,96.1,,105.7,107.8,,97.6,91.5,,113.4,100.8,,64.3,86.6,,84,96.3
Year 7/8 to Year 12(e),58.4,83.5,,76.5,93,,69.3,90.3,,58,88.8,,86.2,96.5,,73.6,83.7,,100,95.9,,35,80,,63.3,89.1
Year 10 to Year 12(f),54.8,82.6,,74.2,88.7,,70.2,86.8,,66.1,90,,81.5,91.5,,70.3,82.3,,97.5,94.1,,46.2,90,,64.1,86.7
Year 11 to Year 12(g),70.7,89,,81.4,91.8,,79.3,92.1,,73.3,91.1,,73.8,87.7,,79.7,89.1,,94,91.7,,56.8,89.7,,74.4,90.6
Persons,,,,,,,,,,,,,,,,,,,,,,,,,,
Year 7/8 to Year 10(e),109.2,101.1,,101.5,100.9,,99.2,100.4,,90.1,98.1,,103.8,101.4,,108.4,98.7,,108.5,101.5,,74.7,90.4,,100.1,100.5
Year 7/8 to Year 11(e),77.2,89,,93.7,97.2,,82.5,93.7,,76.8,94.3,,103.8,105.4,,87.1,86.6,,105.6,98.5,,61.1,86,,80.6,93.9
Year 7/8 to Year 12(e),52.8,78.5,,68.4,87.8,,67,86.9,,56.3,85.4,,79.2,91.7,,65.9,76.6,,83.9,91.1,,33.2,75.4,,59,84.5
Year 10 to Year 12(f),49.8,77.9,,67.6,84.2,,68.9,84.3,,65.5,86.8,,76.3,87.6,,63.6,75.5,,80.7,89.9,,44.1,82.7,,60.5,82.7
Year 11 to Year 12(g),66.8,86.3,,76,89.1,,79.2,90.4,,72.8,88.2,,71.1,85,,76.2,85.2,,78.8,88.9,,55.2,85.4,,72.1,88
"(a)  The following factors have not been taken into account in these statistics: students repeating a year of education, migration and other net changes to the school population, enrolment policies (including year starting high school which contributes to different age/grade structures between states and territories), inter-sector transfer and interstate movements of students. In some cases this has led to apparent retention rates exceeding 100%.",,,,,,,,,,,,,,,,,,,,,,,,,,
"(b)  In small jurisdictions, relatively small changes in student numbers can create apparently large movements in retention rates.",,,,,,,,,,,,,,,,,,,,,,,,,,
(c) Only full time students included.,,,,,,,,,,,,,,,,,,,,,,,,,,
(d) The category 'Other Australians' includes students whose Indigenous status was reported as 'not stated' or 'non-Indigenous'.,,,,,,,,,,,,,,,,,,,,,,,,,,
"(e) Retention rate = Year 10, 11 or 12 students in 2021 as a proportion of the Year 7/8 students in 2018/2019, 2017/2018 and 2016/2017, respectively.",,,,,,,,,,,,,,,,,,,,,,,,,,
(f)  Retention rate = Year 12 students in 2021 as a proportion of the Year 10 students in 2019.,,,,,,,,,,,,,,,,,,,,,,,,,,
(g) Retention rate = Year 12 students in 2021 as a proportion of the Year 11 students in 2020.,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Year 7/8 cohorts are calculated using year 7 students from NSW, Vic, Qld, WA, Tas, ACT, NT, and year 8 students from SA. ",,,,,,,,,,,,,,,,,,,,,,,,,,
2. Since 2020 support students in NSW Government mainstream schools were recorded against their grade of enrolment. Care should be taken when comparing with previous years as enrolments will be higher due to the revised methodology.,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: AIHW analysis of National Schools Statistics Collection, from: ABS 2021. Schools, tables 42b and 67a, viewed on 7 March 2022, <https://www.abs.gov.au/statistics/people/education/schools/latest-release>.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Link to Contents,,,,,,,,,,,,,,,,,,,,,,,,,,
