"Table D2.05.3: Year 7/8 to 12 full-time student apparent retention rates, by Indigenous status, 1999–2021(a)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,,,,,,,,,,,,,,,,,,,,,,,,1999 to 2021,,2012 to 2021,
,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,Annual change(b),% change over period(c) ,Annual change(b),% change over period(c) 
Year 7/8 to Year 10(d),,,,,,,,,,,,,,,,,,,,,,,,,,,
Indigenous Australians,82.0,83.0,85.7,86.4,87.2,85.8,88.3,91.3,90.5,89.8,90.9,95.8,98.7,98.4,98.1,98.2,98.9,97.2,97.8,96.8,97.5,101.0,100.1,0.8*,21.8*,0.2,1.5
Other Australians(e),97.9,98.0,98.4,98.5,98.9,98.5,98.6,98.9,99.4,99.9,100.1,101.0,101.3,101.4,101.7,101.9,101.9,102.3,102.7,102.1,102.1,101.9,100.5,0.2*,4.9*,0,-0.3
Year 7/8 to Year 11(d),,,,,,,,,,,,,,,,,,,,,,,,,,,
Indigenous Australians,56.0,53.6,56.1,58.9,61.4,61.1,62.3,67.7,69.7,67.8,69.5,72.1,73.3,77.2,81.3,81.3,80.8,83.0,81.9,79.4,79.8,81.8,80.6,1.4*,54.9*,0.1,1.4
Other Australians(e),86.4,86.2,87.6,88.7,89.5,89.0,88.3,88.9,89.4,89.8,91.8,93.1,93.7,94.8,96.2,96.3,96.8,96.7,97.1,96.9,95.8,96.0,93.9,0.5*,13.1*,-0.1,-0.6
Year 7/8 to Year 12(d),,,,,,,,,,,,,,,,,,,,,,,,,,,
Indigenous Australians,34.7,36.4,35.7,38.0,39.1,39.8,39.5,40.1,42.9,47.2,45.4,47.2,48.7,51.1,55.1,59.4,59.4,59.8,62.4,60.9,58.7,59.6,59.0,1.4*,90.6*,0.6,10.4
Other Australians(e),73.2,73.3,74.5,76.3,76.5,76.9,76.6,76.0,75.6,75.6,77.3,79.4,80.7,81.3,82.9,84.8,85.2,85.5,86.0,85.8,85.4,85.0,84.5,0.6*,19.3*,0.3,3.2
Year 10 to Year 12(f),,,,,,,,,,,,,,,,,,,,,,,,,,,
Indigenous Australians,43.1,43.8,43.6,45.8,45.7,46.0,45.3,46.8,48.5,51.7,50.1,52.5,53.5,53.3,55.8,60.4,60.6,60.9,63.0,62.6,60.0,61.5,60.5,1.0*,53.1*,0.7*,10.6*
Other Australians(e),75.0,75.2,76.2,77.8,77.7,78.1,77.5,77.1,76.6,76.5,77.7,79.5,80.6,80.4,81.9,83.6,83.8,84.0,84.3,83.9,83.2,83.3,82.7,0.4*,12.8*,0.2,1.9
Year 11 to Year 12(g),,,,,,,,,,,,,,,,,,,,,,,,,,,
Indigenous Australians,66.4,65.0,66.6,67.8,66.4,64.7,64.7,64.4,63.3,67.7,67.0,67.9,67.5,69.6,71.3,73.1,73.1,74.0,75.2,74.33493792753993,74.0,74.7,72.1,0.5*,17.1*,0.3,4.2
Other Australians(e),85.7,84.8,86.5,87.1,86.3,86.0,86.1,86.0,85.0,84.7,86.1,86.5,86.7,86.7,87.4,88.1,88.5,88.4,88.9,88.33926704862502,88.2,88.8,88.0,0.2*,4.0*,0.1,1.4
* Represents results with statistically significant increases or declines at the p < 0.05 level over the period.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(a)  The following factors have not been taken into account in these statistics: students repeating a year of education, migration and other net changes to the school population, enrolment policies (including year starting high school which contributes to different age/grade structures between states and territories), inter-sector transfer and interstate movements of students. In some cases this has led to apparent retention rates exceeding 100%.",,,,,,,,,,,,,,,,,,,,,,,,,,,
(b) Average annual change in rates determined using linear regression analysis.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(c)The per cent change is based on the annual change over the period, using linear regression analysis.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"(d) Retention rate = Year 10, 11 or 12 students as a proportion of the corresponding cohort from the first year of secondary schooling (Year 7/8).",,,,,,,,,,,,,,,,,,,,,,,,,,,
(e) The category 'Other Australians' includes students whose Indigenous status was reported as 'not stated' or 'non-Indigenous'.,,,,,,,,,,,,,,,,,,,,,,,,,,,
(f) Retention rate = Year 12 students as a proportion of the corresponding cohort from Year 10.,,,,,,,,,,,,,,,,,,,,,,,,,,,
(g) Retention rate = Year 12 students as a proportion of the corresponding cohort from Year 11.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Prior to 2015, all 7/8 cohorts are calculated using year 7 students from NSW, Vic, Tas, ACT, NT, and year 8 students from Qld, WA and SA. In 2015, the structure of schooling in Queensland and Western Australia changed, with Year 7 becoming the first year of secondary schooling. From 2015, all 7/8 cohorts are calculated using year 7 students from NSW, Vic, Qld, WA, Tas, ACT, NT, and year 8 students from SA.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Since 2020 support students in NSW Government mainstream schools were recorded against their grade of enrolment. Care should be taken when comparing with previous years as enrolments will be higher due to the revised methodology.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3. In 2019, year 7 became the first year of secondary schooling in a number of non-government schools across SA. In 2020 year 7 became the first year of schooling in 3 Government schools across SA. In order to maintain cohort continuity in this table, year 8 is the commencement of secondary schooling for SA.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sources: AIHW analysis of National Schools Statistics Collection, from: ",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. ABS 2014. Schools, Australia, tables 63a and 64a, viewed on 7 March 2022, <https://www.abs.gov.au/ausstats/abs@.nsf/detailspage/4221.02014>.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. ABS 2021. Schools, Australia, tables 63a and 67a, viewed on 7 March 2022, <https://www.abs.gov.au/statistics/people/education/schools/latest-release>.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Link to Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,
