"Table D2.05.4: Proportion of students in years 7 to 12, by Indigenous status, sex and state/territory, 2021(a)(b)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Australia
%,,,,,,,,,
Males,,,,,,,,,
Year 7(c),,,,,,,,,
Indigenous Australians,6.8,1.9,9.1,7.3,5.5,11.7,3.1,43.7,6.5
Other Australians(d),93.2,98.1,90.9,92.7,94.5,88.3,96.9,56.3,93.5
Year 8,,,,,,,,,
Indigenous Australians,6.8,1.9,9,6.9,5.3,10.4,3.6,38.2,6.3
Other Australians(d),93.2,98.1,91,93.1,94.7,89.6,96.4,61.8,93.7
Year 9,,,,,,,,,
Indigenous Australians,6.6,1.8,8.5,6.7,5.4,9.7,4,41.7,6.1
Other Australians(d),93.4,98.2,91.5,93.3,94.6,90.3,96,58.3,93.9
Year 10  ,,,,,,,,,
Indigenous Australians,6.5,1.7,7.5,6.4,5.1,9.8,2.8,36.7,5.7
Other Australians(d),93.5,98.3,92.5,93.6,94.9,90.2,97.2,63.3,94.3
Year 11   ,,,,,,,,,
Indigenous Australians,5,1.4,7.2,5.4,4.4,8.5,2.9,33.3,4.9
Other Australians(d),95,98.6,92.8,94.6,95.6,91.5,97.1,66.7,95.1
Year 12,,,,,,,,,
Indigenous Australians,3.6,1.1,6.1,4.2,3.4,7.1,2.2,26.9,3.8
Other Australians(d),96.4,98.9,93.9,95.8,96.6,92.9,97.8,73.1,96.2
Total ,,,,,,,,,
Indigenous Australians,6.1,1.7,8,6.3,4.9,9.7,3.1,37.8,5.7
Other Australians(d),93.9,98.3,92,93.7,95.1,90.3,96.9,62.2,94.3
Females,,,,,,,,,
Year 7(c),,,,,,,,,
Indigenous Australians,6.8,2.1,9.3,7.4,5.4,10.7,2.8,43.1,6.5
Other Australians(d),93.2,97.9,90.7,92.6,94.6,89.3,97.2,56.9,93.5
Year 8,,,,,,,,,
Indigenous Australians,7,2,8.9,7.3,4.9,10.5,2.4,38.2,6.4
Other Australians(d),93,98,91.1,92.7,95.1,89.5,97.6,61.8,93.6
Year 9,,,,,,,,,
Indigenous Australians,6.9,1.9,8.8,6.8,4.8,10.5,3,40,6.3
Other Australians(d),93.1,98.1,91.2,93.2,95.2,89.5,97,60,93.7
Year 10  ,,,,,,,,,
Indigenous Australians,6.7,1.8,8.4,6.6,4.9,10.4,3.6,39.6,6
Other Australians(d),93.3,98.2,91.6,93.4,95.1,89.6,96.4,60.4,94
Year 11   ,,,,,,,,,
Indigenous Australians,5.4,1.7,7.4,5.8,4.8,9.2,3.6,37.2,5.2
Other Australians(d),94.6,98.3,92.6,94.2,95.2,90.8,96.4,62.8,94.8
Year 12,,,,,,,,,
Indigenous Australians,4,1.4,6.1,4.3,4,7.1,3.3,24.9,4
Other Australians(d),96,98.6,93.9,95.7,96,92.9,96.7,75.1,96
Total ,,,,,,,,,
Indigenous Australians,6.3,1.8,8.2,6.5,4.8,9.9,3.1,38,5.8
Other Australians(d),93.7,98.2,91.8,93.5,95.2,90.1,96.9,62,94.2
Persons,,,,,,,,,
Year 7(c),,,,,,,,,
Indigenous Australians,6.8,2,9.2,7.4,5.5,11.2,2.9,43.4,6.5
Other Australians(d),93.2,98,90.8,92.6,94.5,88.8,97.1,56.6,93.5
Year 8,,,,,,,,,
Indigenous Australians,6.9,1.9,8.9,7.1,5.1,10.4,3,38.2,6.3
Other Australians(d),93.1,98.1,91.1,92.9,94.9,89.6,97,61.8,93.7
Year 9,,,,,,,,,
