"Table D2.05.5: Number of students in years 7 to 12, by Indigenous status, sex and state/territory, 2021(a)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Australia
,Number,,,,,,,,
Males,,,,,,,,,
Year 7(b),,,,,,,,,
Indigenous Australians,3407,761,3301,1294,594,408,94,722,10581
Other Australians(c),46731,39097,32895,16454,10212,3083,2957,931,152360
Year 8,,,,,,,,,
Indigenous Australians,3455,760,3230,1239,580,354,104,624,10346
Other Australians(c),47302,39669,32788,16690,10310,3059,2822,1011,153651
Year 9,,,,,,,,,
Indigenous Australians,3286,697,3029,1171,567,330,119,601,9800
Other Australians(c),46457,38588,32707,16261,9853,3073,2888,840,150667
Year 10  ,,,,,,,,,
Indigenous Australians,3109,625,2542,1027,537,322,81,508,8751
Other Australians(c),44698,37080,31158,15130,10003,2976,2791,876,144712
Year 11   ,,,,,,,,,
Indigenous Australians,1948,478,2114,789,442,213,76,393,6453
Other Australians(c),36640,33418,27274,13866,9559,2288,2540,786,126371
Year 12,,,,,,,,,
Indigenous Australians,1174,330,1583,532,291,150,51,232,4343
Other Australians(c),31323,28694,24221,12143,8349,1970,2262,631,109593
Total ,,,,,,,,,
Indigenous Australians,16379,3651,15799,6052,3011,1777,525,3080,50274
Other Australians(c),253151,216546,181043,90544,58286,16449,16260,5075,837354
All,269530,220197,196842,96596,61297,18226,16785,8155,887628
Females,,,,,,,,,
Year 7(b),,,,,,,,,
Indigenous Australians,3294,792,3160,1233,558,360,80,664,10141
Other Australians(c),45030,37272,30895,15394,9753,3000,2782,875,145001
Year 8,,,,,,,,,
Indigenous Australians,3379,754,3072,1254,515,351,68,580,9973
Other Australians(c),44882,37642,31484,15857,9936,2986,2759,939,146485
Year 9,,,,,,,,,
Indigenous Australians,3288,718,2927,1112,492,334,82,594,9547
Other Australians(c),44075,37118,30321,15311,9722,2853,2665,890,142955
Year 10  ,,,,,,,,,
Indigenous Australians,3037,663,2732,1023,489,326,97,532,8899
Other Australians(c),42626,35948,29717,14540,9544,2807,2597,813,138592
Year 11   ,,,,,,,,,
Indigenous Australians,2116,564,2159,839,485,246,93,423,6925
Other Australians(c),37364,33571,26897,13513,9559,2414,2460,715,126493
Year 12,,,,,,,,,
Indigenous Australians,1416,432,1599,556,357,173,79,238,4850
Other Australians(c),33722,30886,24747,12259,8622,2247,2330,717,115530
Total ,,,,,,,,,
Indigenous Australians,16530,3923,15649,6017,2896,1790,499,3031,50335
Other Australians(c),247699,212437,174061,86874,57136,16307,15593,4949,815056
All,264229,216360,189710,92891,60032,18097,16092,7980,865391
Persons,,,,,,,,,
Year 7(b),,,,,,,,,
Indigenous Australians,6701,1553,6461,2527,1152,768,174,1386,20722
Other Australians(c),91761,76369,63790,31848,19965,6083,5739,1806,297361
Year 8,,,,,,,,,
Indigenous Australians,6834,1514,6302,2493,1095,705,172,1204,20319
Other Australians(c),92184,77311,64272,32547,20246,6045,5581,1950,300136
Year 9,,,,,,,,,
Indigenous Australians,6574,1415,5956,2283,1059,664,201,1195,19347
Other Australians(c),90532,75706,63028,31572,19575,5926,5553,1730,293622
Year 10  ,,,,,,,,,
Indigenous Australians,6146,1288,5274,2050,1026,648,178,1040,17650
Other Australians(c),87324,73028,60875,29670,19547,5783,5388,1689,283304
Year 11   ,,,,,,,,,
Indigenous Australians,4064,1042,4273,1628,927,459,169,816,13378
Other Australians(c),74004,66989,54171,27379,19118,4702,5000,1501,252864
Year 12,,,,,,,,,
Indigenous Australians,2590,762,3182,1088,648,323,130,470,9193
Other Australians(c),65045,59580,48968,24402,16971,4217,4592,1348,225123
Total ,,,,,,,,,
Indigenous Australians,32909,7574,31448,12069,5907,3567,1024,6111,100609
Other Australians(c),500850,428983,355104,177418,115422,32756,31853,10024,1652410
All,533759,436557,386552,189487,121329,36323,32877,16135,1753019
(a) Includes full-time students only. Excludes years 1–6 and foundation year.,,,,,,,,,
"(b) Year 7 represents the first year of secondary school in all states except SA, in which most schools begin secondary school in year 8.",,,,,,,,,
(c) The category 'Other Australians' includes students whose Indigenous status was reported as 'not stated' or 'non-Indigenous'.,,,,,,,,,
Notes,,,,,,,,,
1. Since 2020 support students in NSW Government mainstream schools were recorded against their grade of enrolment. Care should be taken when comparing with previous years as enrolments will be higher due to the revised methodology.,,,,,,,,,
"2. In 2019, year 7 became the first year of secondary schooling in a number of non-government schools across SA. In 2020 year 7 became the first year of schooling in 3 Government schools across SA. This table presents the sum of year 7 primary and year 7 secondary and therefore is not comparable to previous iterations.",,,,,,,,,
"Source: AIHW analysis of National Schools Statistics Collection, from: ABS 2021. Schools, table 42b, viewed on 7 March 2022, <https://www.abs.gov.au/statistics/people/education/schools/latest-release>.",,,,,,,,,
,,,,,,,,,
Link to Contents,,,,,,,,,
