"Table D2.05.7: Types of assistance that would help child(a) complete Year 12, by remoteness, Aboriginal and Torres Strait Islander persons currently attending secondary school, 2014–15",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Types of assistance that would help child in secondary school complete year 12,Non-remote,,Remote,,Australia,
,Number,%,Number,%,Number,%
"Support from family, friends and school",29912,84.6,6402,91.5,36110,85.2
Encouragement from elders and council,7345,20.8,2733,39.1,9992,23.6
A relative to support if goes away to boarding school,"2,228†",6.3†,2575,36.8,4903,11.6
Greater access to apprenticeships,7548,21.4,1324,18.9,8851,20.9
Provision of coaches or mentors,12480,35.3,1767,25.3,14152,33.4
Career guidance,15419,43.6,1366,19.5,16482,38.9
More individual tutoring,15711,44.4,2004,28.7,18064,42.6
Schools suitable for culture and/or beliefs,5735,16.2,1642,23.5,7120,16.8
Suitable or reliable transport,5887,16.7,"1,007†",14.4†,6970,16.4
Accessible secondary schools,3576,10.1,944†,13.5†,4454,10.5
Subsidies or grants to help affordability,9526,26.9,1837,26.3,11618,27.4
Assistance for students with a disability,3013,8.5,482†,6.9†,3455,8.2
Support networks,12772,36.1,1486,21.2,14170,33.4
More discipline,5176,14.6,997,14.3,6459,15.2
Other reason,412‡,1.2‡,189†,2.7†,551‡,1.3‡
Total(b),35349,100,6995,100,42378,100
† Numbers and percents have a relative standard error between 25% and 50% and should be used with caution.,,,,,,
‡ Numbers and percents have a relative standard error greater than 50% and is considered too unreliable for general use.,,,,,,
(a) Includes Indigenous children aged 2–14 years who were attending secondary school.  ,,,,,,
(b) Multiple response item.  Sum of components may be greater than total.,,,,,,
Note: Excludes not applicable and persons who do not usually attend school and persons who are not currently attending secondary school.,,,,,,
Source: AIHW and ABS analysis of National Aboriginal and Torres Strait Islander Social Survey 2014–15.,,,,,,
,,,,,,
Link to Contents,,,,,,
