"Table D2.05.8: School attendance for children who usually attend school by year group(a), Aboriginal and Torres Strait Islander children aged 4–14, 2014–15",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,Year group,,,,,
,Pre–school/Prep/Primary school (Years 1–6),,High school (Years 7–10),,Total,
,Number,%,Number,%,Number,%
Whether child missed days at school in last week,,,,,,
Missed days at school/preschool/kindergarten,33584,27.2,15180,35.8,48597,29.3
Did not miss days at school/preschool/kindergarten,89501,72.5,27187,64.2,117110,70.6
Main reason missed school in last week,,,,,,
"Child or parent/guardian had illness or injury, or attending appointment",6681,5.4,2397,5.7,9183,5.5
School not available or not open,20061,16.2,9043,21.3,29040,17.5
Child did not want to go to school,577†,0.5†,957†,2.3†,1506,0.9
Other reason(b),5948,4.8,2508,5.9,8713,5.3
Did not miss school in last week,89501,72.5,27187,64.2,117110,70.6
Total ,123500,100,42378,100,165878,100
Whether child missed school without permission in last 12 months(c),,,,,,
Problems with child not attending school,5499,5,3639,8.7,9157,6
No problems with child not attending school,104428,95.2,38216,91.3,142460,93.8
Total ,109683,100,41854,100,151838,100
† Numbers and percents have a relative standard error between 25% and 50% and should be used with caution.,,,,,,
"(a) Excludes does not usually attend school, home schooled, other schools (including special needs schools), not stated and not applicable.",,,,,,
"(b) Includes cultural commitments, sorry business, away with parents and other reasons.",,,,,,
(c) Does not include children attending preschool.,,,,,,
Source: AIHW and ABS analysis of National Aboriginal and Torres Strait Islander Social Survey 2014–15.,,,,,,
,,,,,,
Link to Contents,,,,,,
