"Table D2.06.1: Educational institution currently attended, people aged 18 and over, by Indigenous status and age group, 2021",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Educational participation,18–24 years,25–34 years,35–44 years,45 years and over ,Total 18 and over
,Number,,,,
Indigenous,,,,,
Secondary school,3044,126,122,225,3517
Tertiary - vocational education (including TAFE and private training providers),8478,5583,2802,2514,19378
Tertiary – university or other higher education,10314,5780,2692,2299,21083
Tertiary - not further defined,33,19,14,5,68
Other,949,950,635,721,3259
Educational institution not stated,339,209,145,257,944
Total currently studying(a),23154,12666,6404,6024,48246
Not attending,73294,97528,75432,176473,422729
Total,96448,110193,81832,182498,470973
Not stated(b),4174,7782,6077,8740,26776
,,,,,
Non-Indigenous,,,,,
Secondary school,77081,2957,2487,8366,90890
Tertiary - vocational education (including TAFE and private training providers),188504,169892,105969,93745,558113
Tertiary – university or other higher education,647197,291710,127745,93402,1160057
Tertiary - not further defined,1024,639,372,391,2429
Other,37016,60859,37593,42411,177881
Educational institution not stated,3550,2772,1950,5089,13367
Total currently studying(a),954380,528838,276118,243404,2002732
Not attending,969091,2746075,2922864,9539356,16177386
Total,1923471,3274912,3198978,9782757,18180122
Not stated(b),16910,35611,28105,156030,236655
,%,,,,
Indigenous,,,,,
Secondary school,3.156,0.114,0.149,0.123,0.747
Tertiary - vocational education (including TAFE and private training providers),8.79,5.067,3.424,1.378,4.114
Tertiary – university or other higher education,10.694,5.245,3.29,1.26,4.476
Tertiary - not further defined,0.034,0.017,0.017,0.003,0.014
Other,0.984,0.862,0.776,0.395,0.692
Educational institution not stated,0.351,0.19,0.177,0.141,0.2
Total currently studying(a),24.007,11.494,7.826,3.301,10.244
Not attending,75.993,88.507,92.179,96.699,89.757
Total,100,100,100,100,100
,,,,,
Non-Indigenous,,,,,
Secondary school,4.007,0.09,0.078,0.086,0.5
Tertiary - vocational education (including TAFE and private training providers),9.8,5.188,3.313,0.958,3.07
Tertiary – university or other higher education,33.647,8.907,3.993,0.955,6.381
Tertiary - not further defined,0.053,0.02,0.012,0.004,0.013
Other,1.924,1.858,1.175,0.434,0.978
Educational institution not stated,0.185,0.085,0.061,0.052,0.074
Total currently studying(a),49.618,16.148,8.631,2.488,11.016
Not attending,50.382,83.852,91.369,97.512,88.984
Total,100,100,100,100,100
(a) Includes persons attending other type institutions and persons attending but who did not state the type of institution.,,,,,
(b) People with 'not stated' responses to both student status and educational institution currently attended. These people were excluded from the denominator when calculating percentages.,,,,,
Notes,,,,,
1. Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals. ,,,,,
2. Data exclude overseas visitors and persons who did not state their Indigenous status.,,,,,
Source: AIHW analysis of ABS Census of Population and Housing 2021 (ABS 2022).,,,,,
,,,,,
References,,,,,
"ABS (Australian Bureau of Statistics) 2022. '2021 Census - counting persons, place of usual residence' [Census TableBuilder Pro product], accessed 31/03/2023, https://www.abs.gov.au/statistics/microdata-tablebuilder/tablebuilder",,,,,
,,,,,
Link to Contents,,,,,
