"Table D2.06.2: Educational institution currently attended, by Indigenous status and sex, persons aged 18 and over, 2021",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,Males,,,,,Females,,,,,Persons,,,
Educational participation,Indigenous,Non-Indigenous,Rate ratio(a),Rate difference(b),,Indigenous,Non-Indigenous,Rate ratio(a),Rate difference(b),,Indigenous,Non-Indigenous,Rate ratio(a),Rate difference(b)
,Number,,,,,,,,,,,,,
Secondary school,1752,47263,. .,. .,,1764,43624,. .,. .,,3517,90890,. .,. .
Tertiary - vocational education (including TAFE and private training providers),7740,253046,. .,. .,,11640,305070,. .,. .,,19378,558113,. .,. .
Tertiary - university or other higher education,6835,486298,. .,. .,,14245,673758,. .,. .,,21083,1160057,. .,. .
Tertiary - not further defined,25,1161,. .,. .,,41,1275,. .,. .,,68,2429,. .,. .
Other,1033,72008,. .,. .,,2225,105869,. .,. .,,3259,177881,. .,. .
Educational institution not stated,423,6303,. .,. .,,521,7067,. .,. .,,944,13367,. .,. .
Total currently studying(c),17815,866074,. .,. .,,30431,1136662,. .,. .,,48246,2002732,. .,. .
Not attending,205236,7956846,. .,. .,,217494,8220539,. .,. .,,422729,16177386,. .,. .
Total,223048,8822919,. .,. .,,247926,9357204,. .,. .,,470973,18180122,. .,. .
Not stated(d),18828,126826,. .,. .,,7942,109828,. .,. .,,26776,236655,. .,. .
,%,,,,,,,,,,,,,
Secondary school,0.785,0.536,1.465,0.249,,0.712,0.466,1.528,0.246,,0.747,0.5,1.494,0.247
Tertiary - Vocational education (including TAFE and private training providers),3.47,2.868,1.21,0.602,,4.695,3.26,1.44,1.435,,4.114,3.07,1.34,1.044
Tertiary - University or other higher education,3.064,5.512,0.556,-2.448,,5.746,7.2,0.798,-1.454,,4.476,6.381,0.701,-1.905
Tertiary - not further defined,0.011,0.013,0.846,-0.002,,0.017,0.014,1.214,0.003,,0.014,0.013,1.077,0.001
Other,0.463,0.816,0.567,-0.353,,0.897,1.131,0.793,-0.234,,0.692,0.978,0.708,-0.286
Not stated,0.19,0.071,2.676,0.119,,0.21,0.076,2.763,0.134,,0.2,0.074,2.703,0.126
Total currently studying(c),7.987,9.816,0.814,-1.829,,12.274,12.147,1.01,0.127,,10.244,11.016,0.93,-0.772
Not attending,92.014,90.184,1.02,1.83,,87.725,87.853,0.999,-0.128,,89.757,88.984,1.009,0.773
Total,100,100,. .,. .,,100,100,. .,. .,,100,100,. .,. .
(a) Rate ratio is the rate for Indigenous Australians divided by the rate for non-Indigenous Australians.,,,,,,,,,,,,,,
(b) Rate difference is the rate for Indigenous Australians minus the rate for non-Indigenous Australians.,,,,,,,,,,,,,,
(c) Includes persons attending other type institutions and persons attending but who did not state the type of institution.,,,,,,,,,,,,,,
(d) People with 'not stated' responses to both student status and educational institution currently attended. These people were excluded from the denominator when calculating percentages.,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,
1. Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals. ,,,,,,,,,,,,,,
2. Data exclude overseas visitors and persons who did not state their Indigenous status.,,,,,,,,,,,,,,
Source: AIHW analysis of ABS Census of Population and Housing 2021 (ABS 2022).,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
References,,,,,,,,,,,,,,
"ABS (Australian Bureau of Statistics) 2022. '2021 Census - counting persons, place of usual residence' [Census TableBuilder Pro product], accessed 31/03/2023, https://www.abs.gov.au/statistics/microdata-tablebuilder/tablebuilder",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Link to Contents,,,,,,,,,,,,,,
