"Table D2.09.3: Population distribution by socioeconomic area, remoteness area and Indigenous status(a), based on Index of Relative Socio-economic Advantage and Disadvantage (IRSAD), area-based quintiles, 2021",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Remoteness area and IRSAD quintile,Number,,,%,
,First Nations population,Non-Indigenous population,,First Nations population,Non-Indigenous population
Major cities,,,,,
Quintile 1 (most disadvantaged),98330,2213577,,29.9,12.9
Quintile 2,76389,2782646,,23.2,16.2
Quintile 3,63619,3325773,,19.3,19.4
Quintile 4,54171,4100223,,16.5,23.9
Quintile 5 (most advantaged),36667,4754848,,11.1,27.7
Total,329173,17177069,,100,100
Not applicable (number)(b),5089,57271,,. .,. .
Inner regional,,,,,
Quintile 1 (most disadvantaged),96959,1149655,,48.6,28.3
Quintile 2,54948,1160443,,27.5,28.6
Quintile 3,30452,973764,,15.3,24
Quintile 4,14584,601295,,7.3,14.8
Quintile 5 (most advantaged),2742,170851,,1.4,4.2
Total,199685,4056016,,100,100
Not applicable (number)(b),4196,17001,,. .,. .
Outer regional,,,,,
Quintile 1 (most disadvantaged),79558,592135,,54.2,34.3
Quintile 2,35456,518324,,24.2,30
Quintile 3,21644,392741,,14.8,22.7
Quintile 4,8418,182405,,5.7,10.6
Quintile 5 (most advantaged),1579,42804,,1.1,2.5
Total,146655,1728408,,100,100
Not applicable (number)(b),3457,5482,,. .,. .
Total non-remote(c),,,,,
Quintile 1 (most disadvantaged),274850,3955365,,40.7,17.2
Quintile 2,166789,4461413,,24.7,19.4
Quintile 3,115721,4692282,,17.1,20.4
Quintile 4,77170,4883923,,11.4,21.3
Quintile 5 (most advantaged),40989,4968508,,6.1,21.6
Total,675516,22961493,,100,100
Not applicable (number)(b),12742,79752,,. .,. .
Remote,,,,,
Quintile 1 (most disadvantaged),23623,50144,,54.9,24
Quintile 2,8616,55997,,20,26.9
Quintile 3,6045,49648,,14,23.8
Quintile 4,3645,40215,,8.5,19.3
Quintile 5 (most advantaged),1117,12541,,2.6,6
Total,43044,208553,,100,100
Not applicable (number)(b),1023,2495,,. .,. .
Very remote,,,,,
Quintile 1 (most disadvantaged),62108,22683,,85.8,28.1
Quintile 2,5677,28647,,7.8,35.5
Quintile 3,3692,19455,,5.1,24.1
Quintile 4,907,9144,,1.3,11.3
Quintile 5 (most advantaged),38,772,,0.1,1
Total,72420,80701,,100,100
Not applicable (number)(b),1719,5337,,. .,. .
Total remote(d),,,,,
Quintile 1 (most disadvantaged),85727,72828,,74.2,25.2
Quintile 2,14289,84647,,12.4,29.3
Quintile 3,9740,69109,,8.4,23.9
Quintile 4,4553,49358,,3.9,17.1
Quintile 5 (most advantaged),1154,13311,,1,4.6
Total,115462,289254,,100,100
Not applicable (number)(b),2742,7831,,. .,. .
Australia(e),,,,,
Quintile 1 (most disadvantaged),360582,4028192,,45.6,17.3
Quintile 2,181084,4546058,,22.9,19.6
Quintile 3,125454,4761394,,15.9,20.5
Quintile 4,81723,4933276,,10.3,21.2
Quintile 5 (most advantaged),42141,4981824,,5.3,21.4
Total,790980,23250739,,100,100
Not applicable (number)(b),21745,125210,,. .,. .
(a) Excludes persons who did not state their Indigenous status.,,,,,
"(b) Not applicable comprises persons in SA1 which were not able to be allocated an index score, due to low population or high levels of non-responses for certain Census variables.",,,,,
"(c) Includes Major cities, Inner regional and Outer regional Australia.",,,,,
(d) Includes Remote and Very remote Australia.,,,,,
"(e) Total Australia includes Migratory, Offshore and Shipping areas and persons with No Usual Address.",,,,,
Notes,,,,,
1. Cells in this table have been randomly adjusted to avoid the release of confidential data. These adjustments may cause the sum of rows or columns to differ by small amounts from table totals.,,,,,
2. Data excludes Overseas Visitors and persons who did not state their Indigenous status.,,,,,
3. SEIFA = Socio Economic Indexes for Areas.,,,,,
4. IRSAD is the SEIFA Index of Relative Socio-Economic Advantage and Disadvantage. Quintiles are based on a national area-based index ranking of Statistical Area 1 (SA1) of Usual Residence.,,,,,
Source: AIHW analysis of ABS Census of Population and Housing 2021 (ABS 2022).,,,,,
,,,,,
References,,,,,
"ABS (Australian Bureau of Statistics) 2022. '2021 Census - counting persons, place of usual residence' [Census TableBuilder Pro product], accessed 25/05/2024, https://www.abs.gov.au/statistics/microdata-tablebuilder/tablebuilder",,,,,
,,,,,
Link to Contents,,,,,
