"Table D2.14.1: Access to homelands/traditional country, by remoteness, Indigenous Australians aged 18 and over, 2018–19(a)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,"Identifies with a clan, tribal or language group(b)",,,Recognises homelands/traditional country,,,,,
,"Yes, identifies","No, does not identify",,Lives on homelands/ traditional country,Allowed to visit homelands/ traditional country,Not allowed to visit,"Total recognises homelands/
traditional country(c)",Does not recognise homelands/ traditional country,Total(d)
,Number,,,,,,,,
Major cities,108284,74432,,23872,96463,661†,124871,58303,183554
Inner regional,61091,48145,,27909,43989,209‡,74651,34663,109382
Outer regional,65001,29556,,35606,38537,366†,73909,20702,94859
Total non-remote,234641,152220,,87350,178731,"1,054†",273836,113647,387717
Remote,26381,6233,,11772,16492,89‡,28453,4384,32801
Very remote,53225,6501,,31710,22956,444†,55155,4588,60052
Total remote,79530,12792,,43474,39485,730†,83760,9080,92734
Total,314166,165613,,130521,218084,1861,357837,122546,480726
,%(e),,,,,,,,
Major cities,59.0*,40.5*,,13.0*,52.6*,0.4†,68.0*,31.8*,100
Inner regional,55.9*,44.0*,,25.5*,40.2,0.2‡,68.3*,31.7*,100
Outer regional,68.5*,31.2*,,37.5,40.6,0.4†,77.9*,21.8*,100
Total non-remote,60.5*,39.3*,,22.5*,46.1,0.3†,70.6*,29.3*,100
Remote,80.5*,18.9*,,36.0*,50.3*,0.3‡,86.9,13.4,100
Very remote,88.5,10.8,,52.7,38.3,0.7†,91.8,7.7,100
Total remote,85.8,13.8,,46.9,42.6,0.8†,90.4,9.8,100
Total,65.4*,34.4*,,27.1*,45.4*,0.4*,74.4*,25.5*,100
,%(f),,,,,,,,
Major cities,34.5,44.9,,18.3,44.2,36.8†,34.9,47.6,38.2
Inner regional,19.4,29,,21.4,20.2,10.5‡,20.9,28.3,22.8
Outer regional,20.7,17.9,,27.3,17.7,21.1†,20.7,16.9,19.7
Total non-remote,74.7,91.9,,67,81.9,57.9†,76.5,92.7,80.7
Remote,8.4,3.7,,9,7.6,5.3‡,8,3.6,6.8
Very remote,16.9,3.9,,24.3,10.5,21.1†,15.4,3.8,12.5
Total remote,25.3,7.7,,33.3,18.1,36.8,23.4,7.4,19.3
Total,100,100,,100,100,100,100,100,100
"* Represents statistically significant differences at the p < 0.05 level. Differences between percentages were tested within columns, using ‘Total remote’ as the reference category. ",,,,,,,,,
† Estimate has a relative standard error between 25% and 50% and should be used with caution.,,,,,,,,,
‡ Estimate has a relative standard error greater than 50% and are considered unreliable for general use.  Differences between those percentages with a ‡ and the percentages of the reference category could not be tested for significance.,,,,,,,,,
(a) Includes only those present at the interview.,,,,,,,,,
"(b) More than 1 response allowed. Categories include: a tribal group, a language group, a clan, a mission, Aboriginal/Torres Strait Islander/Aboriginal or Torres Strait Islander group.",,,,,,,,,
(c) Includes 'don't know whether allowed to visit homelands/traditional country'.,,,,,,,,,
(d) Includes refusal and not known responses.,,,,,,,,,
(e) Percentages add within rows.,,,,,,,,,
(f) Percentages add within columns.,,,,,,,,,
Note: Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,,,,,,,,,
Source: AIHW and ABS analysis of National Aboriginal and Torres Strait Islander Health Survey 2018–19.,,,,,,,,,
,,,,,,,,,
Link to Contents,,,,,,,,,
