"Table D2.14.2: Selected socioeconomic characteristics by Indigenous Australians aged 18 and over, reporting access to homelands/traditional country, 2018–19 (%)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,Recognises homelands/traditional country,,,,,,
,Lives on homelands/ traditional country,Allowed to visit homelands/ traditional country,Not allowed to visit,"Total recognises homelands/
traditional country(a)","Does not recognise homelands/
traditional country",Total(b),
,%,,,,,%,Number
Employment,,,,,,,
Employed,40.2,50.6,31.6†,47.2,51.1,48.1,231039
Unemployed,13.4,9,10.5‡,10.5,10.4,10.6,50776
Not in the labour force,46.3,40.4,52.6,42.3,38.4,41.3,198433
Ratio unemployed/employed,0.3,0.2,0.3,0.2,0.2,0.2,0.2
Total number,130521,218084,1861,357837,122546,. .,480726
Has non-school qualification(c),,,,,,,
Does not have a non-school qualification,55.3,42,52.6,47,47.1,47.1,226370
Does have a non-school qualification,44.8,58.1,52.6,53,52.7,52.9,254325
Ratio has no qualification/has qualification,1.2,0.7,1,0.9,0.9,0.9,0.9
Total number,130521,218084,1861,357837,122546,. .,480726
Highest year of school completed,,,,,,,
Year 10 or below(d),55.4,52,73.7,53.1,52.4,53,254762
Year 12,29.2,35.7,21.1†,33.6,34.6,34,163528
Ratio Year 10/Year 12,1.9,1.5,3.5,1.6,1.5,1.6,1.6
Total number(e),130521,218084,1861,357837,122546,. .,480726
Housing tenure type(f),,,,,,,
Renter(g),75.6,66.6,76.5,70,62.8,68.1,319902
Owner(h),24.1,33.2,29.4†,30.1,36.9,31.9,149772
Ratio renter/owner,3.1,2,2.6,2.3,1.7,2.1,2.1
Total number,127707,212195,1718,348030,121294,. .,469773
Lives in overcrowded household(i),,,,,,,
Yes,21.8,14.8,10.5‡,17.2,10.4,15.5,74366
No,78.2,85.2,89.5,82.8,89.9,84.6,406750
Ratio yes/no,0.3,0.2,0.1,0.2,0.1,0.2,0.2
Total number,130521,218084,1861,357837,122546,. .,480726
Transport,,,,,,,
Can easily get to places needed,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Often have difficulty/can't get to places needed,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Ratio Have difficulty/easily get to places,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Total ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Financial stress,,,,,,,
"Able to raise $2,000 within a week for something important",37,47.1,35.3†,43.7,57.8,47.3,215173
"Unable to raise $2,000 within a week for something important",63.3,52.8,64.7,56.3,42.1,52.7,239723
"Ratio unable to raise $2,000/Able to raise $2,000",1.7,1.1,1.8,1.3,0.7,1.1,1.1
Total number(j) ,121461,208378,1705,337975,116483,. .,454705
Total number of persons 18+,130521,218084,1861,357837,122546,100,480726
† Estimate has a relative standard error between 25% and 50% and should be used with caution.,,,,,,,
‡ Estimate has a relative standard error of greater than 50% and is considered too unreliable for general use.,,,,,,,
(a) Includes 'don't know whether allowed to visit homelands/traditional country'.,,,,,,,
(b) Includes refusal responses.,,,,,,,
"(c) Non-school qualifications classified to the ABS Classification of Qualifications (includes eg. Bachelor degree or higher, diploma, advanced diploma, certificate). ",,,,,,,
(d) Year 10 or below includes never attended school.,,,,,,,
(e) Total includes Year 11 or equivalent.,,,,,,,
(f) Excludes not stated.,,,,,,,
(g) Renter excludes being occupied rent-free and life tenure scheme.,,,,,,,
"(h) Owner includes people living in a home owned with or without a mortgage, or a participant of a shared equity scheme.",,,,,,,
"(i) Households requiring at least 1 additional bedroom, based on the Canadian National Occupancy Standard for Housing Appropriateness.",,,,,,,
(j) Excludes not known.,,,,,,,
Note: Percentages add within columns. Cells in this table have been randomly adjusted to avoid the release of confidential data and discrepancies may occur between sums of the component items and totals.,,,,,,,
Source: AIHW and ABS analysis of National Aboriginal and Torres Strait Islander Health Survey 2018–19.,,,,,,,
,,,,,,,
Link to Contents,,,,,,,
