"Table D2.14.4: Visits and time spent in homelands/traditional country, Indigenous Australians aged 18 and over(a), 2018–19",Unnamed: 1,Unnamed: 2
,Number,%
How often visits homelands/ traditional country,,
At least once a week ,4410,2
At least once a fortnight ,"3,614†",1.7†
At least once a month ,7798,3.6
Several times per year ,38229,17.5
Once per year ,37858,17.4
Less than once per year,85152,39.1
Never visits,40880,18.8
Total,218084,100
Longest time spent in homelands/traditional country(b),,
<1 week,35831,39
1 week to less than 1 month(c),39741,43.3
1 to less than 3 months,8278,9.1
3 to less than 6 months,"1,296†",1.4†
6+ months,6590,7.2
Total,91691,100
† Estimate has a relative standard error between 25% and 50% and should be used with caution.,,
"(a) All persons aged 18 and over who recognise an area as homelands/traditional country who do not currently live there, but can visit.",,
(b) In last 12 months.,,
(c) 1 month is defined as 30 days.,,
Note: Cells in this table containing data have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,,
Source: AIHW and ABS analysis of National Aboriginal and Torres Strait Islander Health Survey 2018–19.,,
,,
Link to Contents,,
