"Table D2.14.6: Cultural identification, by jurisdiction, Indigenous Australians aged 18 and over, 2018–19(a)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,"Identifies with a clan, tribal or language group(b)",,,,Recognises homelands/traditional country,,,,,
,"Yes, identifies","No, does not identify",Total(c),,Lives on homelands/ traditional country,Allowed to visit homelands/ traditional country,Not allowed to visit,"Total recognises homelands/
traditional country(d)","Does not recognise homelands/
traditional country",Total(c)
,Number,,,,,,,,,
New South Wales,96544,64876,161818,,47503,67320,184‡,117408,42726,161818
Victoria,23918,11657,35373,,6208,16494,194‡,23222,12334,35373
Queensland,82815,47836,131099,,33083,61418,402‡,97835,33335,131099
Western Australia,43679,14698,58359,,15986,30143,600†,46532,11580,58359
South Australia,16678,8552,25126,,3634,13801,55‡,17851,7458,25126
Tasmania,7559,10465,18000,,4943,3491,114‡,8935,8991,18000
Australian Capital Territory,3570,1172,4764,,457†,3345,40,3828,791,4764
Northern Territory,40076,5983,46149,,19041,22319,200‡,41932,4209,46149
Australia,314166,165613,480726,,130521,218084,1861,357837,122546,480726
,%(e),,,,,,,,,
New South Wales,59.6,40.1,100,,29.4,41.6,0.1‡,72.6,26.4,100
Victoria,67.5,33.1,100,,17.5,46.6,0.6‡,65.5,34.7,100
Queensland,63.2,36.5,100,,25.2,46.8,0.3‡,74.6,25.4,100
Western Australia,74.8,25.2,100,,27.4,51.5,1.0†,79.6,19.9,100
South Australia,66.5,34.3,100,,14.3,55,0.4‡,71.3,29.9,100
Tasmania,42.2,58.3,100,,27.2,19.4,0.6‡,49.4,50,100
Australian Capital Territory,75,25,100,,10.4†,68.8,0,79.2,16.7,100
Northern Territory,87,13,100,,41.2,48.4,0.4‡,90.9,9.1,100
Australia,65.4,34.4,100,,27.1,45.4,0.4,74.4,25.5,100
† Estimate has a relative standard error between 25% and 50% and should be used with caution.,,,,,,,,,,
‡ Estimate has a relative standard error greater than 50% and are considered unreliable for general use.,,,,,,,,,,
(a) Includes only those present at the interview.,,,,,,,,,,
"(b) Categories include: a tribal group, a language group, a clan, a mission, Aboriginal/Torres Strait Islander/Aboriginal or Torres Strait Islander group.",,,,,,,,,,
(c) Includes refusal responses.,,,,,,,,,,
(d) Includes 'don't know whether allowed to visit homelands/traditional country'.,,,,,,,,,,
(e) Percentages add within rows.,,,,,,,,,,
Note: Cells in this table have been randomly adjusted to avoid the release of confidential data and discrepancies may occur between sums of the component items and totals. Excludes not stated responses.,,,,,,,,,,
Source: AIHW and ABS analysis of National Aboriginal and Torres Strait Islander Health Survey 2018–19.,,,,,,,,,,
,,,,,,,,,,
Link to Contents,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,, ,,,,,
