"Table D3.08.1: Discrimination toward Indigenous Australians aged 18 and over by sex, remoteness and age group, 2018–19(a)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,Sex,,,Remoteness,,,Age group,,,,,,
,Males,Females,,Non-remote,Remote,,18–24,25–34,35–44,45–54,55+,,Total
,%,,,,,,,,,,,,
Whether avoided seeking health care because treated unfairly(b),,,,,,,,,,,,,
Yes(c),1.2†,2.2,,1.9,1.5,,0.7†,2.5†,2.1†,2.1†,2.3†,,1.9
No,99.7,98.7,,99.3,99.6,,100,99.2,98.9,99.5,98.5,,99.1
Total,100,100,,100,100,,100,100,100,100,100,,100
Total number,229306,251245,,387717,92734,,104243,116806,82306,80853,95666,,480726
Whether treated unfairly because Aboriginal or Torres Strait Islander in last 12 months(b),,,,,,,,,,,,,
Yes,22.4,24.1,,24.8,17.6,,22.7,21.6,25.8,25.1,22.5,,23.3
No,70.6,70,,69.3,74.5,,72.2,72.9,69.6,68.2,68.2,,70.3
Does not know if had unfair treatment,7,5.9,,6,8,,5.7†,5.8,4.6†,6.8,9.3,,6.4
Total,100,100,,100,100,,100,100,100,100,100,,100
Total number,229306,251245,,387717,92734,,104243,116806,82306,80853,95666,,480726
Frequency of unfair treatment because Aboriginal or Torres Strait Islander in last 12 months,,,,,,,,,,,,,
Always,8.0†,5.8,,6.1†,6.1†,,5.9‡,7.1†,4.2‡,5.9†,7.9†,,6.4
Often,9.9,15.5,,13,16.6,,7.2†,12.3,9.9,19.2†,19.1†,,13.4
Sometimes,35.1,33.5,,32.2,46,,27.4,36.1,43.9,32,32.1,,34.4
Rarely,35.3,32.2,,35.2,21.5,,38.4,32.9,37.3,29.1,30.2,,33.4
Only happened once,12.9,12.4,,13.2,11,,14.3†,11.9,6.6†,14.3†,13.5†,,12.7
Total reporting unfair treatment in last 12 months,100,100,,100,100,,100,100,100,100,100,,100
Total number reporting unfair treatment in last 12 months,51261,60582,,95979,16334,,23663,25192,21237,20293,21476,,112187
Most recent situation felt unfairly treated because Aboriginal or Torres Strait Islander in last 12 months,,,,,,,,,,,,,
"Applying for work, or when at work",25.5,20,,23.6,15.3,,32.9†,16.7,17.5†,28.1,14.4†,,22.3
"At home, by neighbours or at somebody else's house",8,12.4,,10.2,10.4,,10.5†,11.1†,7.1†,11.8†,11.6†,,10.3
"At school, university, training course or other educational setting",4.5†,6.3†,,5.8,3.7‡,,13.5†,5.6†,3.8‡,2.0‡,0.9‡,,5.3
"While doing any sporting, recreational or leisure activities",3.7†,2.8†,,3.4†,3.1†,,1.3†,3.2‡,5.2†,2.0‡,6.5†,,3.4†
"By the police, security people, lawyers or in a court of law",8,3.5,,5.6,6.7†,,4.2†,4.0†,10.8†,5.9†,4.7†,,5.4
"By doctors, nurses or other staff at hospitals/surgeries",1.9†,7.6,,4.5,8.6,,0,5.2,3.3†,8.4†,7.4†,,5.3
When accessing Government services,2.7†,3.3†,,3.4†,2.5†,,0,4.8†,0.9†,3.9‡,3.7‡,,3.2
When seeking any other services,3.9†,6.3,,4.6,8,,1.7‡,3.2†,3.8†,7.9†,8.4†,,5
On the internet or telephone,1.8†,3.6†,,2.9†,1.2‡,,3.0‡,3.6†,2.8‡,0,1.9‡,,2.9
By members of the public,31.2,19.3,,24.2,30.1,,19.4,30.6,25.5,19.2,29.3,,24.7
Other situation,9.7,14,,12.8,8.6,,7.6†,13.1,17.9,10.3†,12.6†,,12.3
Total reporting unfair treatment in last 12 months,100,100,,100,100,,100,100,100,100,100,,100
Total number reporting unfair treatment in last 12 months,51261,60582,,95979,16334,,23663,25192,21237,20293,21476,,112187
Total number of persons,233722,253120,,392010,94173,,105780,117757,83689,81771,97555,,486293
† Proportion has a relative standard error between 25% and 50% and should be used with caution.,,,,,,,,,,,,,
‡ Proportion has a relative standard error greater than 50% and is considered too unreliable for general use.,,,,,,,,,,,,,
"(a) Due to changes from 2012–13 and 2018–19, data items are not directly comparable across cycles. ",,,,,,,,,,,,,
(b) Excludes 'not applicable'. Applicable population is those aged 15 and over and present at the interview.,,,,,,,,,,,,,
"(c) Includes avoided doctors, nurses or other staff at hospitals or doctor's surgeries.",,,,,,,,,,,,,
Note: Percentages calculated within columns. Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,,,,,,,,,,,,,
Source: AIHW and ABS analysis of National Aboriginal and Torres Strait Islander Health Survey 2018–19.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Link to Contents,,,,,,,,,,,,,
