"Table D3.08.12: Unfair treatment and whether avoided seeking health care, by types of regular health care used, Indigenous Australians aged 18 and over, 2018–19 (%)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,Where usually go if problem with health,,,,,
,Aboriginal Medical Service/ community clinic,Hospital,Doctor/GP(a),Other(b),No usual GP/ medical service(c),Total
,%,,,,,
Whether avoided seeking health care due to past unfair treatment(d),,,,,,
Yes,2.1,1.7‡ ,1.4†,0.0,2.5‡ ,1.9
No,99.3,97.2,99.0,100.0,100.2,99.1
Total,"163,040","17,876","255,354",3819,"40,400","480,726"
Whether unfair treatment in last 12 months because Aboriginal or Torres Strait Islander,,,,,,
Yes,27.1,24.4,23.5,41.0†,23.3,24.9
No,73.1,76.2,76.5,59.0,76.0,75.1
Total(e),"153,949","16,830","236,330","3,862†","38,734","449,761"
Frequency of unfair treatment in the last 12 months,,,,,,
Always,9.6†,2.4‡ ,3.6†,12.5‡ ,7.8†,6.4
Often,14.6,34.1†,9.5,81.2†,13.3†,13.4
Sometimes,37.6,46.3,32.0,12.5‡ ,34.4,34.4
Rarely,27.8,17.1†,37.1,12.5‡ ,43.3,33.4
Only happened once ,10.1,4.9‡ ,15.8,0.0,3.3‡ ,12.7
Total(f),"41,675","4,134","55,561","1,611†","9,022","112,187"
Types of unfair treatment in last 12 months(g),,,,,,
"Called names, teased or sworn at",33.3,43.9†,22.7,12.5‡ ,32.2†,27.8
Heard racial comments or jokes ,46.8,51.2,68.0,37.5,60.0,58.6
Ignored or served last while accessing services or buying something,39.8,34.1†,21.6,62.5†,32.2†,30.1
Not trusted,26.1,22.0†,21.9,18.7‡ ,27.8†,24.4
Unfairly arrested or charged,7.7,14.6†,3.2†,25.0†,6.7‡ ,5.7
Told are less intelligent,14.4,7.3†,14.9,37.5‡ ,21.1†,14.6
"Left out, refused entry or told don’t belong",17.0,12.2†,8.3†,75.0†,5.6‡ ,12.6
Spat at or had something thrown at,7.4,2.4‡ ,0.9†,0.0,2.2‡ ,3.4
Any other experience that was unfair,27.3,29.3†,21.4,18.7†,18.9,23.5
Total who experienced unfair treatment   ,"41,675","4,134","55,561","1,611†","9,022","112,187"
Total number of persons 18+,165373,17980,258385,"3,819†",40873,486293
† Estimate has a relative standard error between 25% and 50% and should be used with caution.,,,,,,
‡ Estimate has a relative standard error greater than 50% and is considered too unreliable for general use.,,,,,,
(a) Doctor/GP in 2018–19 NATSIHS are those other than from Aboriginal Medical Services. ,,,,,,
(b) Includes 'Traditional healer' and 'other health care'. ,,,,,,
(c)  Includes 'don't know'.,,,,,,
"(d) Includes those who avoided doctors, nurses or other staff at hospitals or doctor’s surgeries. Due to changes from 2012–13 and 2018–19, this data item is not directly comparable across cycles. ",,,,,,
(e) Total excludes 'Does not know if had unfair treatment'.,,,,,,
(f) Total includes 'never'.,,,,,,
"(g) Multiple response item, sum of components may be greater than total.",,,,,,
Notes,,,,,,
1. Percentages calculated within columns. Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals. ,,,,,,
"2. Survey questions about unfair treatment have changed significantly since 2012–13 NATSIHS, as such this table is not comparable with previous iterations. Applicable population are is those aged 15 years and over and present at the interview.",,,,,,
Source: AIHW and ABS analysis of National Aboriginal and Torres Strait Islander Healthy Survey 2018–19.,,,,,,
,,,,,,
Link to Contents,,,,,,
