"Table D3.08.15: Main language spoken at home and difficulty with English, by sex, age group and remoteness, Indigenous Australians aged 15 and over, 2014–15",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,Sex,,,Age group,,,,,,Remoteness,,,
,Males,Females,,15–24,25–34,35–44,45–54,55+,,Non-remote,Remote,,Total
,Estimate ('000),,,,,,,,,,,,
Main language spoken at home(a),,,,,,,,,,,,,
Australian Indigenous language,n.a.,n.a.,,13.4,10.7,9,8,5.5,,7.1,39.4,,46.7
English/other language,n.a.,n.a.,,124.2,85.5,67.1,57.5,62.7,,339.7,57.2,,396.8
Main language spoken at home is an Indigenous Australian language,,,,,,,,,,,,,
Difficulty understanding English speakers,n.a.,n.a.,,1.9,1.3,0.7,0.9,0.7,,n.a.,n.a.,,4.8
Difficulty being understood by English speakers,n.a.,n.a.,,1,0.6,0.7,0.1,0.5,,n.a.,n.a.,,2.6
Difficulty with both understanding and being understood by English speakers,n.a.,n.a.,,2.3,1.8,2.4,2.8,1.1,,n.a.,n.a.,,10.3
Total population aged 15 and over,212.6,231.1,,137.7,96.1,76,65.7,68.1,,n.a.,n.a.,,443.4
,%,,,,,,,,,,,,
Main language spoken at home(a),,,,,,,,,,,,,
Australian Indigenous language,10,10.9,,9.7,11.2,11.8,12.2,8,,2.0†,40.8,,10.5
English/other language,89.9,89,,90.2,89,88.4,87.5,92,,98,59.1,,89.5
Main language spoken at home is an Indigenous Australian language,,,,,,,,,,,,,
Difficulty understanding English speakers,0.8†,1.4†,,1.4†,1.3†,0.9†,1.3†,1.1†,,n.a.,n.a.,,1.1
Difficulty being understood by English speakers,0.7†,0.5†,,0.7†,0.7†,1.0†,0.2‡,0.7†,,n.a.,n.a.,,0.6
Difficulty with both understanding and being understood by English speakers,2.2†,2.5†,,1.7†,1.8†,3.2†,4.2†,1.6,,n.a.,n.a.,,2.3
Total population aged 15 and over,100,100,,100,100,100,100,100,,n.a.,n.a.,,100
† Per cent has a relative standard error between 25% and 50% and should be used with caution.,,,,,,,,,,,,,
‡ Per cent has a a relative standard error greater than 50% and is considered too unreliable for general use.,,,,,,,,,,,,,
(a) Excludes those not currently speaking.,,,,,,,,,,,,,
Source:  AIHW and ABS analysis of National Aboriginal and Torres Strait Islander Social Survey 2014–15.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Link to Contents,,,,,,,,,,,,,
