"Table D3.08.17: Experiences of discrimination by sex and age group, Indigenous Australians aged 15 and over, 2018–19",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,Males,,,,,,,Females,,,,,,,Persons,,,,,
,15–24,25–34,35–44,45–54,55+,Total,,15–24,25–34,35–44,45–54,55+,Total,,15–24,25–34,35–44,45–54,55+,Total
,Number,,,,,,,,,,,,,,,,,,,
Whether had unfair experience in last 12 months because Aboriginal and/or Torres Strait Islander(a),,,,,,,,,,,,,,,,,,,,
Has not had an unfair experience,45427,39895,26277,25647,30271,167392,,42564,45001,31009,29745,34681,182882,,87722,85074,57345,55170,65331,349777
Had unfair experience,11972,11716,10818,9603,8498,52970,,15202,13234,10766,10441,13055,62766,,27455,25192,21237,20293,21476,116215
Types of experiences of unfair treatment in the last 12 months because Aboriginal and/or Torres Strait Islander ,,,,,,,,,,,,,,,,,,,,
"Called names, teased or sworn at","4,843†","3,662†",2792,"2,626†","2,730†",16135,,"3,942†",3733,3355,"2,439†",3416,16611,,9054,7272,5821,4909,5700,32889
Heard racial comments or jokes ,6606,9245,6040,5609,4475,31258,,11241,7523,5656,5139,6970,36792,,17761,17188,11659,10737,11321,67830
Ignored or served last while accessing services or buying something,"2,011†","2,353†",4074,"3,226†","2,700†",14370,,"2,363†",5269,3744,4641,4185,19865,,4281,7590,7739,7593,"7,000†",34541
Not trusted,"2,283†","3,133†","4,184†","2,851†","1,583†",13938,,4525,3527,2307,1832,"2,439†",14337,,6859,6820,6446,4496,4021,28065
Unfairly arrested or charged,750‡ ,"1,281†","1,009†",522†,753†,3983,,663†,247‡ ,"1,038†",119‡ ,287‡ ,2442,,"1,360†","1,625†",2099,718†,"1,115†",6442
Told are less intelligent,"1,255†","1,126‡ ","1,781†","1,430†","1,164‡ ",6935,,"3,585†",3089,"1,393†","1,310†","1,369†",10932,,5079,4151,"2,828†","2,976†","2,813†",17956
"Left out, refused entry or told don’t belong",553†,"1,668†",855‡ ,"2,192†",510‡ ,6367,,"1,872‡ ",703†,"1,204†","1,978†","1,760‡ ",7893,,"2,666†",2271,"1,993†","4,344†","2,473†",14277
Spat at or had something thrown at,260‡ ,802‡ ,270‡ ,288‡ ,662‡ ,"2,163†",,275‡ ,167‡ ,442†,271‡ ,486‡ ,1818,,403‡ ,"1,253†",562†,610†,"1,019†",4120
Any other experience that was unfair,"1,892‡ ","1,752†","2,553†","1,991†","1,172†",10524,,"2,750†",4478,3347,4234,"2,558†",17387,,"5,032†",6316,5820,6330,3732,27669
Total(b)(c),11972,11716,10818,9603,8498,52970,,15202,13234,10766,10441,13055,62766,,27455,25192,21237,20293,21476,116215
Whether avoided situations in the past 12 months due to past unfair treatment,,,,,,,,,,,,,,,,,,,,
Avoided situations due to past unfair treatment,6533,6690,5854,5668,5478,30616,,7429,10420,5774,6852,8516,39137,,14463,17285,11860,12458,13767,69667
Did not avoid situations due to past unfair treatment,54068,50244,32823,31702,38088,206295,,54218,49600,37952,36606,43433,222066,,107452,100070,70878,68518,81795,428522
Total(c),59932,56525,38556,37456,43963,236853,,61835,60524,43973,43612,51895,261544,,121942,116806,82306,80853,95666,498345
Types of situations avoided due to past unfair treatment,,,,,,,,,,,,,,,,,,,,
"Applying for work, or going to a job","1,863†",3079,"3,044†","1,770†","1,023‡ ",10497,,"1,962†",2280,835†,"2,577†","2,319†",9965,,"3,638†",5401,"4,191†",4675,"3,312†",20708
"School, university, training course or other educational setting",836‡ ,"1,080‡ ",297‡ ,106‡ ,"1,267†","2,990†",,"1,581†",435‡ ,231‡ ,98‡ ,432‡ ,2777,,"2,267†","1,767†",593†,324†,"1,074‡ ",6136
"Doing any sporting, recreational or leisure activities",151‡ ,"1,308†",464‡ ,446‡ ,"1,412‡ ","3,394†",,258‡ ,442†,355†,205‡ ,291‡ ,2110,,849†,"1,548†","1,120†",644†,"1,453‡ ","5,413†"
"The police, security people, lawyers or in a court of law",970†,"2,179†","1,720†","1,911†","1,325†",8342,,"1,042†","1,043†","1,235†","1,100†","1,894†",6666,,"2,148†",3448,2960,"3,322†","3,141†",15207
"Doctors, nurses or other staff at hospitals or doctor’s surgeries",0,"1,037‡ ","1,021†",516†,506‡ ,"2,769†",,674†,"1,669†",555‡ ,"1,187†","1,942†",5628,,674†,"2,865†","1,684†","1,722†","2,152†",8904
When accessing government services,463†,"2,178†",422,686†,"1,142†",5033,,"2,121†","1,514†","1,186†","1,557†","1,229†",7195,,"1,931†",4354,"1,527†",2486,"1,861†",12658
Seeking any other services,243‡ ,"2,028†","1,054‡ ",743‡ ,48‡ ,"3,588†",,175‡ ,318†,686†,"1,419†","1,372†",3702,,371‡ ,"1,852†","1,948†","2,285†","1,098†",7435
Members of the public,"2,993†","1,640†",995‡ ,"1,871†","1,053†",7709,,"2,270†","2,506†",1994,"2,373†","3,542†",11958,,"4,928†",4261,3061,"3,985†","3,998†",20301
Other situations,"1,266‡ ",821‡ ,445‡ ,"1,146†",593‡ ,4507,,"1,673‡ ","3,366†","1,116†",456†,"1,226†",8621,,"3,183†","4,647†",1874,"1,508†","1,702†",13121
Didn't avoid any situation,54068,50244,32823,31702,38088,206295,,54218,49600,37952,36606,43433,222066,,107452,100070,70878,68518,81795,428522
Total population aged 15 and over(c)(d),59932,56525,38556,37456,43963,236853,,61835,60524,43973,43612,51895,261544,,121942,116806,82306,80853,95666,498345
,%,,,,,,,,,,,,,,,,,,,
Whether had unfair experience in the last 12 months because Aboriginal and/or Torres Strait Islander(a),,,,,,,,,,,,,,,,,,,,
Has not had an unfair experience,75.8,70.6,68.1,68.3,68.9,70.7,,68.9,74.4,70.5,68.1,66.9,69.9,,71.9,72.9,69.6,68.2,68.2,70.2
Had unfair experience,20,20.7,28,25.6,19.3,22.4,,24.6,21.8,24.5,23.9,25.2,24,,22.6,21.6,25.8,25.1,22.5,23.3
Types of experiences of unfair treatment in the last 12 months because Aboriginal and/or Torres Strait Islander ,,,,,,,,,,,,,,,,,,,,
"Called names, teased or sworn at",8.0†,6.5†,7.3,6.9†,6.1†,6.8,,6.3†,6.1,7.7,5.5†,6.6,6.3,,7.5,6.2,7,6.1,6,6.6
Heard racial comments or jokes ,11,16.3,15.5,14.9,10.2,13.2,,18.1,12.4,13,11.7,13.5,14.1,,14.6,14.7,14.2,13.2,11.8,13.6
Ignored or served last while accessing services or buying something,3.3†,4.2†,10.6,8.5†,6.1†,6.1,,3.9†,8.8,8.4,10.6,8.1,7.6,,3.5,6.5,9.4,9.4,7.3†,6.9
Not trusted,3.8†,5.5†,10.9†,7.7†,3.6†,5.9,,7.3,5.8,5.2,4.1,4.6†,5.5,,5.7,5.8,7.8,5.6,4.2,5.6
Unfairly arrested or charged,1.2‡ ,2.3†,2.6†,1.3†,1.8†,1.7,,1.1†,0.3‡ ,2.3†,0.2‡ ,0.6‡ ,0.9,,1.1†,1.4†,2.6,0.9†,1.1†,1.3
Told are less intelligent,2.2†,1.9‡ ,4.7†,3.7†,2.7‡ ,2.9,,5.8†,5.1,3.2†,3.0†,2.7†,4.2,,4.2,3.6,3.4†,3.7†,2.9†,3.6
"Left out, refused entry or told don’t belong",1.0†,3.0†,2.3‡ ,5.9†,1.1‡ ,2.7,,3.1‡ ,1.2†,2.7†,4.6†,3.5‡ ,3,,2.2†,2,2.4†,5.3†,2.6†,2.9
Spat at or had something thrown at,0.5‡ ,1.4‡ ,0.8‡ ,0.8‡ ,1.6‡ ,0.9†,,0.5‡ ,0.3‡ ,0.9†,0.7‡ ,1.0‡ ,0.7,,0.3‡ ,1.1†,0.7†,0.7†,1.0†,0.8
Any other experience that was unfair,3.2‡ ,3.2†,6.7†,5.3†,2.7†,4.4,,4.5†,7.4,7.5,9.6,5.0†,6.7,,4.1†,5.4,7,7.8,3.9,5.6
Total(b)(c),20,20.7,28,25.6,19.3,22.4,,24.6,21.8,24.5,23.9,25.2,24,,22.6,21.6,25.8,25.1,22.5,23.3
Whether avoided situations in the past 12 months due to past unfair treatment,,,,,,,,,,,,,,,,,,,,
