"Table D3.08.18: Experiences of discrimination by remoteness, Indigenous Australians aged 15 and over, 2018–19",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,Non-remote,,,,,Remote,,,,
,Major cities,Inner regional,Outer regional,Total non-remote,,Remote,Very remote,Total remote,,Australia
,Estimate ('000),,,,,,,,,
Whether had unfair experience in the last 12 months because Aboriginal and/or Torres Strait Islander(a),,,,,,,,,,
Has not had an unfair experience,126.2,84.7,69.3,279.7,,23.6,46.8,70.3,,349.8
Had unfair experience,48.6,24.1,26,99.3,,6.6,9.9,16.6,,116.2
Types of experiences of unfair treatment in the last 12 months because Aboriginal and/or Torres Strait Islander ,,,,,,,,,,
"Called names, teased or sworn at",12.4,7.8,7.3,26.7,,2,4,5.9,,32.9
Heard racial comments or jokes ,31.3,17.5,12.2,61.5,,2.7,4.2,6.8,,67.8
Ignored or served last while accessing services or buying something,10,6.4,11.7,28.8,,2.7,3.3,6.2,,34.5
Not trusted,9.4,7.1,7.1,24,,1.9,2.7,4.6,,28.1
Unfairly arrested or charged,1.7†,2.0†,1.5†,4.8,,0.8†,0.8†,1.6,,6.4
Told are less intelligent,8.6,4.8†,2.5†,16.5,,0.7†,1.0†,1.7,,18
"Left out, refused entry or told don’t belong",4.1†,3.6†,3.6†,11.7,,0.8†,1.4,2.3,,14.3
Spat at or had something thrown at,0.6†,1.2†,1.8†,3.5,,0.3†,0.6†,0.9†,,4.1
Any other experience that was unfair,11.4,4.5,7.3,22.8,,1.8,2.5,4.3,,27.7
Whether avoided situations in the past 12 months due to past unfair treatment,,,,,,,,,,
Avoided situations due to past unfair treatment,25.7,16.1,17.1,58.1,,3.9,7.4,11.3,,69.7
Did not avoid situations due to past unfair treatment,162.1,99.5,83.5,345.3,,29.5,53.6,83,,428.5
Types of situations avoided due to past unfair treatment,,,,,,,,,,
"Applying for work, or going to a job",7.3,5.6,2.8†,16.3,,1.5,2.5,4.2,,20.7
"School, university, training course or other educational setting",2.2†,2.2†,1.4†,5.1,,0.3‡,0.4†,0.7†,,6.1
"Doing any sporting, recreational or leisure activities",1.3†,1.7†,1.7‡,4.0†,,0.6†,0.8†,1.3†,,5.4†
"The police, security people, lawyers or in a court of law",5.1,3.6†,3.1†,11.8,,1.4†,1.9,3.3,,15.2
"Doctors, nurses or other staff at hospitals or doctor’s surgeries",2.0†,2.8†,2.4,7.5,,0.6†,0.8,1.4,,8.9
When accessing government services,6.1,3,2.1†,11.4,,0.4‡,0.6‡,1.0†,,12.7
Seeking any other services,2.9†,2.1†,1.4†,6.3,,0.3‡,1.0†,1.3†,,7.4
Members of the public,6.5,4.1†,6.6,17.4,,1.0†,1.5†,2.6,,20.3
Other situations,4.7†,2.8†,4.1†,11.3,,0.6†,1.3,1.7,,13.1
Didn't avoid any situation,162.1,99.5,83.5,345.3,,29.5,53.6,83,,428.5
Total(b)(c),187.5,115.3,100.3,404.1,,33.3,60.9,94.4,,498.3
,%,,,,,,,,,
Whether had unfair experience in the last 12 months because Aboriginal and/or Torres Strait Islander(a),,,,,,,,,,
Has not had an unfair experience,67.3,73.5,69.1,69.2,,70.9,76.8,74.5,,70.2
Had unfair experience,25.9,20.9,25.9,24.6,,19.8,16.3,17.6,,23.3
Types of experiences of unfair treatment in the last 12 months because Aboriginal and/or Torres Strait Islander ,,,,,,,,,,
"Called names, teased or sworn at",6.6,6.8,7.3,6.6,,6,6.6,6.2,,6.6
Heard racial comments or jokes ,16.7,15.2,12.2,15.2,,8.1,6.9,7.2,,13.6
Ignored or served last while accessing services or buying something,5.3,5.6,11.7,7.1,,8.1,5.4,6.6,,6.9
Not trusted,5,6.2,7.1,5.9,,5.7,4.4,4.9,,5.6
Unfairly arrested or charged,0.9†,1.7†,1.5†,1.2,,2.4†,1.3†,1.7,,1.3
Told are less intelligent,4.6,4.2†,2.5†,4.1,,2.1†,1.6†,1.8,,3.6
"Left out, refused entry or told don’t belong",2.2†,3.1†,3.6†,2.9,,2.4†,2.3,2.4,,2.9
Spat at or had something thrown at,0.3†,1.0†,1.8†,0.9,,0.9†,1.0†,1.0†,,0.8
Any other experience that was unfair,6.1,3.9,7.3,5.6,,5.4,4.1,4.6,,5.6
Whether avoided situations in the past 12 months due to past unfair treatment,,,,,,,,,,
Avoided situations due to past unfair treatment,13.7,14,17,14.4,,11.7,12.2,12,,14
Did not avoid situations due to past unfair treatment,86.5,86.3,83.3,85.4,,88.6,88,87.9,,86
Types of situations avoided due to past unfair treatment,,,,,,,,,,
"Applying for work, or going to a job",3.9,4.9,2.8†,4,,4.5,4.1,4.4,,4.2
"School, university, training course or other educational setting",1.2†,1.9†,1.4†,1.3,,0.9‡,0.7†,0.7†,,1.2
"Doing any sporting, recreational or leisure activities",0.7†,1.5†,1.7‡,1.0†,,1.8†,1.3†,1.4†,,1.1†
"The police, security people, lawyers or in a court of law",2.7,3.1†,3.1†,2.9,,4.2†,3.1,3.5,,3.1
