"Table D3.08.19: Experiences of discrimination by jurisdiction, Indigenous Australians aged 15 and over, 2018–19",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Australia
,Estimate ('000),,,,,,,,
Whether had unfair experience in the last 12 months because Aboriginal and/or Torres Strait Islander(a),,,,,,,,,
Has not had an unfair experience,119.6,25.4,97.9,38,17.8,14.7,2.4,34,349.8
Had unfair experience,39.4,8.7,27.8,17.2,8.8,3.1,2.2,8.8,116.2
Types of experiences of unfair treatment in the last 12 months because Aboriginal and/or Torres Strait Islander ,,,,,,,,,
"Called names, teased or sworn at",12.4,1.6,7,4.3,3.1†,1.4,0.3†,3.2,32.9
Heard racial comments or jokes ,24.1,5.4,14.1,9.7,6.7,2.2,1.7,4,67.8
Ignored or served last while accessing services or buying something,11.8,2.3†,8.1,6.1,2.2,0.4‡,0.3†,2.9,34.5
Not trusted,9.4,2.3,5.9†,4.9,1.9,0.5‡,0.4†,2.8,28.1
Unfairly arrested or charged,1.6†,0.9†,1.7†,1.4†,0.5†,0.3†,0.1‡,0.8†,6.4
Told are less intelligent,6.4,1.7†,3.4†,1.6†,2.1†,0.8†,0.8†,1,18
"Left out, refused entry or told don’t belong",4.2†,1.6†,3.9†,2.1†,0.5†,0.3‡,0.1‡,1.4,14.3
Spat at or had something thrown at,0.9†,0.5‡,1.3†,0.6†,0.2‡,0.3‡,0,0.7†,4.1
Any other experience that was unfair,7.4,2.8,9.1,3.6,2.0†,0.3†,0.7†,1.7,27.7
Whether avoided situations in the past 12 months due to past unfair treatment,,,,,,,,,
Avoided situations due to past unfair treatment,23.3,5.7,16.9,10,4.5,1.9,1.2†,6,69.7
Did not avoid situations due to past unfair treatment,147.2,30.8,117.5,49.1,22.6,16.8,3.7,41.3,428.5
Types of situations avoided due to past unfair treatment,,,,,,,,,
"Applying for work, or going to a job",6.3†,1.7†,5.0†,2.5†,1.2†,0.5†,0.7‡,2,20.7
"School, university, training course or other educational setting",2.7†,0.6†,1.0‡,0.7†,0.6†,0.3‡,0.1‡,0.6,6.1
"Doing any sporting, recreational or leisure activities",2.7‡,0.2‡,0.7‡,0.6†,0.3‡,0.1‡,0.1‡,0.6†,5.4†
"The police, security people, lawyers or in a court of law",3.7†,1.4†,3.5†,3.1†,1.2,0.4‡,0.1‡,1.4†,15.2
"Doctors, nurses or other staff at hospitals or doctor’s surgeries",2.1†,1.1†,3.0†,1.4†,0.7†,0.2‡,0.1†,0.6,8.9
When accessing government services,3.7†,1.8†,3.6†,1.4†,1.2†,0.5†,0.2†,0.5‡,12.7
Seeking any other services,1.9†,0.6‡,1.2†,1.2†,1.0†,0.3‡,0.1‡,0.5†,7.4
Members of the public,6.4,1.3†,6,3.2†,0.8†,0.5†,0.5†,1.3,20.3
Other situations,5.9†,0.7†,2.4†,2.6†,0.6‡,0.3‡,0.1‡,1.1†,13.1
Didn't avoid any situation,147.2,30.8,117.5,49.1,22.6,16.8,3.7,41.3,428.5
Total(b)(c),169.8,36.9,134.1,59.5,27,18.8,5,47,498.3
,%,,,,,,,,
Whether had unfair experience in the last 12 months because Aboriginal and/or Torres Strait Islander(a),,,,,,,,,
Has not had an unfair experience,70.4,68.8,73,63.9,65.9,78.2,48,72.3,70.2
Had unfair experience,23.2,23.6,20.7,28.9,32.6,16.5,44,18.7,23.3
Types of experiences of unfair treatment in the last 12 months because Aboriginal and/or Torres Strait Islander ,,,,,,,,,
"Called names, teased or sworn at",7.3,4.3,5.2,7.2,11.5†,7.4,6.0†,6.8,6.6
Heard racial comments or jokes ,14.2,14.6,10.5,16.3,24.8,11.7,34,8.5,13.6
Ignored or served last while accessing services or buying something,6.9,6.2†,6,10.3,8.1,2.1‡,6.0†,6.2,6.9
Not trusted,5.5,6.2,4.4†,8.2,7,2.7‡,8.0†,6,5.6
Unfairly arrested or charged,0.9†,2.4†,1.3†,2.4†,1.9†,1.6†,2.0‡,1.7†,1.3
Told are less intelligent,3.8,4.6†,2.5†,2.7†,7.8†,4.3†,16.0†,2.1,3.6
"Left out, refused entry or told don’t belong",2.5†,4.3†,2.9†,3.5†,1.9†,1.6‡,2.0‡,3,2.9
Spat at or had something thrown at,0.5†,1.4‡,1.0†,1.0†,0.7‡,1.6‡,0,1.5†,0.8
Any other experience that was unfair,4.4,7.6,6.8,6.1,7.4†,1.6†,14.0†,3.6,5.6
Whether avoided situations in the past 12 months due to past unfair treatment,,,,,,,,,
Avoided situations due to past unfair treatment,13.7,15.4,12.6,16.8,16.7,10.1,24.0†,12.8,14
Did not avoid situations due to past unfair treatment,86.7,83.5,87.6,82.5,83.7,89.4,74,87.9,86
Types of situations avoided due to past unfair treatment(a),,,,,,,,,
"Applying for work, or going to a job",3.7†,4.6†,3.7†,4.2†,4.4†,2.7†,14.0‡,4.3,4.2
"School, university, training course or other educational setting",1.6†,1.6†,0.7‡,1.2†,2.2†,1.6‡,2.0‡,1.3,1.2
"Doing any sporting, recreational or leisure activities",1.6‡,0.5‡,0.5‡,1.0†,1.1‡,0.5‡,2.0‡,1.3†,1.1†
"The police, security people, lawyers or in a court of law",2.2†,3.8†,2.6†,5.2†,4.4,2.1‡,2.0‡,3.0†,3.1
"Doctors, nurses or other staff at hospitals or doctor’s surgeries",1.2†,3.0†,2.2†,2.4†,2.6†,1.1‡,2.0†,1.3,1.8
When accessing government services,2.2†,4.9†,2.7†,2.4†,4.4†,2.7†,4.0†,1.1‡,2.5
Seeking any other services,1.1†,1.6‡,0.9†,2.0†,3.7†,1.6‡,2.0‡,1.1†,1.5
Members of the public,3.8,3.5†,4.5,5.4†,3.0†,2.7†,10.0†,2.8,4.1
Other situations,3.5†,1.9†,1.8†,4.4†,2.2‡,1.6‡,2.0‡,2.3†,2.6
Didn't avoid any situation,86.7,83.5,87.6,82.5,83.7,89.4,74,87.9,86
Total(b)(c),100,100,100,100,100,100,100,100,100
† Estimate has a relative standard error between 25% and 50% and should be used with caution.,,,,,,,,,
‡ Estimate has a relative standard error greater than 50% and is considered too unreliable for general use.,,,,,,,,,
(a) Person present at interview and responding for self. Excludes 'does not know if had unfair treatment'.,,,,,,,,,
(b) Sum of components may be more than total as people may have reported having experienced discrimination in more than 1 situation avoided.,,,,,,,,,
(c) Person present at interview and responding for self.,,,,,,,,,
Note: Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,,,,,,,,,
Source: AIHW and ABS analysis of National Aboriginal and Torres Strait Islander Health Survey 2018–19.,,,,,,,,,
,,,,,,,,,
Link to Contents,,,,,,,,,
