"Table D3.08.2: Most recent situation Indigenous people aged 18 and over felt discriminated against in last 12 months, by remoteness, 2018–19(a)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,Major cities,Inner regional,Outer regional,Remote,Very remote,Australia
,Number ('000),,,,,
Most recent situation felt discriminated against in last 12 months,,,,,,
Applying for work or when at work,11.4,6.4,4.3†,1,1.7,25
"At home, by neighbours or at someone else's home",4.4†,3.3†,1.9†,0.4†,1.4,11.6
"At school, university, training course or other educational setting",3.1†,0.9‡,1.4‡,0.3‡,0.3‡,5.9
"While doing any sporting, recreational or leisure activities",1.4†,1.4†,0.3‡,0.4‡,0.2†,3.8†
"By the police, security people, lawyers or in a court of law",2.4†,1.5†,1.6†,0.5†,0.7†,6.1
"By doctors, nurses or other staff at hospitals/surgeries",2.8†,0.3‡,1.2†,0.4‡,0.9,5.9
When accessing Government services,1.6†,1.1†,0.6†,0.2‡,0.2†,3.6
When seeking any other services,1.4†,0.8‡,1.8†,0.5†,0.7†,5.6
On the internet or telephone,1.3†,1.1†,0.5‡,0.1‡,0.1‡,3.2
By members of the public,10.7,5.6,6.9,1.9,3,27.7
Other situation,5.5,2.0†,4.2†,0.7,0.7†,13.8
Total reporting discrimination in last 12 months,47.6,23.3,25,6.5,9.7,112.2
Does not know if had unfair treatment,13.1,6.8†,4.0†,3.1,4.1,31
Has not had unfair treatment,122.9,79.7,66.1,23.2,46,337.9
Total population aged 18 and over,185.4,111.5,96,33,61,486.3
,%,,,,,
Most recent situation felt discriminated against in last 12 months,,,,,,
Applying for work or when at work,6.1,5.7,4.5†,3,2.8,5.1
"At home, by neighbours or at someone else's home",2.4†,3.0†,2.0†,1.2†,2.3,2.4
"At school, university, training course or other educational setting",1.7†,0.8‡,1.5‡,0.9‡,0.5‡,1.2
"While doing any sporting, recreational or leisure activities",0.8†,1.3†,0.3‡,1.2‡,0.3†,0.8†
"By the police, security people, lawyers or in a court of law",1.3†,1.3†,1.7†,1.5†,1.1†,1.3
"By doctors, nurses or other staff at hospitals/surgeries",1.5†,0.3‡,1.2†,1.2‡,1.5,1.2
When accessing Government services,0.9†,1.0†,0.6†,0.6‡,0.3†,0.7
When seeking any other services,0.8†,0.7‡,1.9†,1.5†,1.1†,1.2
On the internet or telephone,0.7†,1.0†,0.5‡,0.3‡,0.2‡,0.7
By members of the public,5.8,5,7.2,5.8,4.9,5.7
Other situation,3,1.8†,4.4†,2.1,1.1†,2.8
Total reporting discrimination in last 12 months,25.7,20.9,26,19.7,15.9,23.1
Does not know if had unfair treatment,7.1,6.1†,4.2†,9.4,6.7,6.4
Has not had unfair treatment,66.3,71.5,68.9,70.3,75.4,69.5
Total population aged 18 and over,100,100,100,100,100,100
† Estimate has a relative standard error between 25% and 50% and should be used with caution.,,,,,,
‡ Estimate has a relative standard error greater than 50% and is considered too unreliable for general use. ,,,,,,
"(a) Due to changes from 2012–13 and 2018–19, data items are not directly comparable across cycles. ",,,,,,
Note: Percentages add within columns. Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,,,,,,
Source: AIHW and ABS analysis of National Aboriginal and Torres Strait Islander Health Survey 2018–19.,,,,,,
,,,,,,
Link to Contents,,,,,,
