"Table D3.08.21: Patient experience in the last 12 months in non-remote areas, by sex, and age group, Indigenous Australians aged 15 and over,  2018–19(a)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,Sex,,,Age group,,,,,,
,Males,Females,,15–24,25–34,35–44,45–54,55+,,Total
,Number,,,,,,,,,
How often doctor(s) listened carefully,,,,,,,,,,
Always/often,137328,167451,,70449,67263,50653,51271,64630,,305241
Sometimes/rarely/never,15576,23491,,10497,9280,5798,6460,6754,,39162
How often doctor(s) showed respect for what was said,,,,,,,,,,
Always/often,140681,172309,,73749,69437,51104,52246,66820,,312689
Sometimes/rarely/never,12204,18741,,7429†,7401,5836,5541,4465,,30848
How often doctor(s) spent enough time with patient,,,,,,,,,,
Always/often,137277,164100,,70532,66835,48820,50196,64775,,300759
Sometimes/rarely/never,15830,27136,,10427,10690,7994,7129,6670,,43126
Total persons who saw a doctor in the last 12 months for their own health,152459,191132,,80912,77268,57220,57686,71373,,343727
,%,,,,,,,,,
How often doctor(s) listened carefully,,,,,,,,,,
Always/often,90,87.7,,87,87.1,88.6,88.9,90.5,,88.8
Sometimes/rarely/never,10.2,12.3,,13,12,10.1,11.3,9.5,,11.4
How often doctor(s) showed respect for what was said,,,,,,,,,,
Always/often,92.3,90.2,,91.1,89.8,89.3,90.5,93.6,,91
Sometimes/rarely/never,8,9.8,,9.1,9.6,10.1,9.5,6.3,,9
How often doctor(s) spent enough time with patient,,,,,,,,,,
Always/often,90,85.9,,87.1,86.4,85.3,87,90.8,,87.5
Sometimes/rarely/never,10.4,14.2,,12.9,13.8,14,12.3,9.4,,12.5
Total persons who saw a doctor in the last 12 months for their own health,100,100,,100,100,100,100,100,,100
† Estimate has a relative standard error between 25% and 50% and should be used with caution.,,,,,,,,,,
(a) Self-reported data for people aged 15 and over who consulted a doctor or specialist in the last 12 months. Data excludes a small number of people who were not present at interview and for whom responses were provided by a proxy. ,,,,,,,,,,
Notes,,,,,,,,,,
1.  Percentages add within columns. Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,,,,,,,,,,
2. Data in this table are not comparable to previously published Health Performance Report tables due to changes in response categories used.,,,,,,,,,,
3. Doctor(s) refer to general practitioners (GP).,,,,,,,,,,
Source: AIHW and ABS analysis of National Aboriginal and Torres Strait Islander Health Survey 2018–19.,,,,,,,,,,
,,,,,,,,,,
Link to Contents,,,,,,,,,,
