"Table D3.08.22: Patient experience in the last 12 months in non-remote areas, by jurisdiction, Indigenous persons aged 15 and over,  2018–19(a)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Australia
,Number,,,,,,,,
How often doctor(s) listened carefully,,,,,,,,,
  Always/often,123911,27606,84778,26571,16722,13516,3700,8554,305241
  Sometimes/rarely/never,12527,5261,12114,"3,633†","2,932†",2264,579†,858†,39162
How often doctor(s) showed respect for what was said,,,,,,,,,
  Always/often,123823,28893,87923,28175,17159,14239,3798,8674,312689
  Sometimes/rarely/never,10669,4293,8899,2328,"2,116†",1539,656†,554†,30848
How often doctor(s) spent enough time with patient,,,,,,,,,
  Always/often,121310,26571,86906,25628,16398,13013,3216,8231,300759
  Sometimes/rarely/never,13384,6440,9580,5385,3198,2630,1162,1153†,43126
Total number of persons who saw a doctor in the last 12 months for their own health,134691,32966,96848,30665,19555,15586,4280,9142,343727
,%(b),,,,,,,,
How often doctor(s) listened carefully,,,,,,,,,
  Always/often,92,83.6,87.6,86.6,85.2,86.5,86,94.5,88.8
  Sometimes/rarely/never,9.3,16.1,12.5,11.7†,14.8†,14.7,14,9.9†,11.4
How often doctor(s) showed respect for what was said,,,,,,,,,
  Always/often,91.9,87.6,90.8,91.9,87.8,91,88.4,95.6,91
  Sometimes/rarely/never,7.9,13,9.2,7.5,10.7†,9.6,16.3,6.6†,9
How often doctor(s) spent enough time with patient,,,,,,,,,
  Always/often,90.1,80.6,89.8,83.4,83.7,83.3,74.4,90.1,87.5
  Sometimes/rarely/never,9.9,19.4,9.9,17.6,16.3,16.7,27.9,13.2†,12.5
Total persons who saw a doctor in the last 12 months for their own health,100,100,100,100,100,100,100,100,100
† Estimate has a relative standard error of 25% to 50% and should be used with caution.,,,,,,,,,
(a) Self-reported data consisting of persons aged 15 and over who consulted a doctor or specialist in the last 12 months. Data excludes a small number of people who were not present at interview and for whom responses were provided by a proxy. ,,,,,,,,,
"(b) Proportions have been calculated as proportion of total number of persons who saw a doctor in the last 12 months, for their own health.",,,,,,,,,
Notes,,,,,,,,,
1.  Percentages calculated within columns. Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,,,,,,,,,
2. Data in this table are not comparable to previously published Health Performance Report tables due to changes in response categories used.,,,,,,,,,
Source: AIHW and ABS analysis of National Aboriginal and Torres Strait Islander Health Survey 2018–19.,,,,,,,,,
,,,,,,,,,
Link to Contents,,,,,,,,,
