"Table D3.08.24: Most recent experience of unfair treatment in last 12 months because Aboriginal and/or Torres Strait Islander, Indigenous people 15 and over, by jurisdiction, 2018–19(a)(b)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Aust.
,Estimate ('000),,,,,,,,
Most recent experience of unfair treatment in the last 12 months,,,,,,,,,
"Applying for work, or at work",11.8,2.1,5.3†,1.9,1.7†,0.6†,0.5‡,1.6,24.8
"At home, by neighbours or at somebody else's house",3.4†,0.8†,2.9†,1.9†,0.2‡,0.7†,0.2‡,0.9†,11.4
"At school, university, training course or other educational setting",1.6‡,0.8†,1.0‡,0.7‡,2.1†,0.3‡,0.1‡,0.3†,8.6
"While doing any sporting, recreational or leisure activities",1.6‡,0.4†,1.0†,0.1‡,0.2‡,0.2‡,0.1‡,0.3†,3.9†
"By the police, security people, lawyers or in a court of law",2.4†,0.4†,1.8†,1.0†,0.5†,0,0.2‡,0.4†,6.4
"By doctors, nurses or other staff at hospitals or doctor’s surgeries",1.5†,1.3†,1.8†,0.9†,0.2†,0,0.1‡,0.4†,5.9
When accessing government services,1.4‡,0.3‡,0.7‡,0.8†,0.2‡,0.1‡,0.1‡,0.1‡,3.6
When seeking any other services,1.3†,0.2‡,1.7†,1.4†,0.6‡,0,0,0.9†,5.9
On the internet or telephone ,1.6†,0.4†,0.4‡,0.9†,0.1‡,0.1‡,0.1‡,0.1‡,3.2
By members of the public,8.3,1.5,7,6.1,1.6,0.5†,0.5†,3,28.5
Any other situation,4.3†,0.8†,4.6,1.9†,1.0†,0,0.3†,0.9†,14.1
Total reporting unfair treatment in the last 12 months(c),39.4,8.7,27.8,17.2,8.8,3.1,2.2,8.8,116.2
Did not feel treated unfairly in the last 12 months,119.6,25.4,97.9,38,17.8,14.7,2.4,34,349.8
Total population aged 15 and over(d),169.8,36.9,134.1,59.5,27,18.8,5,47,498.3
,%,,,,,,,,
Most recent experience of unfair treatment in the last 12 months,,,,,,,,,
"Applying for work, or at work",6.9,5.7,4.0†,3.2,6.3†,3.2†,10.0‡,3.4,5
"At home, by neighbours or at somebody else's house",2.0†,2.2†,2.2†,3.2†,0.7‡,3.7†,4.0‡,1.9†,2.3
"At school, university, training course or other educational setting",0.9‡,2.2†,0.7‡,1.2‡,7.8†,1.6‡,2.0‡,0.6†,1.7
"While doing any sporting, recreational or leisure activities",0.9‡,1.1†,0.7†,0.2‡,0.7‡,1.1‡,2.0‡,0.6†,0.8†
"By the police, security people, lawyers or in a court of law",1.4†,1.1†,1.3†,1.7†,1.9†,0,4.0‡,0.9†,1.3
"By doctors, nurses or other staff at hospitals or doctor’s surgeries",0.9†,3.5†,1.3†,1.5†,0.7†,0,2.0‡,0.9†,1.2
When accessing government services,0.8‡,0.8‡,0.5‡,1.3†,0.7‡,0.5‡,2.0‡,0.2‡,0.7
When seeking any other services,0.8†,0.5‡,1.3†,2.4†,2.2‡,0,0,1.9†,1.2
,0.9†,1.1†,0.3‡,1.5†,0.4‡,0.5‡,2.0‡,0.2‡,0.6
By members of the public,4.9,4.1,5.2,10.3,5.9,2.7†,10.0†,6.4,5.7
Any other situation,2.5†,2.2†,3.4,3.2†,3.7†,0,6.0†,1.9†,2.8
Total reporting unfair treatment in last 12 months(c),23.2,23.6,20.7,28.9,32.6,16.5,44,18.7,23.3
Did not feel treated unfairly in last 12 months,70.4,68.8,73,63.9,65.9,78.2,48,72.3,70.2
Total population aged 15 and over(d),100,100,100,100,100,100,100,100,100
† Estimate has a relative standard error between 25% and 50% and should be used with caution.,,,,,,,,,
‡ Estimate has a relative standard error greater than 50% and is considered too unreliable for general use.,,,,,,,,,
(a) Sum of components may be more than total as people may have reported having experienced discrimination in more than 1 situation.,,,,,,,,,
(b) Excludes those not present at the interview. ,,,,,,,,,
(c) Excludes those where it was not known if they had experienced unfair treatment in the last 12 months.,,,,,,,,,
(d) Includes those where it was not known if they had experienced unfair treatment in the last 12 months.,,,,,,,,,
Note: Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,,,,,,,,,
Source: AIHW and ABS analysis of National Aboriginal and Torres Strait Islander Health Survey 2018–19.,,,,,,,,,
,,,,,,,,,
Link to Contents,,,,,,,,,
