"Table D3.08.25: Number and proportion of Aboriginal and Torres Strait Islander primary health-care services providing selected health-related services, 2017–18",Unnamed: 1,Unnamed: 2
Selected health-related services,Number,%
Interpreting services,79,39.9
Traditional healing,41,20.7
Bush tucker nutrition programs,38,19.2
Bush medicine,37,18.7
Other,13,6.6
Any of above,114,57.6
Total number of primary health-care organisations,198,100
"Source: AIHW analyses of Online Services Report data collection, 2017–18.",,
,,
Link to Contents,,
