"Table D3.08.3: Indigenous persons who did not access health services when needed and why, by remoteness, sex and age, 2018–19",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,Remoteness,,,Sex,,,Age group,,,,
,Non-remote,Remote,,Male,Female,,0–14,15–44,45+,,Total
,%,,,,,,,,,,
Whether needed to go to a dentist in last 12 months but didn't(a),,,,,,,,,,,
Yes,19.8,14.9*,,17.2,20.8,,3.4,26.1,25.3,,18.9*
No,80.1,85.1*,,82.9,79.2,,96.7,73.9,74.5,,81.0*
Total,632354,142492,,381021,393737,,238394,357285,179065,,774988
Reason(s) did not go to dentist(a)(b),,,,,,,,,,,
Cost,43.6,28.8*,,40.5,42.6,,31.7,40.6,46.3,,41.6*
Logistical reasons,,,,,,,,,,,
    Waiting time too long or not available at time required,13.4,24.1*,,12.2,17.3,,13.4,13.9,17.2,,14.9
    Transport/distance,7.2,21.7*,,11.2,8.2,,7.3‡ ,9.8,9.3,,9.5
    Service not available in area,2.5†,26.4*,,4.9,6.5,,8.5†,4.4,7.9,,5.7*
 Sub-total,20.1,52.8*,,23.1,26.1,,22,23.4,27.8,,24.9
Cultural appropriateness of service,,,,,,,,,,,
    Discrimination/ not culturally appropriate/ language problems,1.0†,0.5‡ ,,0.8‡ ,1.0†,,0,1.0†,0.7‡ ,,0.8†
"    Dislikes service/professional, embarrassed, afraid",23.2,13.2*,,19.9,23.5,,17.1†,21.5,24.2,,21.8*
    Felt it would be inadequate,1.4‡ ,0.9†,,2.4‡ ,0.9†,,2.4‡ ,1.2‡ ,1.1‡ ,,1.4†*
    Does not trust service/provider,2.9,4.2†,,2.3†,3.2,,4.9‡ ,2.5,3.7†,,2.9
 Sub-total,26.8,17.9*,,24.2,26.6,,22.0†,24.5,27.8,,25.6
Personal reasons,,,,,,,,,,,
"    Too busy (including work, personal or family responsibilities)",23.9,22.2,,21.3,25.9,,15.9†,28,16.7,,23.9*
    Decided not to seek care,13.9,8.0*,,15,11.8,,9.8†,13.9,12.3,,13.2*
 Sub-total,35.8,29.2,,34.9,34.6,,22.0†,39.1,27.5,,34.8*
Other,6,4.7†,,5.4†,6,,19.5†,5.4,5.3†,,6.0*
"Total who needed to visit dentist, but didn’t",100,100,,100,100,,100,100,100,,100
"Total number who needed to visit dentist, but didn’t",125384,21204,,65442,81706,,8199,93125,45410,,146678
Whether needed to go to a doctor in last 12 months but didn't,,,,,,,,,,,
Yes,13.5,7.9*,,10.8,14.2,,2,16.7,20.7,,12.5
No,86.5,92.1*,,89.2,85.8,,98,83.4,79.2,,87.5
Total,665215,148652,,401518,413118,,278107,357285,179065,,814013
Reason(s) did not go to doctor(b),,,,,,,,,,,
Cost,7.8,5.9†,,5.3,9,,10.7†,7.4,7.8,,7.4
Logistical reasons,,,,,,,,,,,
    Waiting time too long or not available at time required,15.2,23.7,,12.5,18.4,,19.6,13.9,18.6,,15.7
    Transport/distance,12.7,22.9†,,12.7,15,,14.3†,12.9,14.9,,13.8
    Service not available in area,0.9†,10.2†*,,1.9†,1.9†,,10.7‡ ,1.7†,1.4‡ ,,2.2†
 Sub-total,26.8,46.6*,,24.3,32.2,,42.9,25.8,32.2,,28.9
Cultural appropriateness of service,,,,,,,,,,,
    Discrimination/ not culturally appropriate/ language problems,1.4†,3.4‡ ,,2.3†,1.4†,,0,2.2†,1.1‡ ,,1.4†
"    Dislikes service/professional, embarrassed, afraid",11.3,12.7,,14.4,9.4,,16.1†,15.3,6.2,,11.4
    Felt it would be inadequate,9.8,5.1†,,11.3†,8.5,,8.9‡ ,11.2,6.5†,,9.5
    Does not trust service/provider,4.1,3.4‡ ,,2.8†,5.1,,7.1‡ ,4.4†,3.5†,,4.1
 Sub-total,21.7,20.3,,25.5,18.4,,21.4‡ ,26,14.3,,21.5
Personal reasons,,,,,,,,,,,
"    Too busy (including work, personal or family responsibilities)",33,34.7,,30.1,35.4,,12.5†,34.7,32.7,,32.8
    Decided not to seek care,30.9,9.3*,,30.6,26.9,,12.5†,26.8,32.2,,27.9
 Sub-total,60,42.4*,,56.2,58.6,,21.4†,58.2,59.7,,57.6
Other,11.4,10.2†,,9.3†,12.9,,23.2†,10.2†,11.1,,11.2
"Total who needed to visit doctor, but didn’t",100,100,,100,100,,100,100,100,,100
"Total number who needed to visit doctor, but didn’t",89695,11775,,43237,58707,,5554,59642,36963,,102033
Whether needed to go to other health professional in last 12 months but didn't(c),,,,,,,,,,,
