"Table D3.08.4: Reasons for Indigenous Australians not accessing health services when needed, by jurisdiction, 2018–19 (%)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Australia
,%,,,,,,,,
"Whether needed to go to dentist in last 12 months, but didn’t(a)",,,,,,,,,
Yes,17.5,24.1,19.6,19.9,23.7,23.9,23.3,12.4,18.9
No,82.3,75.9,80.3,80.1,76.3,76.4,75.3,87.6,81
Total persons,260903,56809,216388,94433,40952,28447,7276,70130,774988
Reasons didn’t go to a dentist(a)(b),,,,,,,,,
Cost,45,40.1,33,53.7,47.4,54.4,41.2,17.2,41.6
Logistical reasons,,,,,,,,,
   Waiting time too long or not available at time required,13.6†,9.5†,16.3,14.9,8.2†,13.2,17.6†,26.4,14.9
    Transport/distance,6.6†,9.5†,9.2†,18.1†,4.1†,7.4†,5.9‡ ,12.6,9.5
    [service] Not available in area,3.1†,2.2†,6.4,8.0†,2.1‡ ,4.4†,0,26.4,5.7
Sub-total,19.7,20.4†,24.3,33.5,13.4,22.1,17.6†,49.4,24.9
Cultural appropriateness of service,,,,,,,,,
    Discrimination/ not culturally appropriate/ language problems,0.7‡ ,0.7‡ ,0.9‡ ,1.6‡ ,1.0‡ ,0,0,0,0.8†
"    Dislikes service/professional, embarrassed, afraid",24.8,20.4,20.5,17,26.8,32.4,11.8†,6.9,21.8
    Felt it would be inadequate,0.7‡ ,1.5‡ ,1.7‡ ,1.1‡ ,1.0‡ ,1.5‡ ,0,0,1.4†
    Does not trust dentist,1.5‡ ,3.6†,2.8†,2.1‡ ,4.1‡ ,5.9†,5.9‡ ,4.6‡ ,2.9
Sub-total,26.5,23.4,27.6,21.3,33,35.3,23.5†,9.2,25.6
Personal reasons,,,,,,,,,
"    Too busy (including work, personal or family responsibilities)",22.6,28.5,23.8,14.4,27.8,25,47.1,21.8,23.9
    Decided not to seek care,10.3†,18.2†,13.0†,11.2†,15.5†,14.7†,5.9‡ ,8,13.2
Sub-total,35.3,40.9,37.7,22.3,37.1,38.2,58.8,28.7,34.8
Other,7.7†,4.4†,4.5†,3.7†,7.2†,4.4‡ ,11.8‡ ,5.7†,6
"Total who needed to visit dentist, but didn’t",45567,13746,42435,18845,9747,6786,1729,8685,146678
"Whether needed to visit doctor in last 12 months, but didn’t",,,,,,,,,
Yes,12.8,18.9,10.9,11,15.3,19.1,24.7,7,12.5
No,87.3,81.1,89.1,88.7,84.9,80.9,75.3,92.8,87.5
Total persons,271929,60224,228907,99793,42994,29756,7720,72719,814013
Reasons why didn’t visit the doctor when needed to(b),,,,,,,,,
Cost,3.2‡ ,7.9†,4.4‡ ,18.2†,6.1‡ ,21.1,10.5‡ ,2.0‡ ,7.4
Logistical reasons,,,,,,,,,
    Waiting time too long or not available at time required,16.4,19.3,10.0†,13.6†,12.1†,26.3,36.8†,19.6†,15.7
    Transport/distance,8.9†,19.3†,15.6†,24.5†,12.1†,5.3‡ ,10.5†,11.8†,13.8
    [service] Not available in area,1.4‡ ,0.9‡ ,2.8†,4.5‡ ,1.5‡ ,0,0,7.8‡ ,2.2†
Sub-total,28,36,23.6,37.3,22.7,26.3,47.4,33.3,28.9
Cultural appropriateness of service,,,,,,,,,
    Discrimination/ not culturally appropriate/ language problems,1.2‡ ,0.9‡ ,0,7.3‡ ,0,1.8‡ ,0,2.0‡ ,1.4†
"    Dislikes service/professional, embarrassed, afraid",13.5,7.9†,12.8†,10.9†,9.1†,12.3†,21.1‡ ,7.8†,11.4
