"Table D3.08.6: Patient experience in last 12 months, Indigenous Australians aged 15 and over, by sex and age group (non-remote), 2018–19(a)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,Sex,,,Age group,,,,,,
,Males,Females,,15–24,25–34,35–44,45–54,55+,,Total
,Number,,,,,,,,,
How often doctor(s) listened,,,,,,,,,,
Always/usually,137328,167451,,70449,67263,50653,51271,64630,,305241
Sometimes/rarely/never,15576,23491,,10497,9280,5798,6460,6754,,39162
Total ,152459,191132,,80912,77268,57220,57686,71373,,343727
How often doctor(s) explained things in a way that could be understood,,,,,,,,,,
Always/usually,136959,165487,,67794,65482,51467,51031,65771,,302246
Sometimes/rarely/never,15791,26106,,12981,11679,5394,6488,5608,,41696
Total ,152459,191132,,80912,77268,57220,57686,71373,,343727
How often doctor(s) showed respect for what was said,,,,,,,,,,
Always/usually,140681,172309,,73749,69437,51104,52246,66820,,312689
Sometimes/rarely/never,12204,18741,,"7,429†",7401,5836,5541,4465,,30848
Total ,152459,191132,,80912,77268,57220,57686,71373,,343727
How often doctor(s) spent enough time with patient,,,,,,,,,,
Always/usually,137277,164100,,70532,66835,48820,50196,64775,,300759
Sometimes/rarely/never,15830,27136,,10427,10690,7994,7129,6670,,43126
Total ,152459,191132,,80912,77268,57220,57686,71373,,343727
Overall rating of health care received in last 12 months,,,,,,,,,,
Excellent/very good,116200,140246,,58115,53437,43897,42552,58078,,257251
Good,26102,29961,,15502,15739,8006,9368,6872,,55573
Fair/poor,10303,20346,,6703,7026,4740,5514,6361,,31403
Total ,152459,191132,,80912,77268,57220,57686,71373,,343727
,%,,,,,,,,,
How often doctor(s) listened,,,,,,,,,,
Always/usually,90,87.7,,87,87.1,88.6,88.9,90.5,,88.8
Sometimes/rarely/never,10.2,12.3,,13,12,10.1,11.3,9.5,,11.4
Total ,152459,191132,,80912,77268,57220,57686,71373,,343727
How often doctor(s) explained things in a way that could be understood,,,,,,,,,,
Always/usually,89.8,86.6,,83.8,84.7,90,88.4,92.2,,87.9
Sometimes/rarely/never,10.4,13.7,,16.1,15.1,9.4,11.3,7.8,,12.1
Total ,152459,191132,,80912,77268,57220,57686,71373,,343727
How often doctor(s) showed respect for what was said,,,,,,,,,,
Always/usually,92.3,90.2,,91.1,89.8,89.3,90.5,93.6,,91
Sometimes/rarely/never,8,9.8,,9.1,9.6,10.1,9.5,6.3,,9
Total ,152459,191132,,80912,77268,57220,57686,71373,,343727
How often doctor(s) spent enough time with patient,,,,,,,,,,
Always/usually,90,85.9,,87.1,86.4,85.3,87,90.8,,87.5
Sometimes/rarely/never,10.4,14.2,,12.9,13.8,14,12.3,9.4,,12.5
Total ,152459,191132,,80912,77268,57220,57686,71373,,343727
Overall rating of health care received in last 12 months,,,,,,,,,,
Excellent/very good,76.2,73.4,,71.8,69.1,76.7,73.8,81.4,,74.9
Good,17.1,15.7,,19.2,20.3,14,16.3,9.7,,16.2
Fair/poor,6.8,10.6,,8.3,9.1,8.2,9.5,9,,9.1
Total ,152459,191132,,80912,77268,57220,57686,71373,,343727
† Estimate has a relative standard error between 25% and 50% and should be used with caution.,,,,,,,,,,
(a) Self-reported data for people aged 15 and over in non-remote areas who consulted a doctor or specialist in the last 12 months. Data excludes a small number of people who were not present at interview for whom responses were provided by a proxy. ,,,,,,,,,,
Note: Percentages add within columns. Cells in this table have been randomly adjusted to avoid the release of confidential data and discrepancies may occur between sums of the component items and totals. ,,,,,,,,,,
Source: AIHW and ABS analysis of National Aboriginal and Torres Strait Islander Health Survey 2018–19.,,,,,,,,,,
,,,,,,,,,,
Link to Contents,,,,,,,,,,
