"Table D3.08.8: Type of regular health care used by patient experience, Indigenous people aged 15 and over in non-remote areas who saw a doctor or specialist in the last 12 months, 2018–19",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,Where usually go if problem with health,,,,,,
,Aboriginal Medical Service/ community clinic,Hospital,Doctor/GP,No usual GP/medical service,Total(a),,Overall population distribution
,%,,,,%,Number,%
How often doctor(s) listened,,,,,,,
Always/usually,90,61.3,89.6,76.7,88.8,305241,88.8
Sometimes/rarely/never,10.4,29.0‡ ,10.3,22,11.4,39162,11.4
Total ,100,100,100,100,100,343727,100
How often doctor(s) explained things in a way that could be understood,,,,,,,
Always/usually,88.4,74.2,88.4,81.2,87.9,302246,87.9
Sometimes/rarely/never,11.3,29.0†,11.3,21.1,12.1,41696,12.1
Total ,100,100,100,100,100,343727,100
How often doctor(s) showed respect for what was said,,,,,,,
Always/usually,90.7,74.2,92.1,83.4,91,312689,91
Sometimes/rarely/never,8.7,35.5†,7.8,16.6,9,30848,9
Total ,100,100,100,100,100,343727,100
How often doctor(s) spent enough time with patient,,,,,,,
Always/usually,89.4,61.3,88.2,80.7,87.5,300759,87.5
Sometimes/rarely/never,10.6,48.4†,11.8,21.1,12.5,43126,12.5
Total ,100,100,100,100,100,343727,100
Overall rating of health care received in last 12 months,,,,,,,
Excellent/very good,75.6,64.5,76.3,60.5,74.9,257251,74.9
Good,16.1,12.9‡ ,15.7,24.2,16.2,55573,16.2
Fair/poor,8.6,29.0‡ ,8,17.9,9.1,31403,9.1
Total ,100,100,100,100,100,343727,100
Total number of non-remote persons 15 and over who saw a doctor in the last 12 months,89684,3121,226597,22349,. .,343727,. .
† Estimate has a relative standard error between 25% and 50% and should be used with caution.,,,,,,,
‡ Estimate has a relative standard error greater than 50% and is considered too unreliable for general use.,,,,,,,
(a) Total includes other health care providers and don't know responses.                                                                                                          ,,,,,,,
Note: Percentages add within columns. Cells in this table have been randomly adjusted to avoid the release of confidential data and discrepancies may occur between sums of the component items and totals. ,,,,,,,
Source: AIHW and ABS analysis of National Aboriginal and Torres Strait Islander Health Survey 2018–19.,,,,,,,
,,,,,,,
Link to Contents,,,,,,,
