"Table D3.08.9: Patient experience in last 12 months, Indigenous persons (15 and over) by selected socioeconomic characteristics (non-remote), 2018–19(a)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,Doctor listened,,Doctor explained things so could be understood,,Doctor showed respect for what was said,,Doctor spent enough time with patient,,Overall rating of health care received,,,,,,Overall population distribution
,Always/usually,Sometimes/ rarely/never,Always/usually,Sometimes/ rarely/never,Always/usually,Sometimes/ rarely/never,Always/usually,Sometimes/ rarely/never,Excellent/very good/good,Fair/poor,,Total(b),,,
,%(c),,,,,,,,,,,%(c),Number,,%(d)
Equivalised household income(e),,,,,,,,,,,,,,,
1st quintile (lowest),83.5,16.3,85.3,15.1,86.7,13.2,83.3,16.9,88,12.3,,100,"101,950",,36.2
4th/5th quintile (highest),94.2,6.4†,92.4,6.8,94.1,5.3†,91,9.3,95.5,5.3,,100,"64,289",,23.2
Ratio lowest/highest,0.9*,2.5*,0.9*,2.2*,0.9*,2.5,0.9*,1.8*,0.9*,2.3,,1,1.6,,1.6
Total number,"246,901","34,617","245,955","35,010","255,256","26,544","246,142","35,585","253,993","27,637",,. .,"281,530",,"354,633"
"Financial stress - whether household could raise $2,000 in an emergency(e)",,,,,,,,,,,,,,,
Yes,92.2,7.8,93.4,6.5,95.1,4.9,90.7,9.4,94.8,5.3,,100,"168,594",,52.4
No,85.4,14.6,82.9,16.9,87.3,12.9,84.7,15.3,87.2,13.2,,100,"155,880",,47.6
Ratio no/yes,0.9*,1.9*,0.9*,2.6*,0.9*,2.6*,0.9*,1.6*,0.9*,2.5*,,1,0.9,,0.9
Total number,"289,409","35,544","287,151","37,890","296,231","28,274","285,040","39,736","295,884","29,251",,. .,"324,461",,"409,987"
Household had day/s without money for basic living expenses in last 12 months,,,,,,,,,,,,,,,
Yes,84.4,15.2,82.4,17.6,85.7,14,82.7,16.7,86.9,12.5,,100,"126,854",,36.4
No,91.2,9,91.1,9.2,94.2,6.1,90.1,9.9,93.2,6.8,,100,"217,047",,63.6
