"Table D3.10.4: Community mental health care service contacts, by Indigenous status(a) and jurisdiction(b), 2017–18",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Total
,Number ,,,,,,,,
Indigenous,345378,54924,287916,103227,46020,9488,20159,35829,902941
Non-Indigenous,2654414,1865429,1769486,809996,548699,131413,292319,43899,8115655
Not stated,53182,321127,6900,4857,90727,6961,6720,306,490780
Total,3052974,2241480,2064302,918080,685446,147862,319198,80034,9509376
,"Number per 1,000 population(c)(d)",,,,,,,,
Indigenous,1385,1017.9,1302.8,1021.5,1041.2,360.4,2687.5,451.6,1150.6
Non-Indigenous,357.7,299.3,388.1,333.4,339.1,280.3,728.2,261.4,348.3
Rate ratio(e),3.9,3.4,3.4,3.1,3.1,1.3,3.7,1.7,3.3
Rate difference(f),1027.2,718.6,914.7,688.1,702.1,80.1,1959.2,190.1,802.3
Total,397.9,314.5,432.7,363.2,406.2,292.2,774.5,313.7,383.6
"(a) These data should be interpreted with caution due to likely under-identification of Indigenous Australians, see <https://www.aihw.gov.au/reports/mental-health-services/mental-health-services-in-australia/report-contents/state-and-territory-community-mental-health-care-services/data-source>.",,,,,,,,,
(b) Data are reported by the jurisdiction that delivered the service and therefore include people receiving services in 1 jurisdiction who reside in another. Cross-border flows are particularly relevant when interpreting ACT data as the higher rates reported are likely to be due to residents from NSW receiving services in the ACT.,,,,,,,,,
(c) Rates have been directly age-standardised using the Australian 2001 standard population.,,,,,,,,,
"(d) Number per 1,000 population based on estimated resident population as at 30 June 2017.",,,,,,,,,
(e) Rate ratio is the age-standardised rate for Indigenous Australians divided by the age-standardised rate for non-Indigenous Australians.,,,,,,,,,
(f) Rate difference is the age-standardised rate for Indigenous Australians minus the age-standardised rate for non-Indigenous Australians.,,,,,,,,,
Source: AIHW analysis of National Community Mental Health Care Database.,,,,,,,,,
,,,,,,,,,
Link to Contents,,,,,,,,,
