"Table D3.10.5: Residential mental health care episodes, by Indigenous status(a) and jurisdiction(b), 2017–18",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,NSW(c),Vic,Qld,WA,SA,Tas,ACT,NT,Total
,Number ,,,,,,,,
Indigenous,18,151,65,21,52,52,3,80,442
Non-Indigenous,112,4081,502,321,1023,852,69,48,7008
Not stated,0,82,4,0,141,36,0,0,263
Total,130,4314,571,342,1216,940,72,128,7713
,"Number per 10,000 population(d)(e)",,,,,,,,
Indigenous,0.8,29.4,3.4,2.8,14,24,n.p.,10.9,6.4
Non-Indigenous,0.1,6.7,1.1,1.3,6.4,15.7,1.7,2.8,3
Rate ratio(f),5.2,4.4,3,2.2,2.2,1.5,n.p.,3.9,2.1
Rate difference(g),0.6,22.7,2.2,1.5,7.6,8.3,n.p.,8.1,3.4
Total,0.2,7,1.2,1.4,7.5,16.9,1.7,5.1,3.2
"(a) These data should be interpreted with caution due to the varying quality of Indigenous identification across jurisdictions, see <https://www.aihw.gov.au/reports/mental-health-services/mental-health-services-in-australia/report-contents/state-and-territory-community-mental-health-care-services/data-source>.",,,,,,,,,
(b) Data are reported by the jurisdiction that delivered the service.,,,,,,,,,
(c) NSW has a different model of care. See <https://www.aihw.gov.au/reports/mental-health-services/mental-health-services-in-australia/report-contents/specialised-mental-health-care-facilities/specialised-mental-health-beds-and-patient-days>.,,,,,,,,,
(d) Rates have been directly age-standardised using the Australian 2001 standard population.,,,,,,,,,
"(e) Number per 10,000 population based on estimated resident population as at 30 June 2017.",,,,,,,,,
(f) Rate ratio is the age-standardised rate for Indigenous Australians divided by the age-standardised rate for non-Indigenous Australians.,,,,,,,,,
(g) Rate difference is the age-standardised rate for Indigenous Australians minus the age-standardised rate for non-Indigenous Australians.,,,,,,,,,
Source: AIHW analysis of National Residential Mental Health Care Database.,,,,,,,,,
,,,,,,,,,
Link to Contents,,,,,,,,,
