"Table D3.10.7: Ambulatory-equivalent and non-ambulatory-equivalent mental health-related hospitalisations, by Indigenous status, remoteness and sex, Australia, July 2017 to June 2019",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,Indigenous,,,,Non-Indigenous,,,
,,Number,"Crude rate (per 1,000)","Age-std. rate (per 1,000)(a)",,Number,"Age-std. rate (per 1,000)(a)",,Rate ratio(b)
Non-remote areas(c),,,,,,,,,
Males,Ambulatory-equivalent,,,,,,,,
,  With specialised psychiatric care,1264,1.9,2.4,,101668,4.2,,0.6
,  Without specialised psychiatric care,1873,2.8,3.4,,29273,1.2,,2.8
,  Total,3137,4.6,5.9,,130941,5.4,,1.1
,Non-ambulatory-equivalent,,,,,,,,
,  With specialised psychiatric care,9200,13.5,15.8,,145473,6.2,,2.6
,  Without specialised psychiatric care,6128,9,12.2,,98241,4,,3
,  Total,15328,22.5,28,,243714,10.2,,2.7
Females,Ambulatory-equivalent,,,,,,,,
,  With specialised psychiatric care,1920,2.8,3.4,,178799,7.2,,0.5
,  Without specialised psychiatric care,1826,2.7,3,,35108,1.5,,2.1
,  Total,3746,5.5,6.5,,213907,8.6,,0.7
,Non-ambulatory-equivalent,,,,,,,,
,  With specialised psychiatric care,8920,13.1,14.4,,178933,7.4,,1.9
,  Without specialised psychiatric care,5601,8.3,10.2,,111421,4.3,,2.4
,  Total,14521,21.4,24.6,,290354,11.7,,2.1
Persons(d),Ambulatory-equivalent,,,,,,,,
,  With specialised psychiatric care,3184,2.3,2.9,,280477,5.7,,0.5
,  Without specialised psychiatric care,3699,2.7,3.2,,64389,1.3,,2.4
,  Total,6883,5.1,6.2,,344866,7.1,,0.9
,Non-ambulatory-equivalent,,,,,,,,
,  With specialised psychiatric care,18123,13.3,15.1,,324457,6.8,,2.2
,  Without specialised psychiatric care,11731,8.6,11.1,,209959,4.2,,2.7
,  Total,29854,22,26.2,,534416,11,,2.4
Remote areas(c),,,,,,,,,
Males,Ambulatory-equivalent,,,,,,,,
,  With specialised psychiatric care,6,n.p.,n.p.,,115,0.3,,n.p.
,  Without specialised psychiatric care,882,5.8,6.5,,383,1.2,,5.6
,  Total,888,5.9,6.6,,498,1.4,,4.6
,Non-ambulatory-equivalent,,,,,,,,
,  With specialised psychiatric care,945,6.3,6.1,,958,2.7,,2.3
,  Without specialised psychiatric care,2330,15.4,18.2,,1967,5.5,,3.3
,  Total,3275,21.7,24.3,,2925,8.1,,3
Females,Ambulatory-equivalent,,,,,,,,
,  With specialised psychiatric care,6,n.p.,n.p.,,123,0.3,,n.p.
,  Without specialised psychiatric care,1067,7,7.6,,334,1.3,,6
,  Total,1073,7.1,7.6,,457,1.6,,4.7
,Non-ambulatory-equivalent,,,,,,,,
,  With specialised psychiatric care,645,4.3,4.2,,890,2.9,,1.4
,  Without specialised psychiatric care,2282,15,17,,1702,5.7,,3
,  Total,2927,19.3,21.2,,2592,8.6,,2.5
Persons(d),Ambulatory-equivalent,,,,,,,,
,  With specialised psychiatric care,12,0,n.p.,,238,0.3,,n.p.
,  Without specialised psychiatric care,1949,6.4,7.1,,717,1.2,,5.8
,  Total,1961,6.5,7.1,,955,1.5,,4.7
,Non-ambulatory-equivalent,,,,,,,,
,  With specialised psychiatric care,1590,5.3,5.2,,1848,2.8,,1.8
,  Without specialised psychiatric care,4613,15.3,17.6,,3671,5.6,,3.1
,  Total,6203,20.5,22.7,,5519,8.4,,2.7
Australia,,,,,,,,,
Males,Ambulatory-equivalent,,,,,,,,
,  With specialised psychiatric care,1319,1.6,2,,102333,4.2,,0.5
,  Without specialised psychiatric care,2906,3.5,4.3,,30894,1.3,,3.3
,  Total,4225,5.1,6.3,,133227,5.4,,1.2
,Non-ambulatory-equivalent,,,,,,,,
,  With specialised psychiatric care,10835,13,14.8,,151997,6.4,,2.3
,  Without specialised psychiatric care,8902,10.7,14.1,,103426,4.2,,3.4
,  Total,19737,23.8,28.9,,255423,10.6,,2.7
Females,Ambulatory-equivalent,,,,,,,,
,  With specialised psychiatric care,1939,2.3,2.8,,179422,7.1,,0.4
,  Without specialised psychiatric care,2990,3.6,4.1,,36086,1.5,,2.8
,  Total,4929,5.9,6.9,,215508,8.6,,0.8
,Non-ambulatory-equivalent,,,,,,,,
,  With specialised psychiatric care,10019,12.1,13,,182578,7.5,,1.7
,  Without specialised psychiatric care,8167,9.8,12,,114606,4.4,,2.7
,  Total,18186,21.9,25,,297184,11.9,,2.1
Persons(d),Ambulatory-equivalent,,,,,,,,
,  With specialised psychiatric care,3258,2,2.4,,281765,5.7,,0.4
,  Without specialised psychiatric care,5896,3.5,4.2,,66988,1.4,,3
,  Total,9154,5.5,6.6,,348753,7,,0.9
,Non-ambulatory-equivalent,,,,,,,,
,  With specialised psychiatric care,20857,12.6,13.9,,334628,6.9,,2
,  Without specialised psychiatric care,17072,10.3,13,,218334,4.3,,3
,  Total,37929,22.8,26.8,,552962,11.2,,2.4
"(a) Age-standardised (age-std.) rates have been calculated using the direct method, with 2001 Australian population by 5-year age groups (up to 75+) as the standard population. ",,,,,,,,,
(b)  Rate ratio is the age-standardised rate for Indigenous Australians divided by the age-standardised rate for non-Indigenous Australians.,,,,,,,,,
"(c) Due to small numbers, areas in Victoria classified as Remote under the ASGS 2016 Remoteness Structure are excluded from the ‘Remote’ category and are instead included in the 'Non-remote' category. There are no areas in Victoria classified as Very remote under the ASGS 2016 Remoteness Structure.",,,,,,,,,
(d) Persons data includes sex not stated and indeterminate.,,,,,,,,,
Notes,,,,,,,,,
1. Data are from public and private hospitals in all jurisdictions.,,,,,,,,,
2. Population denominators used to calculate rates were modelled by the AIHW using available ABS population estimates and projections (series B). ,,,,,,,,,
3. Data are reported by jurisdiction and remoteness of usual residence of the patient hospitalised.,,,,,,,,,
"4. Remoteness is based on the Area Structure within the Australian Statistical Geography Standard (ASGS) 2016. Unless otherwise indicated, ‘Non-remote’ refers to Major cities, Inner regional and Outer regional areas combined, while ‘Remote’ refers to Remote and Very remote areas combined. ",,,,,,,,,
