            Australian Bureau of Statistics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
"4741.0 Education Statistics for Aboriginal and Torres Strait Islander Peoples, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) Thu 11 July 2024 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 1.1 Educational intentions, Aboriginal and/or Torres Strait Islander persons not currently studying, State/Territory by Age groups, NATSISS 2008 and 2014-15",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008 NATSISS,,,,,,,2014-15 NATSISS,,,,,,,2008 NATSISS,,,,,,,2014-15 NATSISS,,,,,
,20-24 years,25-34 years,35-44  years,45-54 years,55 years and over,Total,,20-24 years,25-34 years,35-44  years,45-54 years,55 years and over,Total,,20-24 years,25-34 years,35-44  years,45-54 years,55 years and over,Total,,20-24 years,25-34 years,35-44  years,45-54 years,55 years and over,Total
,ESTIMATE (000s),,,,,,,,,,,,,,RELATIVE STANDARD ERROR OF ESTIMATE (%),,,,,,,,,,,,
New South Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether wanted to study for an educational qualification in the last 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanted to study for an educational qualification,3.2,6.1,6.1,3.9,1.9,21.2,,4.1,7.2,7.7,3.8,2.6,24.6,,18.2,12.3,12.9,15.6,23.9,7.8,,27.8,18,12.8,18.1,26.1,8.9
Did not want to study for an educational qualification,6.8,10.5,10.8,9.6,11.2,48.9,,7.7,14.6,12.8,15.1,20.8,71,,12.3,8.9,8.1,6.6,4.4,4,,16.1,9,9.1,5.3,3.6,3.4
Whether has future educational intentions,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intends to study in the future,6,8.5,8.7,3.8,1.1,28,,7.2,14.5,9.7,5.7,3,39.7,,13.6,8.5,9.4,15.8,31,5.8,,21.6,9.9,10.7,13.9,24.7,6.7
Does not intent to study in the future,1.8,4.6,5.2,7.8,10.8,30.2,,1.3,2.6,5.9,10.2,17.9,37.7,,23.9,15.3,15.5,9.7,5.1,6.1,,42.7,29.1,17.3,9.2,4.7,5.4
Total(a) ,10,16.7,16.9,13.5,13.1,70.1,,12.3,21.5,19.6,19.5,22.7,96.2,,8,3.4,2.2,2.3,2,1.7,,12,5,4,3,1.8,2.1
Victoria,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether wanted to study for an educational qualification in the last 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanted to study for an educational qualification,1.1,1.8,1.5,0.8,0.5,5.7,,1.9,2.5,1.8,1,0.5,7.6,,12.6,8.8,10.8,13,20.9,5.3,,15.7,12.8,17.7,21,34.5,7.4
Did not want to study for an educational qualification,1,2,2.1,1.9,2.6,9.5,,2.3,3.7,2.6,3.2,4.2,15.5,,14,8.2,8,7,4.1,3.5,,13.3,8.3,12.7,7,4.1,3.9
Whether has future educational intentions,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intends to study in the future,1.5,2.4,1.9,0.9,0.6,7.4,,2.5,3.9,2.1,1.7,0.8,11.4,,9.3,7.1,8.3,12,24,4.4,,15.2,8.4,12.6,13.3,22.5,5.8
Does not intent to study in the future,0.3,0.7,0.9,1.3,2.1,5.3,,0.6,1.2,1,1.6,3.2,7.5,,34.7,16.4,13.9,10.5,7,5.6,,49.1,19.7,20.2,15,6.9,6.4
Total(a) ,2.1,3.8,3.6,2.7,3,15.2,,4.1,6,4.3,4.1,4.6,23.3,,7.6,3.5,3,3.7,1.5,1.8,,7.7,4.3,5.2,4.2,2.4,2.1
Queensland,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether wanted to study for an educational qualification in the last 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanted to study for an educational qualification,2.8,5.8,5.7,1.2,1.2,16.7,,5.6,6.8,7,3.7,2.2,25.4,,22.3,11.1,12,27.6,30.4,8.7,,19.3,15.1,14.2,19.9,25.8,7.9
Did not want to study for an educational qualification,7.8,12,10.4,9.6,10,49.8,,9.3,13.4,13.1,12.1,15.1,63.2,,9.8,6.9,6.7,5.8,3.7,3.6,,10.4,9.7,8.2,8,3.8,3.9
Whether has future educational intentions,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intends to study in the future,4.7,7.9,5.6,2.6,1.2,22.1,,10,11.7,9.8,6.6,1.7,40.5,,15.4,10.8,13.4,22.5,29.3,8.4,,11.2,9.5,11.2,20.6,29.6,5.4
Does not intent to study in the future,3.7,6.9,8,6.9,9.4,34.9,,3,4.8,6.3,6.4,14.3,34.2,,14.8,10.9,11.6,8.8,4.9,5.1,,27.9,18.4,17.9,14.8,4.6,6.2
Total(a) ,10.6,17.8,16.1,10.7,11.2,66.5,,14.9,20.2,19.8,15.6,17.5,88.8,,5.4,2.8,2.5,4.8,0.4,1.6,,6.2,5.9,2.6,4.4,1.4,1.9
South Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether wanted to study for an educational qualification in the last 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanted to study for an educational qualification,0.9,1.5,1.2,0.5,0.1,4.3,,1,1.3,1.1,0.6,0.3,4,,22.9,11,13,21.2,42.9,8.2,,29.6,17.5,20.1,25.8,34.8,11.4
Did not want to study for an educational qualification,1.2,1.9,1.9,1.7,2,8.8,,1.8,3.4,2.7,2.6,3.3,14.1,,15.1,9.8,8.6,7.2,3.8,3.9,,18.2,8.2,8.1,7,4,3.3
Whether has future educational intentions,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intends to study in the future,1.4,2.1,1.5,0.8,0.1,5.9,,1.2,2.9,1.6,0.7,0.4,6.8,,13.5,8.1,12.6,17.2,44.5,6.5,,25.2,9.5,13.6,20.2,33.4,6.8
Does not intent to study in the future,0.5,0.8,1.2,1.2,1.9,5.6,,0.7,1.1,1.4,1.9,2.8,7.7,,28.2,21,15.7,10.8,4.7,6,,36.7,21.6,18.7,12.5,7.1,6.9
Total(a) ,2.2,3.4,3.1,2.2,2.2,13.1,,2.5,4.9,3.7,3.2,3.5,18,,6.6,3.2,2.9,4,2,1.7,,9.7,3.9,3.6,4.3,2.6,1.8
Western Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether wanted to study for an educational qualification in the last 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,
