            Australian Bureau of Statistics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
"4741.0 Education Statistics for Aboriginal and Torres Strait Islander Peoples, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) Thu 11 July 2024 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 1.2 Educational intentions, Aboriginal and/or Torres Strait Islander persons not currently studying, Remoteness by Age groups, NATSISS 2008 and 2014-15",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008 NATSISS,,,,,,,2014-15 NATSISS,,,,,,,2008 NATSISS,,,,,,,2014-15 NATSISS,,,,,
,20-24 years,25-34 years,35-44  years,45-54 years,55 years and over,Total,,20-24 years,25-34 years,35-44  years,45-54 years,55 years and over,Total,,20-24 years,25-34 years,35-44  years,45-54 years,55 years and over,Total,,20-24 years,25-34 years,35-44  years,45-54 years,55 years and over,Total
,ESTIMATE (000s),,,,,,,,,,,,,,RELATIVE STANDARD ERROR OF ESTIMATE (%),,,,,,,,,,,,
Major cities,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether wanted to study for an educational qualification in the last 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanted to study for an educational qualification,4.7,9,7.7,2.9,1.8,26.2,,5.6,9.9,9.1,5,3.2,32.8,,14,9.7,12.1,18,26.9,6,,20,12.6,10.2,13.5,21.5,6.9
Did not want to study for an educational qualification,5.4,11.6,11.6,10.8,8.6,48,,11,17.2,14.3,14.3,17.6,74.5,,11.7,9,9.1,8.6,9.4,4,,10.8,7.7,7,5.5,4.1,3.2
Whether has future educational intentions,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intends to study in the future,6.9,12,10.2,4.5,1.1,34.7,,10,17.4,12.5,7.4,3.2,50.6,,11.3,7.1,9.6,16.1,28.3,4.5,,15.7,7.7,7.5,11.3,22.1,5.1
Does not intent to study in the future,1.9,4.6,5.6,7.9,7.8,27.9,,2.9,4.3,7.1,8.5,15.5,37.7,,18.9,15.6,15.3,10.5,11.1,5.6,,30.8,18.3,13.3,9.9,4.7,5
Total(a) ,10.1,20.6,19.4,13.7,10.4,74.2,,16.5,27.5,23.7,19.4,20.8,107.4,,7.8,5.5,6.2,7.1,9,2.4,,8.7,4.1,2.4,2.5,1.2,1.8
Inner regional,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether wanted to study for an educational qualification in the last 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanted to study for an educational qualification,1.7,3.4,4.1,1.7,1.2,12.1,,3.8,6.3,3.3,2,1.2,16.3,,22.9,15.7,14,26.4,29.7,8.7,,20.2,13.2,21.6,24.2,32.1,8.9
Did not want to study for an educational qualification,7.5,7.3,7.3,6.5,6.5,35.2,,6.4,9.8,10.5,10.1,13.5,50,,13.4,12.7,11.7,11.1,9.8,4.5,,10.9,9.4,8.9,6,3.3,3.5
Whether has future educational intentions,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intends to study in the future,4.6,4.8,4.9,2,1.1,17.4,,7.3,10.8,6.7,3.1,1.9,28.9,,18.1,11.7,13.8,24.3,31.5,7.7,,11.8,8,13.5,17.9,23.9,5.7
Does not intent to study in the future,2.2,3.5,4.3,5,6,21,,0.9,1.8,3.9,6.6,11.3,24.6,,22.8,21,17.3,13.8,10.7,7.3,,42.3,26.9,23.3,10.9,4.9,5.9
Total(a) ,9.3,10.7,11.4,8.2,7.7,47.3,,9.9,15.5,14.2,12,14.5,66.4,,11.3,8.7,8.7,9.8,9.3,3.2,,7.7,4.9,4.7,4.7,1.4,2.1
Outer regional,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether wanted to study for an educational qualification in the last 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanted to study for an educational qualification,2.7,4.7,4.5,2.5,0.6,15,,4.6,4.5,5.8,2.2,1.4,18.6,,21.2,12.6,11.3,17.3,31.1,8.5,,18.4,16.4,14.4,27.1,30.6,9.1
Did not want to study for an educational qualification,5.1,7.3,8.2,7.2,11.3,39.1,,5.9,10.5,8.5,10.9,14.1,50.3,,15.5,12.1,9.9,10.5,9,4.8,,13.8,9.7,10.3,7,3.7,3.9
Whether has future educational intentions,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intends to study in the future,3.8,6.1,4.6,3,1.1,18.6,,7.6,8.3,6.9,4.4,1.6,29.1,,17.8,11.9,12.9,15.9,25.5,7.6,,10.6,10.5,12.8,25.6,27.5,6.4
Does not intent to study in the future,2.1,3.6,6.1,5.1,10.5,27.3,,1.1,3.2,4,6.4,13.4,28.4,,25.9,16.4,12.9,14.8,9.7,6.5,,46.1,22.7,20.3,12.6,4,5.9
Total(a) ,7.8,11.9,12.7,9.7,11.9,54.1,,10.3,15.2,14.2,13.6,15.6,69.1,,11.8,7.3,7,8.5,8.5,2.8,,6.6,5.7,3.8,4.1,2.2,1.9
Total non-remote,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether wanted to study for an educational qualification in the last 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanted to study for an educational qualification,9.2,17.1,16.3,7.1,3.6,53.3,,13.7,20.8,18.2,9.3,6,68.2,,9.6,6.2,6.6,10.2,16.4,4.1,,10.9,8,7.5,10.9,14.7,4.6
Did not want to study for an educational qualification,18,26.2,27.2,24.5,26.4,122.3,,22.6,37.4,33.6,35.6,45.1,175,,6.6,5.1,4.6,4.1,3.4,2.3,,7,5.3,4.5,3.4,2.2,1.9
Whether has future educational intentions,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intends to study in the future,15.4,22.9,19.8,9.5,3.2,70.7,,24.3,36.7,26.1,14.7,6.4,108.7,,7.7,4.9,5.8,9.9,16.6,3.4,,7.8,4.9,5.9,10.4,14.1,3.4
Does not intent to study in the future,6.2,11.7,16,18,24.3,76.2,,5.1,9.3,14.4,21.3,40.1,90,,11.7,8.9,7.7,5.9,4,3.4,,20.2,12.8,10.8,6.5,2.6,3.3
Total(a) ,27.2,43.3,43.5,31.6,30,175.6,,37.3,58.3,51.9,45.1,50.8,243.1,,4.1,2.3,2.1,2.6,2.5,1.1,,4.6,2.6,2,1.9,0.9,1
Remote,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether wanted to study for an educational qualification in the last 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,
