            Australian Bureau of Statistics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"4741.0 Education Statistics for Aboriginal and Torres Strait Islander Peoples, 2021",,,,,,,,,,,,,
Released at 11.30am (Canberra time) Thu 11 July 2024 ,,,,,,,,,,,,,
"Table 2.1 Whether culture taught at school, Aboriginal and/or Torres Strait Islander persons aged 20 years and over, by State/Territory, NATSISS 2014-15",,,,,,,,,,,,,
,,,,,,,,,,,,,
,20-24 years,25-34 years,35-44  years,45-54 years,55 years and over,Total,,20-24 years,25-34 years,35-44  years,45-54 years,55 years and over,Total
,ESTIMATE (000s),,,,,,,RELATIVE STANDARD ERROR OF ESTIMATE (%),,,,,
New South Wales,,,,,,,,,,,,,
Was taught culture at school,13.7,16.9,7.2,6.2,5.4,48.6,,9.3,9.6,14.1,14.7,14.5,5.8
Was not taught culture at school,7.4,10.7,15.1,15.3,18.2,66.1,,17.1,14.8,6.8,5.9,4.3,4.2
Total that attended school or undertook further studies,19.3,27.4,22.4,21.4,23.5,114.3,,2.2,1,1.1,1.1,1,0.3
Victoria,,,,,,,,,,,,,
Was taught culture at school,2.8,3.4,2,1.4,0.7,10.2,,13.9,10,14.3,16.6,21.5,6.2
Was not taught culture at school,2.3,3.5,3.3,3.4,4.2,16.8,,16.9,9.5,8.5,6.7,3.6,3.8
Total that attended school or undertook further studies,5.2,7,5.3,4.7,4.8,27.1,,2.2,1.7,1.6,1.7,1.2,0.4
Queensland,,,,,,,,,,,,,
Was taught culture at school,10.5,14.3,8.2,6.5,3.2,42.5,,10.9,9.9,11.6,15.2,20.5,7.1
Was not taught culture at school,7.7,12.5,13.4,11.5,14,59.3,,15,11.4,7.2,8.7,4.2,5.1
Total that attended school or undertook further studies,18.2,27,21.8,17.9,17.2,102.3,,1.4,0.7,0.8,0.9,1.7,0.3
South Australia,,,,,,,,,,,,,
Was taught culture at school,2.5,3.9,2.1,1.2,0.7,10.3,,11.3,7.9,15,18.3,25.1,5.5
Was not taught culture at school,1.2,1.8,2.1,2.5,2.9,10.3,,24.3,17.4,15,8.5,5.8,5.5
Total that attended school or undertook further studies,3.6,5.6,4.2,3.7,3.7,20.8,,3,1.3,1.7,1.5,1.9,0.4
Western Australia,,,,,,,,,,,,,
Was taught culture at school,4.2,7,4.6,2.4,1.3,19.7,,13.2,7.6,13.5,21.7,25,5.7
Was not taught culture at school,3.7,6,5.5,5.9,6.4,27.8,,15.5,8.8,11.3,8.7,5.4,4
Total that attended school or undertook further studies,8.1,13.2,10,8.5,8,47.6,,1.8,0.8,1.1,1.2,2.1,0.4
Tasmania,,,,,,,,,,,,,
Was taught culture at school,1.5,2.6,1.3,1.1,0.7,7,,14.2,6.8,12,13.2,16.5,5.3
Was not taught culture at school,0.9,0.9,1.2,1.5,2.2,6.7,,23.2,18.5,13.7,10,5.2,5.5
Total that attended school or undertook further studies,2.3,3.6,2.5,2.6,2.9,13.9,,3.2,1.4,1.5,1.4,1.2,0.3
Northern Territory,,,,,,,,,,,,,
Was taught culture at school,3.3,6.8,4.1,3.1,1.2,18.4,,9.5,10.3,11.2,11.7,20.8,6.3
Was not taught culture at school,3.1,4.5,4.7,3.5,4.4,20.3,,9.8,15.4,10.2,10.4,5.7,5.4
Total that attended school or undertook further studies,6.6,11.3,8.8,6.6,5.6,38.6,,1.6,0.7,1.2,1.8,5.5,0.8
Australian Capital Territory,,,,,,,,,,,,,
Was taught culture at school,0.5,0.7,0.4,0.2,0.1,1.9,,17.4,11.2,18.8,28.9,31.8,6.6
Was not taught culture at school,0.2,0.5,0.3,0.4,0.3,1.9,,45.7,17.1,19.4,11.8,11.1,6.6
Total that attended school or undertook further studies,0.9,1.2,0.7,0.6,0.5,3.7,,5.7,3.1,3.8,4.2,4.7,0.9
Australia(b),,,,,,,,,,,,,
Was taught culture at school,39.2,55.1,30.5,21.3,13.1,158.9,,4.5,4.2,5.4,7,8.6,2.9
Was not taught culture at school,26.3,40.8,45.6,44,52.6,209.1,,6.7,5.6,3.6,3.4,2.1,2.2
Total that attended school or undertook further studies,64.8,96.2,76,65.5,65.7,368.3,,0.3,0.2,0.2,0.2,0.8,0.1
,PROPORTION OF PERSON (%),,,,,,,95% MARGIN OF ERROR OF PROPORTION (%),,,,,
New South Wales,,,,,,,,,,,,,
Was taught culture at school,71,61.7,32.1,29,23,42.5,,12.5,11.5,8.9,8.4,6.5,4.8
Was not taught culture at school,38.3,39.1,67.4,71.5,77.4,57.8,,12.8,11.3,8.9,8.1,6.4,4.8
Total that attended school or undertook further studies,100,100,100,100,100,100,,0,0,0,0,0,0
Victoria,,,,,,,,,,,,,
Was taught culture at school,53.8,48.6,37.7,29.8,14.6,37.6,,14.4,9.4,10.5,9.6,6.2,4.6
Was not taught culture at school,44.2,50,62.3,72.3,87.5,62,,14.6,9.1,10.1,9.2,5.8,4.6
Total that attended school or undertook further studies,100,100,100,100,100,100,,0,0,0,0,0,0
Queensland,,,,,,,,,,,,,
Was taught culture at school,57.7,53,37.6,36.3,18.6,41.5,,12.2,10.3,8.5,10.8,7.4,5.8
Was not taught culture at school,42.3,46.3,61.5,64.2,81.4,58,,12.4,10.3,8.7,10.9,6.1,5.8
Total that attended school or undertook further studies,100,100,100,100,100,100,,0,0,0,0,0,0
South Australia,,,,,,,,,,,,,
Was taught culture at school,69.4,69.6,50,32.4,18.9,49.5,,14.8,10.6,14.6,11.6,9.3,5.3
Was not taught culture at school,33.3,32.1,50,67.6,78.4,49.5,,15.7,10.9,14.6,11.1,8.5,5.3
Total that attended school or undertook further studies,100,100,100,100,100,100,,0,0,0,0,0,0
Western Australia,,,,,,,,,,,,,
Was taught culture at school,51.9,53,46,28.2,16.2,41.4,,13.3,7.9,12.2,12,7.9,4.6
Was not taught culture at school,45.7,45.5,55,69.4,80,58.4,,13.8,7.8,12.1,11.7,7.8,4.6
Total that attended school or undertook further studies,100,100,100,100,100,100,,0,0,0,0,0,0
Tasmania,,,,,,,,,,,,,
Was taught culture at school,65.2,72.2,52,42.3,24.1,50.4,,17.6,9.5,12.1,10.9,7.8,5.2
Was not taught culture at school,39.1,25,48,57.7,75.9,48.2,,17.6,9,12.8,11.2,7.6,5.2
Total that attended school or undertook further studies,100,100,100,100,100,100,,0,0,0,0,0,0
Northern Territory,,,,,,,,,,,,,
Was taught culture at school,50,60.2,46.6,47,21.4,47.7,,9.2,12.2,10.1,10.7,8.4,5.8
Was not taught culture at school,47,39.8,53.4,53,78.6,52.6,,8.9,12,10.6,10.6,2.3,5.5
Total that attended school or undertook further studies,100,100,100,100,100,100,,0,0,0,0,0,0
Australian Capital Territory,,,,,,,,,,,,,
Was taught culture at school,55.6,58.3,57.1,33.3,20,51.4,,17.9,12.3,20.6,18.7,12.3,6.5
