            Australian Bureau of Statistics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
"4741.0 Education Statistics for Aboriginal and Torres Strait Islander Peoples, 2021",,,,
Released at 11.30am (Canberra time) Thu 11 July 2024 ,,,,
,,,,
,Table by Topic,,,
,,,,
,Topic,Dissagregation,Collection,Table
,Educational intentions,"State/territory, Age groups, Time series","NATSISS 2008, 2014-15",Table 1.1
,,"Remoteness, Age groups, Time series","NATSISS 2008, 2014-15",Table 1.2
,Whether culture taught at school,"State/territory, Age groups",NATSISS 2014-15,Table 2.1
,,"Remoteness, Age groups",NATSISS 2014-15,Table 2.2
,,,,
,More information available from the ABS website,,,
,,,,
,Enquiries,,,
,"Further information about these and related statistics is available from the ABS website www.abs.gov.au, or contact the National Information and Referral Service on 1300 135 070.",,,
,,,,
,© Commonwealth of Australia 2024,,,
,,,,
, ,,,
